model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-every-wagon,エブリイワゴン,,2026,2026年式,root,root,5,146.1,158.3,153.4,158.3,146.1,158.3,158.3,"2026年式 / PZターボスペシャル ハイルーフ 4WD / 1,000km / 東京都",2026年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",東京都,manen
suzuki-every-wagon,エブリイワゴン,,2025,2025年式,root,root,6,105.0,158.3,146.4,158.3,140.5,158.3,158.3,"2025年式 / PZターボスペシャル ハイルーフ 4WD / 1,000km / 東京都",2025年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",東京都,manen
suzuki-every-wagon,エブリイワゴン,,2024,2024年式,root,root,18,100.0,154.0,132.3,135.2,120.5,147.4,154.0,"2024年式 / PZターボスペシャル / 5,000km / 三重県",2024年式,PZターボスペシャル,"5,000km",三重県,manen
suzuki-every-wagon,エブリイワゴン,,2023,2023年式,root,root,28,71.3,155.0,125.8,132.1,115.7,140.2,155.0,"2023年式 / PZターボスペシャル 4WD / 11,000km / 愛媛県",2023年式,PZターボスペシャル 4WD,"11,000km",愛媛県,manen
suzuki-every-wagon,エブリイワゴン,,2022,2022年式,root,root,48,66.5,154.0,121.7,130.8,112.0,138.6,154.0,"2022年式 / PZターボスペシャル 4WD / 16,000km / 愛媛県",2022年式,PZターボスペシャル 4WD,"16,000km",愛媛県,manen
suzuki-every-wagon,エブリイワゴン,,2021,2021年式,root,root,56,56.5,146.5,109.0,113.0,94.0,128.5,146.5,"2021年式 / PZターボスペシャル ハイルーフ / 12,000km / 高知県",2021年式,PZターボスペシャル ハイルーフ,"12,000km",高知県,manen
suzuki-every-wagon,エブリイワゴン,,2020,2020年式,root,root,64,28.6,145.5,100.0,99.0,85.5,118.3,145.5,"2020年式 / PZターボ ハイルーフ / 14,000km / 静岡県",2020年式,PZターボ ハイルーフ,"14,000km",静岡県,manen
suzuki-every-wagon,エブリイワゴン,,2019,2019年式,root,root,70,18.4,144.0,80.7,85.8,46.5,109.3,144.0,"2019年式 / PZターボスペシャル 4WD / 21,000km / 高知県",2019年式,PZターボスペシャル 4WD,"21,000km",高知県,manen
suzuki-every-wagon,エブリイワゴン,,2018,2018年式,root,root,64,9.6,126.5,61.5,59.0,40.5,83.9,126.5,"2018年式 / PZターボスペシャル / 48,000km / 埼玉県",2018年式,PZターボスペシャル,"48,000km",埼玉県,manen
suzuki-every-wagon,エブリイワゴン,,2017,2017年式,root,root,58,4.0,109.5,52.3,45.9,34.9,70.6,109.5,"2017年式 / PZターボスペシャル / 57,000km / 群馬県",2017年式,PZターボスペシャル,"57,000km",群馬県,manen
suzuki-every-wagon,エブリイワゴン,,2016,2016年式,root,root,58,5.0,120.5,46.9,42.6,33.3,55.5,120.5,"2016年式 / PZターボスペシャル 4WD / 49,000km / 京都府",2016年式,PZターボスペシャル 4WD,"49,000km",京都府,manen
suzuki-every-wagon,エブリイワゴン,,2015,2015年式,root,root,64,19.9,87.0,47.4,44.5,34.8,58.3,87.0,"2015年式 / PZターボスペシャル / 66,000km / 和歌山県",2015年式,PZターボスペシャル,"66,000km",和歌山県,manen
suzuki-every-wagon,エブリイワゴン,,2014,2014年式,root,root,56,10.8,87.0,39.1,35.1,25.9,48.5,87.0,"2014年式 / PZターボスペシャル / 45,000km / 沖縄県",2014年式,PZターボスペシャル,"45,000km",沖縄県,manen
suzuki-every-wagon,エブリイワゴン,,2013,2013年式,root,root,61,5.0,80.4,35.1,30.5,24.0,43.5,80.4,"2013年式 / PZターボスペシャル / 36,000km / 岐阜県",2013年式,PZターボスペシャル,"36,000km",岐阜県,manen
suzuki-every-wagon,エブリイワゴン,,2012,2012年式,root,root,60,5.0,71.5,30.3,26.0,19.3,38.6,71.5,"2012年式 / PZターボスペシャル / 19,000km / 長野県",2012年式,PZターボスペシャル,"19,000km",長野県,manen
suzuki-every-wagon,エブリイワゴン,,2011,2011年式,root,root,67,5.0,68.5,27.9,25.0,20.7,36.0,68.5,"2011年式 / PZターボスペシャル 4WD / 54,000km / 青森県",2011年式,PZターボスペシャル 4WD,"54,000km",青森県,manen
suzuki-every-wagon,エブリイワゴン,,2010,2010年式,root,root,58,5.0,61.2,27.2,23.9,18.8,30.8,61.2,"2010年式 / PZターボスペシャル ハイルーフ 4WD / 41,000km / 佐賀県",2010年式,PZターボスペシャル ハイルーフ 4WD,"41,000km",佐賀県,manen
suzuki-every-wagon,エブリイワゴン,,2009,2009年式,root,root,37,5.0,51.5,22.5,20.1,16.9,27.5,51.5,"2009年式 / PZターボ / 39,000km / 熊本県",2009年式,PZターボ,"39,000km",熊本県,manen
suzuki-every-wagon,エブリイワゴン,,2008,2008年式,root,root,33,5.0,33.1,16.9,17.9,7.8,23.5,33.1,"2008年式 / JPターボ / 38,000km / 神奈川県",2008年式,JPターボ,"38,000km",神奈川県,manen
suzuki-every-wagon,エブリイワゴン,,2007,2007年式,root,root,30,5.0,29.5,14.3,12.4,5.0,23.1,29.5,"2007年式 / PZターボスペシャル / 66,000km / 千葉県",2007年式,PZターボスペシャル,"66,000km",千葉県,manen
suzuki-every-wagon,エブリイワゴン,,2006,2006年式,root,root,20,5.0,33.6,16.4,16.6,5.0,22.5,33.6,"2006年式 / PZターボ / 91,000km / 新潟県",2006年式,PZターボ,"91,000km",新潟県,manen
suzuki-every-wagon,エブリイワゴン,,2005,2005年式,root,root,11,5.0,37.5,16.6,13.0,5.0,28.2,37.5,"2005年式 / ジョイポップターボ 4WD / 53,000km / 沖縄県",2005年式,ジョイポップターボ 4WD,"53,000km",沖縄県,manen
suzuki-every-wagon,エブリイワゴン,,2004,2004年式,root,root,8,5.0,40.2,21.1,21.9,5.0,34.5,40.2,"2004年式 / PZターボスペシャル / 61,000km / 岐阜県",2004年式,PZターボスペシャル,"61,000km",岐阜県,manen
suzuki-every-wagon,エブリイワゴン,,2003,2003年式,root,root,9,5.0,25.5,13.7,14.0,5.0,20.1,25.5,"2003年式 / ジョイポップ ハイルーフ 4WD / 45,000km / 新潟県",2003年式,ジョイポップ ハイルーフ 4WD,"45,000km",新潟県,manen
suzuki-every-wagon,エブリイワゴン,,2002,2002年式,root,root,4,5.0,29.5,16.6,15.9,8.3,23.5,29.5,"2002年式 / ジョイポップターボ PZ ハイルーフ / 66,000km / 東京都",2002年式,ジョイポップターボ PZ ハイルーフ,"66,000km",東京都,manen
