model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-every,エブリイ,,2025,2025年式,root,root,3,5.0,70.1,39.2,42.5,5.0,70.1,70.1,2025年式 / PC ハイルーフ / 1万km / 千葉県,2025年式,PC ハイルーフ,1万km,千葉県,manen
suzuki-every,エブリイ,,2024,2024年式,root,root,2,51.8,79.4,65.6,65.6,51.8,79.4,79.4,"2024年式 / PA リミテッド ハイルーフ 4WD / 3,000km / 東京都",2024年式,PA リミテッド ハイルーフ 4WD,"3,000km",東京都,manen
suzuki-every,エブリイ,,2023,2023年式,root,root,13,35.9,80.8,61.7,61.1,54.2,69.5,80.8,"2023年式 / PA リミテッド ハイルーフ 4WD / 53,000km / 福井県",2023年式,PA リミテッド ハイルーフ 4WD,"53,000km",福井県,manen
suzuki-every,エブリイ,,2022,2022年式,root,root,36,10.0,86.6,59.1,61.5,46.9,78.3,86.6,"2022年式 / PA リミテッド ハイルーフ 4WD / 1,000km / 福島県",2022年式,PA リミテッド ハイルーフ 4WD,"1,000km",福島県,manen
suzuki-every,エブリイ,,2021,2021年式,root,root,40,19.2,84.0,53.1,52.8,37.9,64.2,84.0,"2021年式 / PC リミテッド ハイルーフ 4WD / 48,000km / 広島県",2021年式,PC リミテッド ハイルーフ 4WD,"48,000km",広島県,manen
suzuki-every,エブリイ,,2020,2020年式,root,root,56,9.7,75.0,41.6,37.6,26.4,54.5,75.0,"2020年式 / ジョイン ハイルーフ / 12,000km / 奈良県",2020年式,ジョイン ハイルーフ,"12,000km",奈良県,manen
suzuki-every,エブリイ,,2019,2019年式,root,root,129,3.6,84.0,29.2,25.9,20.0,35.5,84.0,2019年式 / ジョイン ターボ ハイルーフ / 3万km / 高知県,2019年式,ジョイン ターボ ハイルーフ,3万km,高知県,manen
suzuki-every,エブリイ,,2018,2018年式,root,root,68,5.0,78.0,31.0,26.4,18.8,36.6,78.0,"2018年式 / ジョイン ターボ ハイルーフ 4WD / 76,000km / 神奈川県",2018年式,ジョイン ターボ ハイルーフ 4WD,"76,000km",神奈川県,manen
suzuki-every,エブリイ,,2017,2017年式,root,root,82,5.0,62.7,26.1,23.2,17.2,33.3,62.7,"2017年式 / ジョイン ターボ ハイルーフ / 51,000km / 福岡県",2017年式,ジョイン ターボ ハイルーフ,"51,000km",福岡県,manen
suzuki-every,エブリイ,,2016,2016年式,root,root,70,5.0,66.1,24.2,22.1,16.4,29.2,66.1,"2016年式 / ジョイン ターボ ハイルーフ 4WD / 63,000km / 愛知県",2016年式,ジョイン ターボ ハイルーフ 4WD,"63,000km",愛知県,manen
suzuki-every,エブリイ,,2015,2015年式,root,root,100,5.0,56.3,22.7,22.1,14.1,29.0,56.3,"2015年式 / ジョイン ターボ ハイルーフ / 51,000km / 群馬県",2015年式,ジョイン ターボ ハイルーフ,"51,000km",群馬県,manen
suzuki-every,エブリイ,,2014,2014年式,root,root,57,5.0,58.3,18.6,14.1,7.8,27.4,58.3,"2014年式 / ジョイン ターボ ハイルーフ / 65,000km / 千葉県",2014年式,ジョイン ターボ ハイルーフ,"65,000km",千葉県,manen
suzuki-every,エブリイ,,2013,2013年式,root,root,70,5.0,61.9,16.3,13.7,5.0,20.5,61.9,2013年式 / ジョイン ターボ ハイルーフ 4WD / 3万km / 岩手県,2013年式,ジョイン ターボ ハイルーフ 4WD,3万km,岩手県,manen
suzuki-every,エブリイ,,2012,2012年式,root,root,44,5.0,55.0,19.9,16.6,11.6,27.1,55.0,"2012年式 / PA ハイルーフ 4WD / 28,000km / 鳥取県",2012年式,PA ハイルーフ 4WD,"28,000km",鳥取県,manen
suzuki-every,エブリイ,,2011,2011年式,root,root,31,5.0,55.7,21.2,20.2,14.8,27.7,55.7,"2011年式 / ジョイン ターボ ハイルーフ 4WD / 14,000km / 栃木県",2011年式,ジョイン ターボ ハイルーフ 4WD,"14,000km",栃木県,manen
suzuki-every,エブリイ,,2010,2010年式,root,root,42,5.0,37.9,18.8,18.9,11.8,24.6,37.9,"2010年式 / ジョイン ターボ ハイルーフ 4WD / 147,000km / 北海道",2010年式,ジョイン ターボ ハイルーフ 4WD,"147,000km",北海道,manen
suzuki-every,エブリイ,,2009,2009年式,root,root,37,5.0,48.1,15.0,14.2,5.0,18.6,48.1,"2009年式 / PA ハイルーフ / 85,000km / 千葉県",2009年式,PA ハイルーフ,"85,000km",千葉県,manen
suzuki-every,エブリイ,,2008,2008年式,root,root,22,5.0,41.4,14.5,11.6,5.0,22.5,41.4,"2008年式 / PA ハイルーフ / 15,000km / 神奈川県",2008年式,PA ハイルーフ,"15,000km",神奈川県,manen
suzuki-every,エブリイ,,2007,2007年式,root,root,19,5.0,47.6,11.0,5.0,5.0,13.6,47.6,"2007年式 / PC ハイルーフ / 84,000km / 滋賀県",2007年式,PC ハイルーフ,"84,000km",滋賀県,manen
suzuki-every,エブリイ,,2006,2006年式,root,root,23,5.0,26.0,12.9,11.8,5.0,18.4,26.0,"2006年式 / ジョイン ターボ ハイルーフ 4WD / 101,000km / 滋賀県",2006年式,ジョイン ターボ ハイルーフ 4WD,"101,000km",滋賀県,manen
suzuki-every,エブリイ,,2005,2005年式,root,root,17,5.0,29.6,13.7,16.5,5.0,17.5,29.6,"2005年式 / PA ハイルーフ / 143,000km / 滋賀県",2005年式,PA ハイルーフ,"143,000km",滋賀県,manen
suzuki-every,エブリイ,,2004,2004年式,root,root,6,5.0,25.5,16.0,15.4,9.7,25.0,25.5,2004年式 / ジョイン ハイルーフ 4WD / 4万km / 沖縄県,2004年式,ジョイン ハイルーフ 4WD,4万km,沖縄県,manen
suzuki-every,エブリイ,,2003,2003年式,root,root,3,16.5,26.1,20.6,19.2,16.5,26.1,26.1,"2003年式 / PA ハイルーフ / 14,000km / 東京都",2003年式,PA ハイルーフ,"14,000km",東京都,manen
suzuki-every,エブリイ,,2002,2002年式,root,root,7,13.8,19.5,16.1,16.0,15.4,16.0,19.5,"2002年式 / ジョイン ハイルーフ 4WD / 207,000km / 和歌山県",2002年式,ジョイン ハイルーフ 4WD,"207,000km",和歌山県,manen
suzuki-every,エブリイ,,2001,2001年式,root,root,6,13.2,17.6,15.8,15.8,15.1,17.5,17.6,"2001年式 / ジョイン ハイルーフ / 157,000km / 島根県",2001年式,ジョイン ハイルーフ,"157,000km",島根県,manen
suzuki-every,エブリイ,,2000,2000年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2000年式 / ジョイポップ ターボ ハイルーフ / 9万km / 静岡県,2000年式,ジョイポップ ターボ ハイルーフ,9万km,静岡県,manen
suzuki-every,エブリイ,,1999,1999年式,root,root,1,15.6,15.6,15.6,15.6,15.6,15.6,15.6,"1999年式 / PA ハイルーフ / 46,000km / 栃木県",1999年式,PA ハイルーフ,"46,000km",栃木県,manen
suzuki-every,エブリイ,,1998,1998年式,root,root,8,6.9,36.1,19.3,16.9,15.6,19.3,36.1,"1998年式 / PA ハイルーフ 4WD / 57,000km / 岡山県",1998年式,PA ハイルーフ 4WD,"57,000km",岡山県,manen
suzuki-every,エブリイ,,1997,1997年式,root,root,3,17.1,49.8,34.3,36.0,17.1,49.8,49.8,1997年式 / ジョイポップ ターボ / 8万km / 群馬県,1997年式,ジョイポップ ターボ,8万km,群馬県,manen
suzuki-every,エブリイ,,1996,1996年式,root,root,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"1996年式 / ジョイン リミテッド ハイルーフ / 81,000km / 静岡県",1996年式,ジョイン リミテッド ハイルーフ,"81,000km",静岡県,manen
