model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-fronx,フロンクス,root,root,0万km,0,0,1,254.1,254.1,254.1,254.1,254.1,254.1,254.1,2025年式 / 1.5 4WD / 0万km / 大阪府,2025年式,1.5 4WD,0万km,大阪府,manen
suzuki-fronx,フロンクス,root,root,"1,000km",1000,1000,3,195.1,229.2,212.2,212.4,195.1,229.2,229.2,"2024年式 / 1.5 / 1,000km / 兵庫県",2024年式,1.5,"1,000km",兵庫県,manen
suzuki-fronx,フロンクス,root,root,"2,000km",2000,2000,1,211.7,211.7,211.7,211.7,211.7,211.7,211.7,"2024年式 / 1.5 / 2,000km / 滋賀県",2024年式,1.5,"2,000km",滋賀県,manen
suzuki-fronx,フロンクス,root,root,"3,000km",3000,3000,2,246.0,252.6,249.3,249.3,246.0,252.6,252.6,"2024年式 / 1.5 4WD / 3,000km / 沖縄県",2024年式,1.5 4WD,"3,000km",沖縄県,manen
suzuki-fronx,フロンクス,root,root,"4,000km",4000,4000,2,233.5,264.0,248.8,248.8,233.5,264.0,264.0,"2024年式 / 1.5 4WD / 4,000km / 栃木県",2024年式,1.5 4WD,"4,000km",栃木県,manen
suzuki-fronx,フロンクス,root,root,"5,000km",5000,5000,2,225.5,237.2,231.3,231.3,225.5,237.2,237.2,"2024年式 / 1.5 4WD / 5,000km / 埼玉県",2024年式,1.5 4WD,"5,000km",埼玉県,manen
suzuki-fronx,フロンクス,root,root,"6,000km",6000,6000,2,221.5,237.0,229.2,229.2,221.5,237.0,237.0,"2025年式 / 1.5 4WD / 6,000km / 大分県",2025年式,1.5 4WD,"6,000km",大分県,manen
suzuki-fronx,フロンクス,root,root,"7,000km",7000,7000,1,225.0,225.0,225.0,225.0,225.0,225.0,225.0,"2024年式 / 1.5 4WD / 7,000km / 大阪府",2024年式,1.5 4WD,"7,000km",大阪府,manen
suzuki-fronx,フロンクス,root,root,"8,000km",8000,8000,1,256.5,256.5,256.5,256.5,256.5,256.5,256.5,"2025年式 / 1.5 4WD / 8,000km / 熊本県",2025年式,1.5 4WD,"8,000km",熊本県,manen
suzuki-fronx,フロンクス,root,root,"11,000km",11000,11000,1,185.6,185.6,185.6,185.6,185.6,185.6,185.6,"2024年式 / 1.5 / 11,000km / 兵庫県",2024年式,1.5,"11,000km",兵庫県,manen
suzuki-fronx,フロンクス,root,root,"12,000km",12000,12000,1,235.0,235.0,235.0,235.0,235.0,235.0,235.0,"2025年式 / 1.5 4WD / 12,000km / 京都府",2025年式,1.5 4WD,"12,000km",京都府,manen
suzuki-fronx,フロンクス,root,root,"13,000km",13000,13000,1,228.5,228.5,228.5,228.5,228.5,228.5,228.5,"2024年式 / 1.5 4WD / 13,000km / 千葉県",2024年式,1.5 4WD,"13,000km",千葉県,manen
suzuki-fronx,フロンクス,root,root,"15,000km",15000,15000,1,208.5,208.5,208.5,208.5,208.5,208.5,208.5,"2024年式 / 1.5 4WD / 15,000km / 岩手県",2024年式,1.5 4WD,"15,000km",岩手県,manen
