model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-jimny-sierra,ジムニーシエラ,root,root,0万km,0,0,8,83.6,236.5,183.0,212.3,193.3,220.5,236.5,2024年式 / 1.5 JC 4WD / 0万km / 栃木県,2024年式,1.5 JC 4WD,0万km,栃木県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"1,000km",1000,1000,12,193.7,255.3,225.6,224.3,219.8,235.8,255.3,"2025年式 / 1.5 JC 4WD / 1,000km / 秋田県",2025年式,1.5 JC 4WD,"1,000km",秋田県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"2,000km",2000,2000,22,180.5,261.0,206.2,201.2,180.5,234.0,261.0,"2025年式 / 1.5 JC 4WD / 2,000km / 兵庫県",2025年式,1.5 JC 4WD,"2,000km",兵庫県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"3,000km",3000,3000,16,193.7,240.5,217.2,223.2,200.3,234.6,240.5,"2023年式 / 1.5 JC 4WD / 3,000km / 香川県",2023年式,1.5 JC 4WD,"3,000km",香川県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"4,000km",4000,4000,23,113.0,266.6,199.9,198.8,180.5,215.7,266.6,"2023年式 / 1.5 JC 4WD / 4,000km / 愛知県",2023年式,1.5 JC 4WD,"4,000km",愛知県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"5,000km",5000,5000,9,76.5,250.0,209.8,232.0,212.4,233.5,250.0,"2025年式 / 1.5 JC 4WD / 5,000km / 宮城県",2025年式,1.5 JC 4WD,"5,000km",宮城県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"6,000km",6000,6000,39,149.5,242.4,207.3,223.7,173.6,237.1,242.4,"2021年式 / 1.5 JC 4WD / 6,000km / 宮崎県",2021年式,1.5 JC 4WD,"6,000km",宮崎県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"7,000km",7000,7000,19,198.9,240.5,211.2,205.1,205.1,213.6,240.5,"2023年式 / 1.5 JC 4WD / 7,000km / 奈良県",2023年式,1.5 JC 4WD,"7,000km",奈良県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"8,000km",8000,8000,11,140.4,238.5,197.9,200.0,182.7,216.2,238.5,"2023年式 / 1.5 JC 4WD / 8,000km / 兵庫県",2023年式,1.5 JC 4WD,"8,000km",兵庫県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"9,000km",9000,9000,7,197.7,266.0,214.7,211.0,200.0,212.4,266.0,"2023年式 / 1.5 JC 4WD / 9,000km / 佐賀県",2023年式,1.5 JC 4WD,"9,000km",佐賀県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,1万km,10000,10000,3,188.9,213.5,200.8,200.0,188.9,213.5,213.5,2022年式 / 1.5 JC 4WD / 1万km / 岐阜県,2022年式,1.5 JC 4WD,1万km,岐阜県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"11,000km",11000,11000,5,140.5,244.0,199.4,199.5,182.5,230.5,244.0,"2022年式 / 1.5 JC 4WD / 11,000km / 京都府",2022年式,1.5 JC 4WD,"11,000km",京都府,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"12,000km",12000,12000,33,163.0,258.0,213.6,210.5,177.5,258.0,258.0,"2021年式 / 1.5 JC 4WD / 12,000km / 茨城県",2021年式,1.5 JC 4WD,"12,000km",茨城県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"13,000km",13000,13000,6,167.9,263.0,213.6,212.3,202.8,223.4,263.0,"2021年式 / 1.5 JC 4WD / 13,000km / 山口県",2021年式,1.5 JC 4WD,"13,000km",山口県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"14,000km",14000,14000,25,197.5,239.5,212.1,220.0,197.5,221.5,239.5,"2022年式 / 1.5 JC 4WD / 14,000km / 島根県",2022年式,1.5 JC 4WD,"14,000km",島根県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"15,000km",15000,15000,6,211.0,235.2,220.3,218.0,212.5,227.1,235.2,"2023年式 / 1.5 JC 4WD / 15,000km / 神奈川県",2023年式,1.5 JC 4WD,"15,000km",神奈川県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"16,000km",16000,16000,11,125.0,243.0,208.2,210.5,194.9,230.9,243.0,"2021年式 / 1.5 JC 4WD / 16,000km / 滋賀県",2021年式,1.5 JC 4WD,"16,000km",滋賀県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"17,000km",17000,17000,9,175.4,263.1,205.3,202.8,187.4,219.8,263.1,"2022年式 / 1.5 JC 4WD / 17,000km / 愛媛県",2022年式,1.5 JC 4WD,"17,000km",愛媛県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"18,000km",18000,18000,19,184.0,248.0,204.1,209.0,187.7,209.0,248.0,"2021年式 / 1.5 JC 4WD / 18,000km / 東京都",2021年式,1.5 JC 4WD,"18,000km",東京都,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"19,000km",19000,19000,14,172.5,266.5,216.0,217.8,183.5,239.9,266.5,"2020年式 / 1.5 JC 4WD / 19,000km / 愛媛県",2020年式,1.5 JC 4WD,"19,000km",愛媛県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,2万km,20000,20000,10,171.0,234.0,209.5,208.2,203.7,226.5,234.0,2021年式 / 1.5 JC 4WD / 2万km / 岐阜県,2021年式,1.5 JC 4WD,2万km,岐阜県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"21,000km",21000,21000,2,226.3,226.3,226.3,226.3,226.3,226.3,226.3,"2019年式 / 1.5 JC 4WD / 21,000km / 福岡県",2019年式,1.5 JC 4WD,"21,000km",福岡県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"22,000km",22000,22000,11,171.4,258.0,214.7,209.5,200.5,224.0,258.0,"2022年式 / 1.5 JC 4WD / 22,000km / 神奈川県",2022年式,1.5 JC 4WD,"22,000km",神奈川県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"23,000km",23000,23000,6,171.8,221.0,195.5,191.0,184.0,214.4,221.0,"2021年式 / 1.5 JC 4WD / 23,000km / 佐賀県",2021年式,1.5 JC 4WD,"23,000km",佐賀県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"24,000km",24000,24000,8,125.3,259.2,199.3,190.0,186.5,204.4,259.2,"2021年式 / 1.5 JC 4WD / 24,000km / 茨城県",2021年式,1.5 JC 4WD,"24,000km",茨城県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"25,000km",25000,25000,6,182.4,241.0,218.7,225.0,198.0,241.0,241.0,"2021年式 / 1.5 JC 4WD / 25,000km / 山梨県",2021年式,1.5 JC 4WD,"25,000km",山梨県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"26,000km",26000,26000,15,99.5,214.4,188.2,191.0,191.0,191.0,214.4,"2021年式 / 1.5 JL 4WD / 26,000km / 愛知県",2021年式,1.5 JL 4WD,"26,000km",愛知県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"27,000km",27000,27000,9,170.2,264.2,212.4,202.0,196.0,232.5,264.2,"2024年式 / 1.5 JC 4WD / 27,000km / 新潟県",2024年式,1.5 JC 4WD,"27,000km",新潟県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"28,000km",28000,28000,4,124.5,244.5,202.2,219.8,196.5,243.2,244.5,"2022年式 / 1.5 JC 4WD / 28,000km / 大分県",2022年式,1.5 JC 4WD,"28,000km",大分県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"29,000km",29000,29000,8,181.5,254.0,222.5,226.6,218.5,244.3,254.0,"2021年式 / 1.5 JC 4WD / 29,000km / 福井県",2021年式,1.5 JC 4WD,"29,000km",福井県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,3万km,30000,30000,4,164.0,234.1,198.9,198.8,175.4,222.1,234.1,2021年式 / 1.5 JC 4WD / 3万km / 山口県,2021年式,1.5 JC 4WD,3万km,山口県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"31,000km",31000,31000,11,187.7,230.4,199.7,194.2,191.5,206.0,230.4,"2023年式 / 1.5 JC 4WD / 31,000km / 鳥取県",2023年式,1.5 JC 4WD,"31,000km",鳥取県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"32,000km",32000,32000,19,88.0,233.5,186.3,182.0,182.0,210.5,233.5,"2021年式 / 1.5 JC 4WD / 32,000km / 宮崎県",2021年式,1.5 JC 4WD,"32,000km",宮崎県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"33,000km",33000,33000,7,175.5,237.5,190.4,183.1,179.0,186.7,237.5,"2021年式 / 1.5 JL 4WD / 33,000km / 新潟県",2021年式,1.5 JL 4WD,"33,000km",新潟県,manen
suzuki-jimny-sierra,ジムニーシエラ,root,root,"34,000km",34000,34000,8,83.0,260.0,185.5,189.5,176.1,209.0,260.0,"2019年式 / 1.5 JC 4WD / 34,000km / 鹿児島県",2019年式,1.5 JC 4WD,"34,000km",鹿児島県,manen
