model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-jimny-sierra,ジムニーシエラ,,2025,2025年式,root,root,21,193.7,261.0,232.3,234.6,221.0,246.2,261.0,"2025年式 / 1.5 JC 4WD / 2,000km / 兵庫県",2025年式,1.5 JC 4WD,"2,000km",兵庫県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2024,2024年式,root,root,57,188.6,264.2,216.6,216.5,205.0,223.7,264.2,"2024年式 / 1.5 JC 4WD / 27,000km / 新潟県",2024年式,1.5 JC 4WD,"27,000km",新潟県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2023,2023年式,root,root,109,161.7,266.6,204.3,205.0,190.0,214.0,266.6,"2023年式 / 1.5 JC 4WD / 4,000km / 愛知県",2023年式,1.5 JC 4WD,"4,000km",愛知県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2022,2022年式,root,root,87,163.0,263.1,211.2,212.4,193.1,222.4,263.1,"2022年式 / 1.5 JC 4WD / 17,000km / 愛媛県",2022年式,1.5 JC 4WD,"17,000km",愛媛県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2021,2021年式,root,root,116,141.4,263.7,218.5,222.1,195.5,242.4,263.7,"2021年式 / 1.5 JC 4WD / 19,000km / 徳島県",2021年式,1.5 JC 4WD,"19,000km",徳島県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2020,2020年式,root,root,92,112.0,266.5,204.1,198.7,182.0,232.5,266.5,"2020年式 / 1.5 JC 4WD / 19,000km / 愛媛県",2020年式,1.5 JC 4WD,"19,000km",愛媛県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2019,2019年式,root,root,101,83.0,260.0,183.0,183.5,170.2,196.0,260.0,"2019年式 / 1.5 JC 4WD / 34,000km / 鹿児島県",2019年式,1.5 JC 4WD,"34,000km",鹿児島県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2018,2018年式,root,root,84,93.1,224.5,161.3,157.5,142.0,183.5,224.5,"2018年式 / 1.5 JC 4WD / 16,000km / 東京都",2018年式,1.5 JC 4WD,"16,000km",東京都,manen
suzuki-jimny-sierra,ジムニーシエラ,,2017,2017年式,root,root,19,61.0,140.5,106.3,109.8,86.7,124.5,140.5,"2017年式 / 1.3 ランドベンチャー 4WD / 11,000km / 奈良県",2017年式,1.3 ランドベンチャー 4WD,"11,000km",奈良県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2016,2016年式,root,root,30,5.0,143.0,103.5,113.5,87.3,114.5,143.0,"2016年式 / 1.3 ランドベンチャー 4WD / 51,000km / 兵庫県",2016年式,1.3 ランドベンチャー 4WD,"51,000km",兵庫県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2015,2015年式,root,root,29,72.5,140.4,92.4,91.0,79.5,102.0,140.4,"2015年式 / 1.3 ランドベンチャー 4WD / 8,000km / 栃木県",2015年式,1.3 ランドベンチャー 4WD,"8,000km",栃木県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2014,2014年式,root,root,48,37.5,120.5,97.5,115.5,72.7,120.0,120.5,"2014年式 / 1.3 ランドベンチャー 4WD / 47,000km / 東京都",2014年式,1.3 ランドベンチャー 4WD,"47,000km",東京都,manen
suzuki-jimny-sierra,ジムニーシエラ,,2013,2013年式,root,root,35,36.8,125.3,87.4,83.6,67.5,104.0,125.3,"2013年式 / 1.3 クロスアドベンチャー 4WD / 24,000km / 東京都",2013年式,1.3 クロスアドベンチャー 4WD,"24,000km",東京都,manen
suzuki-jimny-sierra,ジムニーシエラ,,2012,2012年式,root,root,18,36.5,125.0,71.6,72.0,55.0,82.4,125.0,"2012年式 / 1.3 クロスアドベンチャー 4WD / 16,000km / 山形県",2012年式,1.3 クロスアドベンチャー 4WD,"16,000km",山形県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2011,2011年式,root,root,23,44.0,113.0,59.3,49.3,44.0,64.5,113.0,"2011年式 / 1.3 クロスアドベンチャー 4WD / 4,000km / 神奈川県",2011年式,1.3 クロスアドベンチャー 4WD,"4,000km",神奈川県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2010,2010年式,root,root,26,41.2,125.0,67.3,62.8,60.4,77.5,125.0,"2010年式 / 1.3 クロスアドベンチャー 4WD / 68,000km / 群馬県",2010年式,1.3 クロスアドベンチャー 4WD,"68,000km",群馬県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2009,2009年式,root,root,27,22.1,72.0,45.9,41.2,41.2,48.7,72.0,"2009年式 / 1.3 ワイルドウインド 4WD / 77,000km / 長野県",2009年式,1.3 ワイルドウインド 4WD,"77,000km",長野県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2008,2008年式,root,root,18,26.7,73.5,43.6,35.5,31.5,61.3,73.5,"2008年式 / 1.3 4WD / 68,000km / 富山県",2008年式,1.3 4WD,"68,000km",富山県,manen
suzuki-jimny-sierra,ジムニーシエラ,,2007,2007年式,root,root,10,8.9,88.0,44.2,44.4,37.2,48.0,88.0,"2007年式 / 1.3 ランドベンチャー 4WD / 32,000km / 茨城県",2007年式,1.3 ランドベンチャー 4WD,"32,000km",茨城県,manen
