model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-jimny-wide,ジムニーワイド,root,root,"15,000km",15000,15000,1,25.4,25.4,25.4,25.4,25.4,25.4,25.4,"2000年式 / 1.3 4WD / 15,000km / 沖縄県",2000年式,1.3 4WD,"15,000km",沖縄県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"24,000km",24000,24000,1,17.7,17.7,17.7,17.7,17.7,17.7,17.7,"1999年式 / 1.3 4WD / 24,000km / 茨城県",1999年式,1.3 4WD,"24,000km",茨城県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"28,000km",28000,28000,1,31.2,31.2,31.2,31.2,31.2,31.2,31.2,"1998年式 / 1.3 JZ 4WD / 28,000km / 鹿児島県",1998年式,1.3 JZ 4WD,"28,000km",鹿児島県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,3万km,30000,30000,1,19.6,19.6,19.6,19.6,19.6,19.6,19.6,1999年式 / 1.3 JZ 4WD / 3万km / 福島県,1999年式,1.3 JZ 4WD,3万km,福島県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"31,000km",31000,31000,2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,"1998年式 / 1.3 JZ 4WD / 31,000km / 京都府",1998年式,1.3 JZ 4WD,"31,000km",京都府,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"39,000km",39000,39000,1,36.0,36.0,36.0,36.0,36.0,36.0,36.0,"1999年式 / 1.3 JZ 4WD / 39,000km / 鳥取県",1999年式,1.3 JZ 4WD,"39,000km",鳥取県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"41,000km",41000,41000,1,18.9,18.9,18.9,18.9,18.9,18.9,18.9,"1997年式 / 1.3 JM 4WD / 41,000km / 島根県",1997年式,1.3 JM 4WD,"41,000km",島根県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"44,000km",44000,44000,2,17.1,19.0,18.1,18.1,17.1,19.0,19.0,"1997年式 / 1.3 JZ 4WD / 44,000km / 大分県",1997年式,1.3 JZ 4WD,"44,000km",大分県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"45,000km",45000,45000,2,25.5,27.7,26.6,26.6,25.5,27.7,27.7,"2000年式 / 1.3 4WD / 45,000km / 茨城県",2000年式,1.3 4WD,"45,000km",茨城県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"46,000km",46000,46000,1,15.3,15.3,15.3,15.3,15.3,15.3,15.3,"1997年式 / 1.3 JM 4WD / 46,000km / 奈良県",1997年式,1.3 JM 4WD,"46,000km",奈良県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"47,000km",47000,47000,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,"1997年式 / 1.3 JZ 4WD / 47,000km / 奈良県",1997年式,1.3 JZ 4WD,"47,000km",奈良県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"49,000km",49000,49000,2,22.2,27.6,24.9,24.9,22.2,27.6,27.6,"1999年式 / 1.3 JZ 4WD / 49,000km / 滋賀県",1999年式,1.3 JZ 4WD,"49,000km",滋賀県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"52,000km",52000,52000,2,18.6,18.6,18.6,18.6,18.6,18.6,18.6,"1998年式 / 1.3 JZ 4WD / 52,000km / 大阪府",1998年式,1.3 JZ 4WD,"52,000km",大阪府,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"53,000km",53000,53000,2,19.5,25.5,22.5,22.5,19.5,25.5,25.5,"1999年式 / 1.3 JZ 4WD / 53,000km / 大分県",1999年式,1.3 JZ 4WD,"53,000km",大分県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"54,000km",54000,54000,2,15.6,22.0,18.8,18.8,15.6,22.0,22.0,"1997年式 / 1.3 JZ 4WD / 54,000km / 徳島県",1997年式,1.3 JZ 4WD,"54,000km",徳島県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"56,000km",56000,56000,1,9.9,9.9,9.9,9.9,9.9,9.9,9.9,"1997年式 / 1.3 JZ 4WD / 56,000km / 富山県",1997年式,1.3 JZ 4WD,"56,000km",富山県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"57,000km",57000,57000,2,14.2,16.2,15.2,15.2,14.2,16.2,16.2,"1997年式 / 1.3 JZ 4WD / 57,000km / 福井県",1997年式,1.3 JZ 4WD,"57,000km",福井県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"58,000km",58000,58000,2,19.5,34.0,26.8,26.8,19.5,34.0,34.0,"1998年式 / 1.3 JZ 4WD / 58,000km / 秋田県",1998年式,1.3 JZ 4WD,"58,000km",秋田県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"59,000km",59000,59000,1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,"1997年式 / 1.3 JZ 4WD / 59,000km / 秋田県",1997年式,1.3 JZ 4WD,"59,000km",秋田県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,6万km,60000,60000,2,16.8,20.5,18.6,18.6,16.8,20.5,20.5,1997年式 / 1.3 JZ 4WD / 6万km / 三重県,1997年式,1.3 JZ 4WD,6万km,三重県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"61,000km",61000,61000,2,15.0,16.8,15.9,15.9,15.0,16.8,16.8,"1999年式 / 1.3 JZ 4WD / 61,000km / 鹿児島県",1999年式,1.3 JZ 4WD,"61,000km",鹿児島県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"63,000km",63000,63000,2,14.4,15.6,15.0,15.0,14.4,15.6,15.6,"1998年式 / 1.3 JZ 4WD / 63,000km / 栃木県",1998年式,1.3 JZ 4WD,"63,000km",栃木県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"64,000km",64000,64000,2,15.4,17.7,16.6,16.6,15.4,17.7,17.7,"1997年式 / 1.3 JZ 4WD / 64,000km / 新潟県",1997年式,1.3 JZ 4WD,"64,000km",新潟県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"65,000km",65000,65000,1,16.5,16.5,16.5,16.5,16.5,16.5,16.5,"1999年式 / 1.3 4WD / 65,000km / 佐賀県",1999年式,1.3 4WD,"65,000km",佐賀県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"66,000km",66000,66000,2,14.7,30.6,22.6,22.6,14.7,30.6,30.6,"1998年式 / 1.3 JZ 4WD / 66,000km / 奈良県",1998年式,1.3 JZ 4WD,"66,000km",奈良県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"67,000km",67000,67000,1,11.5,11.5,11.5,11.5,11.5,11.5,11.5,"1997年式 / 1.3 JZ 4WD / 67,000km / 山梨県",1997年式,1.3 JZ 4WD,"67,000km",山梨県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"69,000km",69000,69000,2,23.4,29.7,26.6,26.6,23.4,29.7,29.7,"1999年式 / 1.3 JZ 4WD / 69,000km / 山口県",1999年式,1.3 JZ 4WD,"69,000km",山口県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,7万km,70000,70000,1,28.6,28.6,28.6,28.6,28.6,28.6,28.6,1997年式 / 1.3 JZ 4WD / 7万km / 兵庫県,1997年式,1.3 JZ 4WD,7万km,兵庫県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"71,000km",71000,71000,3,13.2,21.3,16.7,15.6,13.2,21.3,21.3,"1999年式 / 1.3 JZ 4WD / 71,000km / 茨城県",1999年式,1.3 JZ 4WD,"71,000km",茨城県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"74,000km",74000,74000,2,17.4,17.8,17.6,17.6,17.4,17.8,17.8,"1998年式 / 1.3 JZ 4WD / 74,000km / 静岡県",1998年式,1.3 JZ 4WD,"74,000km",静岡県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"75,000km",75000,75000,2,20.8,23.1,21.9,21.9,20.8,23.1,23.1,"1997年式 / 1.3 JZ 4WD / 75,000km / 熊本県",1997年式,1.3 JZ 4WD,"75,000km",熊本県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"76,000km",76000,76000,2,17.0,32.9,24.9,24.9,17.0,32.9,32.9,"1999年式 / 1.3 JZ 4WD / 76,000km / 島根県",1999年式,1.3 JZ 4WD,"76,000km",島根県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"77,000km",77000,77000,3,13.5,21.0,17.8,18.8,13.5,21.0,21.0,"1997年式 / 1.3 JZ 4WD / 77,000km / 宮城県",1997年式,1.3 JZ 4WD,"77,000km",宮城県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"78,000km",78000,78000,1,25.5,25.5,25.5,25.5,25.5,25.5,25.5,"1998年式 / 1.3 JZ 4WD / 78,000km / 佐賀県",1998年式,1.3 JZ 4WD,"78,000km",佐賀県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"79,000km",79000,79000,2,17.2,25.0,21.1,21.1,17.2,25.0,25.0,"1999年式 / 1.3 JZ 4WD / 79,000km / 静岡県",1999年式,1.3 JZ 4WD,"79,000km",静岡県,manen
suzuki-jimny-wide,ジムニーワイド,root,root,8万km,80000,80000,2,16.9,30.5,23.7,23.7,16.9,30.5,30.5,1998年式 / 1.3 JZ 4WD / 8万km / 東京都,1998年式,1.3 JZ 4WD,8万km,東京都,manen
suzuki-jimny-wide,ジムニーワイド,root,root,"81,000km",81000,81000,5,11.8,26.4,18.5,17.1,15.4,21.9,26.4,"1998年式 / 1.3 JZ 4WD / 81,000km / 岩手県",1998年式,1.3 JZ 4WD,"81,000km",岩手県,manen
