model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-mr-wagon,MRワゴン,root,root,"3,000km",3000,3000,3,27.0,46.5,33.5,27.0,27.0,46.5,46.5,"2015年式 / L / 3,000km / 静岡県",2015年式,L,"3,000km",静岡県,manen
suzuki-mr-wagon,MRワゴン,root,root,"8,000km",8000,8000,1,37.3,37.3,37.3,37.3,37.3,37.3,37.3,"2013年式 / G / 8,000km / 沖縄県",2013年式,G,"8,000km",沖縄県,manen
suzuki-mr-wagon,MRワゴン,root,root,"11,000km",11000,11000,1,23.3,23.3,23.3,23.3,23.3,23.3,23.3,"2013年式 / L / 11,000km / 兵庫県",2013年式,L,"11,000km",兵庫県,manen
suzuki-mr-wagon,MRワゴン,root,root,"12,000km",12000,12000,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2011年式 / T 4WD / 12,000km / 福島県",2011年式,T 4WD,"12,000km",福島県,manen
suzuki-mr-wagon,MRワゴン,root,root,"13,000km",13000,13000,2,7.1,42.9,25.0,25.0,7.1,42.9,42.9,"2014年式 / L / 13,000km / 広島県",2014年式,L,"13,000km",広島県,manen
suzuki-mr-wagon,MRワゴン,root,root,"17,000km",17000,17000,1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,"2007年式 / ウィット GS / 17,000km / 島根県",2007年式,ウィット GS,"17,000km",島根県,manen
suzuki-mr-wagon,MRワゴン,root,root,"18,000km",18000,18000,3,5.0,37.1,25.9,35.6,5.0,37.1,37.1,"2014年式 / G 4WD / 18,000km / 兵庫県",2014年式,G 4WD,"18,000km",兵庫県,manen
suzuki-mr-wagon,MRワゴン,root,root,2万km,20000,20000,3,24.4,44.4,34.9,36.0,24.4,44.4,44.4,2014年式 / ウィット XS / 2万km / 沖縄県,2014年式,ウィット XS,2万km,沖縄県,manen
suzuki-mr-wagon,MRワゴン,root,root,"21,000km",21000,21000,1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,"2011年式 / X / 21,000km / 千葉県",2011年式,X,"21,000km",千葉県,manen
suzuki-mr-wagon,MRワゴン,root,root,"22,000km",22000,22000,2,36.0,37.0,36.5,36.5,36.0,37.0,37.0,"2014年式 / X / 22,000km / 奈良県",2014年式,X,"22,000km",奈良県,manen
suzuki-mr-wagon,MRワゴン,root,root,"23,000km",23000,23000,2,5.0,38.0,21.5,21.5,5.0,38.0,38.0,"2011年式 / Xセレクション / 23,000km / 埼玉県",2011年式,Xセレクション,"23,000km",埼玉県,manen
suzuki-mr-wagon,MRワゴン,root,root,"24,000km",24000,24000,5,20.0,32.5,24.5,22.9,22.6,24.7,32.5,"2013年式 / X / 24,000km / 広島県",2013年式,X,"24,000km",広島県,manen
suzuki-mr-wagon,MRワゴン,root,root,"25,000km",25000,25000,16,16.2,30.5,26.7,30.5,20.7,30.5,30.5,"2014年式 / L / 25,000km / 岡山県",2014年式,L,"25,000km",岡山県,manen
suzuki-mr-wagon,MRワゴン,root,root,"26,000km",26000,26000,8,21.9,33.1,28.6,29.5,26.5,30.0,33.1,"2012年式 / 10th アニバーサリーリミテッド / 26,000km / 東京都",2012年式,10th アニバーサリーリミテッド,"26,000km",東京都,manen
suzuki-mr-wagon,MRワゴン,root,root,"27,000km",27000,27000,2,20.1,36.3,28.2,28.2,20.1,36.3,36.3,"2013年式 / ウィット LS 4WD / 27,000km / 富山県",2013年式,ウィット LS 4WD,"27,000km",富山県,manen
suzuki-mr-wagon,MRワゴン,root,root,"28,000km",28000,28000,8,5.0,30.7,18.6,21.4,17.8,21.6,30.7,"2015年式 / X / 28,000km / 鹿児島県",2015年式,X,"28,000km",鹿児島県,manen
suzuki-mr-wagon,MRワゴン,root,root,"29,000km",29000,29000,6,17.4,23.4,21.1,21.8,19.1,23.4,23.4,"2011年式 / L / 29,000km / 和歌山県",2011年式,L,"29,000km",和歌山県,manen
suzuki-mr-wagon,MRワゴン,root,root,3万km,30000,30000,8,14.0,38.0,26.5,28.4,21.5,29.7,38.0,2013年式 / ウィット XS / 3万km / 大分県,2013年式,ウィット XS,3万km,大分県,manen
