model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-palette,パレット,root,root,0万km,0,0,1,15.7,15.7,15.7,15.7,15.7,15.7,15.7,2011年式 / リミテッド / 0万km / 佐賀県,2011年式,リミテッド,0万km,佐賀県,manen
suzuki-palette,パレット,root,root,"2,000km",2000,2000,1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,"2008年式 / X / 2,000km / 三重県",2008年式,X,"2,000km",三重県,manen
suzuki-palette,パレット,root,root,"3,000km",3000,3000,1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,"2011年式 / L 4WD / 3,000km / 大阪府",2011年式,L 4WD,"3,000km",大阪府,manen
suzuki-palette,パレット,root,root,"4,000km",4000,4000,1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,"2010年式 / X / 4,000km / 大分県",2010年式,X,"4,000km",大分県,manen
suzuki-palette,パレット,root,root,"8,000km",8000,8000,1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,"2009年式 / X / 8,000km / 高知県",2009年式,X,"8,000km",高知県,manen
suzuki-palette,パレット,root,root,1万km,10000,10000,1,19.3,19.3,19.3,19.3,19.3,19.3,19.3,2013年式 / SW XS / 1万km / 兵庫県,2013年式,SW XS,1万km,兵庫県,manen
suzuki-palette,パレット,root,root,"11,000km",11000,11000,1,29.6,29.6,29.6,29.6,29.6,29.6,29.6,"2010年式 / X / 11,000km / 愛知県",2010年式,X,"11,000km",愛知県,manen
suzuki-palette,パレット,root,root,"15,000km",15000,15000,1,23.5,23.5,23.5,23.5,23.5,23.5,23.5,"2008年式 / X / 15,000km / 長野県",2008年式,X,"15,000km",長野県,manen
suzuki-palette,パレット,root,root,"16,000km",16000,16000,2,5.0,20.3,12.7,12.7,5.0,20.3,20.3,"2012年式 / L / 16,000km / 愛媛県",2012年式,L,"16,000km",愛媛県,manen
suzuki-palette,パレット,root,root,"17,000km",17000,17000,1,22.5,22.5,22.5,22.5,22.5,22.5,22.5,"2012年式 / リミテッド / 17,000km / 栃木県",2012年式,リミテッド,"17,000km",栃木県,manen
suzuki-palette,パレット,root,root,"18,000km",18000,18000,2,25.0,35.4,30.2,30.2,25.0,35.4,35.4,"2012年式 / SW リミテッドII / 18,000km / 京都府",2012年式,SW リミテッドII,"18,000km",京都府,manen
suzuki-palette,パレット,root,root,"19,000km",19000,19000,1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,"2011年式 / SW TS / 19,000km / 石川県",2011年式,SW TS,"19,000km",石川県,manen
