model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-solio-bandit,ソリオバンディット,,2025,2025年式,root,root,4,144.0,190.5,172.8,178.2,169.5,187.0,190.5,"2025年式 / 1.2 ハイブリッド(HYBRID) MV / 1,000km / 鹿児島県",2025年式,1.2 ハイブリッド(HYBRID) MV,"1,000km",鹿児島県,manen
suzuki-solio-bandit,ソリオバンディット,,2024,2024年式,root,root,25,125.2,191.5,172.9,180.3,165.7,182.5,191.5,2024年式 / 1.2 ハイブリッド(HYBRID) MV / 1万km / 青森県,2024年式,1.2 ハイブリッド(HYBRID) MV,1万km,青森県,manen
suzuki-solio-bandit,ソリオバンディット,,2023,2023年式,root,root,51,17.3,191.5,159.1,166.0,158.5,175.5,191.5,"2023年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 1,000km / 大分県",2023年式,1.2 ハイブリッド(HYBRID) MV 4WD,"1,000km",大分県,manen
suzuki-solio-bandit,ソリオバンディット,,2022,2022年式,root,root,59,89.7,189.0,157.5,160.5,149.5,175.5,189.0,"2022年式 / 1.2 ハイブリッド(HYBRID) MV / 4,000km / 熊本県",2022年式,1.2 ハイブリッド(HYBRID) MV,"4,000km",熊本県,manen
suzuki-solio-bandit,ソリオバンディット,,2021,2021年式,root,root,68,82.2,188.0,146.8,150.8,135.7,162.5,188.0,2021年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 1万km / 青森県,2021年式,1.2 ハイブリッド(HYBRID) MV 4WD,1万km,青森県,manen
suzuki-solio-bandit,ソリオバンディット,,2020,2020年式,root,root,85,28.8,184.4,110.3,109.9,90.5,130.2,184.4,"2020年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 9,000km / 石川県",2020年式,1.2 ハイブリッド(HYBRID) MV 4WD,"9,000km",石川県,manen
suzuki-solio-bandit,ソリオバンディット,,2019,2019年式,root,root,110,19.2,151.5,91.7,96.5,65.0,120.3,151.5,"2019年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 21,000km / 大阪府",2019年式,1.2 ハイブリッド(HYBRID) MV 4WD,"21,000km",大阪府,manen
suzuki-solio-bandit,ソリオバンディット,,2018,2018年式,root,root,88,9.7,146.5,77.1,79.6,51.0,100.0,146.5,"2018年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 37,000km / 京都府",2018年式,1.2 ハイブリッド(HYBRID) MV 4WD,"37,000km",京都府,manen
suzuki-solio-bandit,ソリオバンディット,,2017,2017年式,root,root,148,9.0,153.9,59.8,53.6,35.6,82.5,153.9,"2017年式 / 1.2 ハイブリッド(HYBRID) MV / 9,000km / 埼玉県",2017年式,1.2 ハイブリッド(HYBRID) MV,"9,000km",埼玉県,manen
suzuki-solio-bandit,ソリオバンディット,,2016,2016年式,root,root,119,5.0,124.4,56.1,51.1,37.0,75.1,124.4,"2016年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 27,000km / 岐阜県",2016年式,1.2 ハイブリッド(HYBRID) MV 4WD,"27,000km",岐阜県,manen
suzuki-solio-bandit,ソリオバンディット,,2015,2015年式,root,root,118,5.0,121.5,42.1,37.0,23.4,55.3,121.5,"2015年式 / 1.2 ハイブリッド(HYBRID) MV 4WD / 27,000km / 秋田県",2015年式,1.2 ハイブリッド(HYBRID) MV 4WD,"27,000km",秋田県,manen
suzuki-solio-bandit,ソリオバンディット,,2014,2014年式,root,root,80,5.0,78.5,27.8,24.1,17.4,38.0,78.5,"2014年式 / 1.2 DJE 4WD / 39,000km / 佐賀県",2014年式,1.2 DJE 4WD,"39,000km",佐賀県,manen
suzuki-solio-bandit,ソリオバンディット,,2013,2013年式,root,root,26,5.0,65.8,26.4,23.8,11.0,38.5,65.8,"2013年式 / 1.2 DJE 4WD / 19,000km / 兵庫県",2013年式,1.2 DJE 4WD,"19,000km",兵庫県,manen
suzuki-solio-bandit,ソリオバンディット,,2012,2012年式,root,root,19,5.0,57.5,18.9,21.9,5.0,26.0,57.5,"2012年式 / 1.2 4WD / 57,000km / 青森県",2012年式,1.2 4WD,"57,000km",青森県,manen
