model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-solio,ソリオ,root,root,0万km,0,0,5,138.0,181.5,171.1,178.7,176.5,181.0,181.5,2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 0万km / 富山県,2024年式,1.2 ハイブリッド(HYBRID) SZ,0万km,富山県,manen
suzuki-solio,ソリオ,root,root,"1,000km",1000,1000,7,54.5,194.2,144.3,154.5,125.3,175.4,194.2,"2023年式 / 1.2 ハイブリッド(HYBRID) SZ / 1,000km / 熊本県",2023年式,1.2 ハイブリッド(HYBRID) SZ,"1,000km",熊本県,manen
suzuki-solio,ソリオ,root,root,"3,000km",3000,3000,5,102.5,182.0,149.7,176.5,106.9,180.6,182.0,"2022年式 / 1.2 ハイブリッド(HYBRID) SZ / 3,000km / 福井県",2022年式,1.2 ハイブリッド(HYBRID) SZ,"3,000km",福井県,manen
suzuki-solio,ソリオ,root,root,"4,000km",4000,4000,9,20.4,186.5,138.4,140.2,140.0,167.0,186.5,"2023年式 / 1.2 ハイブリッド(HYBRID)  MZ / 4,000km / 宮城県",2023年式,1.2 ハイブリッド(HYBRID)  MZ,"4,000km",宮城県,manen
suzuki-solio,ソリオ,root,root,"5,000km",5000,5000,7,138.0,191.5,171.8,182.0,165.0,182.0,191.5,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 5,000km / 長崎県",2024年式,1.2 ハイブリッド(HYBRID) SZ,"5,000km",長崎県,manen
suzuki-solio,ソリオ,root,root,"6,000km",6000,6000,7,148.1,184.8,163.1,159.0,158.9,169.2,184.8,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 6,000km / 佐賀県",2024年式,1.2 ハイブリッド(HYBRID) SZ,"6,000km",佐賀県,manen
suzuki-solio,ソリオ,root,root,"7,000km",7000,7000,8,124.0,198.0,160.4,161.2,156.5,162.5,198.0,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 7,000km / 愛媛県",2024年式,1.2 ハイブリッド(HYBRID) SZ,"7,000km",愛媛県,manen
suzuki-solio,ソリオ,root,root,"8,000km",8000,8000,9,78.5,197.0,150.4,170.0,107.5,177.5,197.0,"2023年式 / 1.2 ハイブリッド(HYBRID) SZ / 8,000km / 秋田県",2023年式,1.2 ハイブリッド(HYBRID) SZ,"8,000km",秋田県,manen
suzuki-solio,ソリオ,root,root,"9,000km",9000,9000,11,7.1,195.0,143.6,160.1,115.5,183.5,195.0,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 9,000km / 新潟県",2024年式,1.2 ハイブリッド(HYBRID) SZ,"9,000km",新潟県,manen
suzuki-solio,ソリオ,root,root,1万km,10000,10000,9,30.3,190.5,140.6,169.5,127.6,176.5,190.5,2023年式 / 1.2 ハイブリッド(HYBRID) SZ / 1万km / 沖縄県,2023年式,1.2 ハイブリッド(HYBRID) SZ,1万km,沖縄県,manen
suzuki-solio,ソリオ,root,root,"11,000km",11000,11000,9,92.2,188.6,144.2,152.6,115.5,168.5,188.6,"2022年式 / 1.2 ハイブリッド(HYBRID)  MZ 4WD / 11,000km / 茨城県",2022年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,"11,000km",茨城県,manen
suzuki-solio,ソリオ,root,root,"12,000km",12000,12000,9,61.0,192.0,155.9,173.5,150.9,178.5,192.0,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 12,000km / 東京都",2024年式,1.2 ハイブリッド(HYBRID) SZ,"12,000km",東京都,manen
suzuki-solio,ソリオ,root,root,"13,000km",13000,13000,6,37.4,161.3,109.7,116.7,88.1,138.0,161.3,"2023年式 / 1.2 ハイブリッド(HYBRID) MX 4WD / 13,000km / 徳島県",2023年式,1.2 ハイブリッド(HYBRID) MX 4WD,"13,000km",徳島県,manen
suzuki-solio,ソリオ,root,root,"14,000km",14000,14000,10,74.5,177.0,128.2,130.0,93.5,171.6,177.0,"2024年式 / 1.2 ハイブリッド(HYBRID)  MZ / 14,000km / 山口県",2024年式,1.2 ハイブリッド(HYBRID)  MZ,"14,000km",山口県,manen
suzuki-solio,ソリオ,root,root,"15,000km",15000,15000,5,80.0,179.5,136.1,141.0,138.0,142.0,179.5,"2023年式 / 1.2 ハイブリッド(HYBRID)  MZ / 15,000km / 栃木県",2023年式,1.2 ハイブリッド(HYBRID)  MZ,"15,000km",栃木県,manen
