model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-solio,ソリオ,,2025,2025年式,root,root,4,125.0,160.0,136.3,130.2,125.3,135.0,160.0,"2025年式 / 1.2 G スズキ セーフティ サポート / 5,000km / 茨城県",2025年式,1.2 G スズキ セーフティ サポート,"5,000km",茨城県,manen
suzuki-solio,ソリオ,,2024,2024年式,root,root,54,18.3,198.0,150.2,159.5,127.6,175.4,198.0,"2024年式 / 1.2 ハイブリッド(HYBRID) SZ / 7,000km / 愛媛県",2024年式,1.2 ハイブリッド(HYBRID) SZ,"7,000km",愛媛県,manen
suzuki-solio,ソリオ,,2023,2023年式,root,root,81,51.2,197.0,146.7,161.3,119.7,178.0,197.0,"2023年式 / 1.2 ハイブリッド(HYBRID) SZ / 8,000km / 秋田県",2023年式,1.2 ハイブリッド(HYBRID) SZ,"8,000km",秋田県,manen
suzuki-solio,ソリオ,,2022,2022年式,root,root,57,35.7,188.6,125.5,118.1,96.5,160.0,188.6,"2022年式 / 1.2 ハイブリッド(HYBRID)  MZ 4WD / 11,000km / 茨城県",2022年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,"11,000km",茨城県,manen
suzuki-solio,ソリオ,,2021,2021年式,root,root,62,14.2,182.0,126.4,138.8,103.0,156.3,182.0,"2021年式 / 1.2 ハイブリッド(HYBRID)  MZ 4WD / 5,000km / 長野県",2021年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,"5,000km",長野県,manen
suzuki-solio,ソリオ,,2020,2020年式,root,root,73,6.0,164.5,82.2,85.3,63.5,108.0,164.5,"2020年式 / 1.2 ハイブリッド(HYBRID)  MZ / 24,000km / 秋田県",2020年式,1.2 ハイブリッド(HYBRID)  MZ,"24,000km",秋田県,manen
suzuki-solio,ソリオ,,2019,2019年式,root,root,62,18.0,121.5,61.9,61.5,42.0,79.9,121.5,2019年式 / 1.2 ハイブリッド(HYBRID)  MZ / 4万km / 大阪府,2019年式,1.2 ハイブリッド(HYBRID)  MZ,4万km,大阪府,manen
suzuki-solio,ソリオ,,2018,2018年式,root,root,86,16.8,161.5,61.5,63.3,32.7,87.5,161.5,2018年式 / 1.2 ハイブリッド(HYBRID)  MZ 4WD / 1万km / 富山県,2018年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,1万km,富山県,manen
suzuki-solio,ソリオ,,2017,2017年式,root,root,107,5.0,114.5,48.6,49.8,27.8,67.3,114.5,2017年式 / 1.2 ハイブリッド(HYBRID)  MZ / 3万km / 茨城県,2017年式,1.2 ハイブリッド(HYBRID)  MZ,3万km,茨城県,manen
suzuki-solio,ソリオ,,2016,2016年式,root,root,92,3.6,88.5,40.5,37.7,23.0,56.7,88.5,"2016年式 / 1.2 ハイブリッド(HYBRID) MX / 8,000km / 静岡県",2016年式,1.2 ハイブリッド(HYBRID) MX,"8,000km",静岡県,manen
suzuki-solio,ソリオ,,2015,2015年式,root,root,79,5.0,79.2,32.0,29.9,20.3,41.2,79.2,"2015年式 / 1.2 ハイブリッド(HYBRID)  MZ 4WD / 53,000km / 福岡県",2015年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,"53,000km",福岡県,manen
suzuki-solio,ソリオ,,2014,2014年式,root,root,77,5.0,69.6,24.6,22.3,17.9,30.6,69.6,"2014年式 / 1.2 ハイブリッド(HYBRID)  MZ / 47,000km / 静岡県",2014年式,1.2 ハイブリッド(HYBRID)  MZ,"47,000km",静岡県,manen
suzuki-solio,ソリオ,,2013,2013年式,root,root,51,5.0,56.5,19.5,19.3,5.0,25.5,56.5,"2013年式 / 1.2 X 4WD / 47,000km / 高知県",2013年式,1.2 X 4WD,"47,000km",高知県,manen
suzuki-solio,ソリオ,,2012,2012年式,root,root,60,5.0,50.5,18.9,19.9,5.3,25.5,50.5,"2012年式 / 1.2 ブラック＆ホワイト / 43,000km / 群馬県",2012年式,1.2 ブラック＆ホワイト,"43,000km",群馬県,manen
suzuki-solio,ソリオ,,2011,2011年式,root,root,54,5.0,36.1,16.4,17.8,5.0,23.5,36.1,"2011年式 / 1.2 ブラック＆ホワイト / 74,000km / 滋賀県",2011年式,1.2 ブラック＆ホワイト,"74,000km",滋賀県,manen
suzuki-solio,ソリオ,,1930,1930年式,root,root,1,120.6,120.6,120.6,120.6,120.6,120.6,120.6,"1930年式 / 1.2 ハイブリッド(HYBRID) MX 4WD / 85,000km / 北海道",1930年式,1.2 ハイブリッド(HYBRID) MX 4WD,"85,000km",北海道,manen
