model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-swift,スイフト,,2025,2025年式,root,root,6,15.5,185.3,140.3,159.8,150.3,171.0,185.3,2025年式 / 1.2 ハイブリッド(HYBRID) MZ 4WD / 0万km / 埼玉県,2025年式,1.2 ハイブリッド(HYBRID) MZ 4WD,0万km,埼玉県,manen
suzuki-swift,スイフト,,2024,2024年式,root,root,28,91.2,188.9,156.7,162.2,142.5,177.0,188.9,2024年式 / 1.2 ハイブリッド(HYBRID) MZ / 0万km / 愛知県,2024年式,1.2 ハイブリッド(HYBRID) MZ,0万km,愛知県,manen
suzuki-swift,スイフト,,2023,2023年式,root,root,60,9.7,180.5,137.6,150.7,120.0,167.0,180.5,"2023年式 / 1.4 スポーツ / 3,000km / 和歌山県",2023年式,1.4 スポーツ,"3,000km",和歌山県,manen
suzuki-swift,スイフト,,2022,2022年式,root,root,44,56.3,184.5,132.7,138.1,96.7,168.5,184.5,"2022年式 / 1.4 スポーツ / 26,000km / 茨城県",2022年式,1.4 スポーツ,"26,000km",茨城県,manen
suzuki-swift,スイフト,,2021,2021年式,root,root,53,51.5,181.1,128.0,141.0,90.0,166.0,181.1,2021年式 / 1.4 スポーツ / 1万km / 山梨県,2021年式,1.4 スポーツ,1万km,山梨県,manen
suzuki-swift,スイフト,,2020,2020年式,root,root,77,9.6,171.3,96.8,95.6,70.1,121.8,171.3,"2020年式 / 1.4 スポーツ / 13,000km / 山形県",2020年式,1.4 スポーツ,"13,000km",山形県,manen
suzuki-swift,スイフト,,2019,2019年式,root,root,87,13.8,155.5,92.9,88.5,72.1,118.6,155.5,2019年式 / 1.4 スポーツ / 2万km / 京都府,2019年式,1.4 スポーツ,2万km,京都府,manen
suzuki-swift,スイフト,,2018,2018年式,root,root,103,19.2,142.3,79.2,77.5,57.3,102.0,142.3,"2018年式 / 1.4 スポーツ / 43,000km / 京都府",2018年式,1.4 スポーツ,"43,000km",京都府,manen
suzuki-swift,スイフト,,2017,2017年式,root,root,98,9.7,184.0,70.4,65.8,48.0,91.5,184.0,2017年式 / 1.4 スポーツ / 5万km / 山形県,2017年式,1.4 スポーツ,5万km,山形県,manen
suzuki-swift,スイフト,,2016,2016年式,root,root,54,5.0,72.0,31.9,29.8,24.0,38.7,72.0,"2016年式 / 1.6 スポーツ / 74,000km / 栃木県",2016年式,1.6 スポーツ,"74,000km",栃木県,manen
