model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-twin,ツイン,,2015,2015年式,root,root,2,8.4,12.0,10.2,10.2,8.4,12.0,12.0,"2015年式 / ガソリンA / 142,000km / 福岡県",2015年式,ガソリンA,"142,000km",福岡県,manen
suzuki-twin,ツイン,,2014,2014年式,root,root,2,32.4,33.6,33.0,33.0,32.4,33.6,33.6,"2014年式 / ガソリンA / 33,000km / 長崎県",2014年式,ガソリンA,"33,000km",長崎県,manen
suzuki-twin,ツイン,,2013,2013年式,root,root,11,6.7,38.1,20.0,20.7,7.6,32.0,38.1,"2013年式 / ガソリンV / 41,000km / 広島県",2013年式,ガソリンV,"41,000km",広島県,manen
suzuki-twin,ツイン,,2012,2012年式,root,root,11,8.7,37.0,20.4,15.6,15.1,26.8,37.0,"2012年式 / ガソリンV / 13,000km / 千葉県",2012年式,ガソリンV,"13,000km",千葉県,manen
suzuki-twin,ツイン,,2006,2006年式,root,root,2,17.4,31.2,24.3,24.3,17.4,31.2,31.2,"2006年式 / ガソリンB カラーパッケージ / 48,000km / 群馬県",2006年式,ガソリンB カラーパッケージ,"48,000km",群馬県,manen
suzuki-twin,ツイン,,2005,2005年式,root,root,62,5.0,40.5,21.6,19.6,13.5,29.0,40.5,"2005年式 / ガソリンB / 54,000km / 兵庫県",2005年式,ガソリンB,"54,000km",兵庫県,manen
suzuki-twin,ツイン,,2004,2004年式,root,root,186,5.0,45.5,24.2,24.8,18.7,30.9,45.5,"2004年式 / ガソリンB カラーパッケージ / 19,000km / 滋賀県",2004年式,ガソリンB カラーパッケージ,"19,000km",滋賀県,manen
suzuki-twin,ツイン,,2003,2003年式,root,root,319,3.2,42.8,22.7,22.1,16.5,30.0,42.8,"2003年式 / ガソリンA / 39,000km / 新潟県",2003年式,ガソリンA,"39,000km",新潟県,manen
suzuki-twin,ツイン,,2002,2002年式,root,root,327,4.8,41.7,21.1,20.7,15.5,26.0,41.7,"2002年式 / ガソリンA / 62,000km / 香川県",2002年式,ガソリンA,"62,000km",香川県,manen
suzuki-twin,ツイン,,1987,1987年式,root,root,3,14.2,22.5,17.4,15.6,14.2,22.5,22.5,"1987年式 / ガソリンB / 85,000km / 三重県",1987年式,ガソリンB,"85,000km",三重県,manen
