model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,0万km,0,0,2,29.4,60.0,44.7,44.7,29.4,60.0,60.0,2017年式 / ハイブリッド(HYBRID) X / 0万km / 佐賀県,2017年式,ハイブリッド(HYBRID) X,0万km,佐賀県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"1,000km",1000,1000,1,72.0,72.0,72.0,72.0,72.0,72.0,72.0,"2016年式 / X / 1,000km / 静岡県",2016年式,X,"1,000km",静岡県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"2,000km",2000,2000,1,71.0,71.0,71.0,71.0,71.0,71.0,71.0,"2016年式 / X / 2,000km / 愛知県",2016年式,X,"2,000km",愛知県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"4,000km",4000,4000,4,16.2,105.7,77.5,94.1,91.8,96.4,105.7,"2020年式 / ハイブリッド(HYBRID) X / 4,000km / 大分県",2020年式,ハイブリッド(HYBRID) X,"4,000km",大分県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"6,000km",6000,6000,2,39.5,52.0,45.8,45.8,39.5,52.0,52.0,"2013年式 / T / 6,000km / 東京都",2013年式,T,"6,000km",東京都,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"7,000km",7000,7000,2,36.8,78.5,57.6,57.6,36.8,78.5,78.5,"2021年式 / ハイブリッド(HYBRID) T / 7,000km / 福井県",2021年式,ハイブリッド(HYBRID) T,"7,000km",福井県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"8,000km",8000,8000,2,85.0,101.8,93.4,93.4,85.0,101.8,101.8,"2019年式 / ハイブリッド(HYBRID) X / 8,000km / 宮城県",2019年式,ハイブリッド(HYBRID) X,"8,000km",宮城県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"9,000km",9000,9000,3,22.9,99.0,69.2,85.8,22.9,99.0,99.0,"2017年式 / ハイブリッド(HYBRID) T / 9,000km / 埼玉県",2017年式,ハイブリッド(HYBRID) T,"9,000km",埼玉県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"11,000km",11000,11000,3,5.0,103.5,43.7,22.5,5.0,103.5,103.5,"2020年式 / ハイブリッド(HYBRID) T / 11,000km / 岐阜県",2020年式,ハイブリッド(HYBRID) T,"11,000km",岐阜県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"12,000km",12000,12000,2,73.0,98.5,85.8,85.8,73.0,98.5,98.5,"2021年式 / ハイブリッド(HYBRID) X / 12,000km / 山梨県",2021年式,ハイブリッド(HYBRID) X,"12,000km",山梨県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"13,000km",13000,13000,5,29.5,97.5,69.1,81.1,47.1,90.5,97.5,"2018年式 / ハイブリッド(HYBRID) T 4WD / 13,000km / 大分県",2018年式,ハイブリッド(HYBRID) T 4WD,"13,000km",大分県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"14,000km",14000,14000,4,53.6,105.5,87.8,96.0,93.5,98.5,105.5,"2019年式 / ハイブリッド(HYBRID) T / 14,000km / 愛知県",2019年式,ハイブリッド(HYBRID) T,"14,000km",愛知県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"15,000km",15000,15000,2,76.0,96.4,86.2,86.2,76.0,96.4,96.4,"2020年式 / ハイブリッド(HYBRID) X / 15,000km / 長野県",2020年式,ハイブリッド(HYBRID) X,"15,000km",長野県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"16,000km",16000,16000,2,64.4,82.0,73.2,73.2,64.4,82.0,82.0,"2020年式 / 25周年記念車 ハイブリッド(HYBRID) Xリミテッド / 16,000km / 静岡県",2020年式,25周年記念車 ハイブリッド(HYBRID) Xリミテッド,"16,000km",静岡県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"17,000km",17000,17000,2,46.5,96.5,71.5,71.5,46.5,96.5,96.5,"2020年式 / ハイブリッド(HYBRID) T / 17,000km / 岐阜県",2020年式,ハイブリッド(HYBRID) T,"17,000km",岐阜県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"18,000km",18000,18000,2,24.8,31.5,28.1,28.1,24.8,31.5,31.5,"2014年式 / T / 18,000km / 沖縄県",2014年式,T,"18,000km",沖縄県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"19,000km",19000,19000,4,15.4,94.7,57.5,60.0,35.5,84.5,94.7,"2021年式 / ハイブリッド(HYBRID) X / 19,000km / 大分県",2021年式,ハイブリッド(HYBRID) X,"19,000km",大分県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,2万km,20000,20000,3,16.7,87.0,42.3,23.2,16.7,87.0,87.0,2021年式 / ハイブリッド(HYBRID) X / 2万km / 広島県,2021年式,ハイブリッド(HYBRID) X,2万km,広島県,manen
suzuki-wagon-r-stingray,ワゴンRスティングレー,root,root,"21,000km",21000,21000,4,38.2,97.3,80.2,92.8,89.5,96.0,97.3,"2021年式 / ハイブリッド(HYBRID) T / 21,000km / 岩手県",2021年式,ハイブリッド(HYBRID) T,"21,000km",岩手県,manen
