model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
suzuki-xbee,クロスビー,root,root,0万km,0,0,15,74.5,191.0,171.9,180.4,175.0,181.5,191.0,2023年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 0万km / 神奈川県,2023年式,1.0 ハイブリッド(HYBRID) MZ 4WD,0万km,神奈川県,manen
suzuki-xbee,クロスビー,root,root,"1,000km",1000,1000,9,146.2,177.6,163.8,162.0,157.1,172.9,177.6,"2024年式 / 1.0 ハイブリッド(HYBRID) MZ / 1,000km / 宮崎県",2024年式,1.0 ハイブリッド(HYBRID) MZ,"1,000km",宮崎県,manen
suzuki-xbee,クロスビー,root,root,"2,000km",2000,2000,5,143.5,179.2,163.7,164.5,156.5,175.0,179.2,"2022年式 / 1.0 ハイブリッド(HYBRID) MZ / 2,000km / 沖縄県",2022年式,1.0 ハイブリッド(HYBRID) MZ,"2,000km",沖縄県,manen
suzuki-xbee,クロスビー,root,root,"3,000km",3000,3000,17,133.5,191.0,160.8,158.0,158.0,158.5,191.0,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 3,000km / 島根県",2023年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"3,000km",島根県,manen
suzuki-xbee,クロスビー,root,root,"4,000km",4000,4000,9,137.0,181.9,166.7,170.4,161.8,176.0,181.9,"2022年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 4,000km / 大分県",2022年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"4,000km",大分県,manen
suzuki-xbee,クロスビー,root,root,"5,000km",5000,5000,9,111.0,190.5,158.6,162.2,153.6,170.3,190.5,"2025年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 5,000km / 福井県",2025年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"5,000km",福井県,manen
suzuki-xbee,クロスビー,root,root,"6,000km",6000,6000,4,156.5,180.5,171.6,174.8,172.0,177.5,180.5,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ / 6,000km / 熊本県",2023年式,1.0 ハイブリッド(HYBRID) MZ,"6,000km",熊本県,manen
suzuki-xbee,クロスビー,root,root,"7,000km",7000,7000,6,117.2,190.0,160.6,178.1,119.0,181.1,190.0,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 7,000km / 熊本県",2023年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"7,000km",熊本県,manen
suzuki-xbee,クロスビー,root,root,"8,000km",8000,8000,13,81.0,175.5,154.7,166.0,149.0,169.1,175.5,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ / 8,000km / 高知県",2023年式,1.0 ハイブリッド(HYBRID) MZ,"8,000km",高知県,manen
suzuki-xbee,クロスビー,root,root,"9,000km",9000,9000,25,124.1,180.5,159.7,167.5,149.5,167.5,180.5,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ / 9,000km / 愛媛県",2023年式,1.0 ハイブリッド(HYBRID) MZ,"9,000km",愛媛県,manen
suzuki-xbee,クロスビー,root,root,1万km,10000,10000,14,111.2,183.0,160.5,161.7,150.5,177.5,183.0,2022年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 1万km / 福井県,2022年式,1.0 ハイブリッド(HYBRID) MZ 4WD,1万km,福井県,manen
suzuki-xbee,クロスビー,root,root,"11,000km",11000,11000,18,119.1,187.5,153.5,147.5,147.5,170.0,187.5,"2023年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 11,000km / 滋賀県",2023年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"11,000km",滋賀県,manen
suzuki-xbee,クロスビー,root,root,"12,000km",12000,12000,20,138.1,191.0,159.2,152.3,152.3,160.4,191.0,"2022年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 12,000km / 兵庫県",2022年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"12,000km",兵庫県,manen
suzuki-xbee,クロスビー,root,root,"13,000km",13000,13000,12,118.8,174.8,144.1,144.2,130.5,154.5,174.8,"2022年式 / 1.0 ハイブリッド(HYBRID) MZ / 13,000km / 東京都",2022年式,1.0 ハイブリッド(HYBRID) MZ,"13,000km",東京都,manen
suzuki-xbee,クロスビー,root,root,"14,000km",14000,14000,25,131.8,188.8,160.1,162.5,156.5,162.5,188.8,"2022年式 / 1.0 ハイブリッド(HYBRID) MZ 4WD / 14,000km / 石川県",2022年式,1.0 ハイブリッド(HYBRID) MZ 4WD,"14,000km",石川県,manen
