model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-alphard,アルファード,,2026,2026年式,root,root,2,630.8,644.5,637.6,637.6,630.8,644.5,644.5,"2026年式 / ハイブリッド 2.5 Z / 1,000km / 佐賀県",2026年式,ハイブリッド 2.5 Z,"1,000km",佐賀県,manen
toyota-alphard,アルファード,,2025,2025年式,root,root,68,423.0,801.8,617.8,602.0,555.0,680.0,801.8,"2025年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ / 3,000km / 長野県",2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"3,000km",長野県,manen
toyota-alphard,アルファード,,2024,2024年式,root,root,88,467.0,798.0,615.2,593.5,554.0,677.5,798.0,"2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ / 2,000km / 石川県",2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"2,000km",石川県,manen
toyota-alphard,アルファード,,2023,2023年式,root,root,98,179.4,773.5,511.7,520.4,416.9,579.5,773.5,"2023年式 / 3.5 エグゼクティブ ラウンジ 4WD / 4,000km / 佐賀県",2023年式,3.5 エグゼクティブ ラウンジ 4WD,"4,000km",佐賀県,manen
toyota-alphard,アルファード,,2022,2022年式,root,root,43,186.8,525.0,381.3,379.6,344.5,445.8,525.0,"2022年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ S E-Four 4WD / 29,000km / 鹿児島県",2022年式,ハイブリッド 2.5 エグゼクティブ ラウンジ S E-Four 4WD,"29,000km",鹿児島県,manen
toyota-alphard,アルファード,,2021,2021年式,root,root,60,230.1,505.0,362.2,364.7,316.4,401.4,505.0,"2021年式 / 2.5 S Cパッケージ / 7,000km / 福井県",2021年式,2.5 S Cパッケージ,"7,000km",福井県,manen
toyota-alphard,アルファード,,2020,2020年式,root,root,61,178.1,427.2,303.1,301.0,272.9,350.9,427.2,"2020年式 / ハイブリッド 2.5 SR Cパッケージ E-Four 4WD / 18,000km / 宮崎県",2020年式,ハイブリッド 2.5 SR Cパッケージ E-Four 4WD,"18,000km",宮崎県,manen
toyota-alphard,アルファード,,2019,2019年式,root,root,38,134.1,435.2,285.9,293.5,241.7,335.9,435.2,"2019年式 / 3.5 ロイヤルラウンジ SP / 9,000km / 山梨県",2019年式,3.5 ロイヤルラウンジ SP,"9,000km",山梨県,manen
toyota-alphard,アルファード,,2018,2018年式,root,root,44,129.7,494.3,263.4,271.0,216.7,306.0,494.3,2018年式 / 3.5 SC / 3万km / 東京都,2018年式,3.5 SC,3万km,東京都,manen
toyota-alphard,アルファード,,2017,2017年式,root,root,37,38.0,372.5,188.7,175.4,163.0,205.5,372.5,2017年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 3万km / 千葉県,2017年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,3万km,千葉県,manen
toyota-alphard,アルファード,,2016,2016年式,root,root,37,116.2,344.6,190.2,173.0,141.8,217.0,344.6,"2016年式 / ハイブリッド 2.5 ロイヤルラウンジ SP E-Four 4WD / 58,000km / 千葉県",2016年式,ハイブリッド 2.5 ロイヤルラウンジ SP E-Four 4WD,"58,000km",千葉県,manen
toyota-alphard,アルファード,,2015,2015年式,root,root,40,5.0,310.0,153.1,145.1,117.5,182.5,310.0,"2015年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 61,000km / 岐阜県",2015年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"61,000km",岐阜県,manen
toyota-alphard,アルファード,,2014,2014年式,root,root,29,40.3,146.5,86.3,76.7,70.0,95.3,146.5,"2014年式 / 2.4 240S タイプゴールド / 33,000km / 福岡県",2014年式,2.4 240S タイプゴールド,"33,000km",福岡県,manen
toyota-alphard,アルファード,,2013,2013年式,root,root,44,36.4,158.5,76.2,70.5,56.1,91.6,158.5,"2013年式 / 2.4 240S Cパッケージ 4WD / 52,000km / 大阪府",2013年式,2.4 240S Cパッケージ 4WD,"52,000km",大阪府,manen
toyota-alphard,アルファード,,2012,2012年式,root,root,31,23.1,118.3,66.1,62.4,57.5,76.2,118.3,2012年式 / 2.4 240S / 12万km / 岡山県,2012年式,2.4 240S,12万km,岡山県,manen
toyota-alphard,アルファード,,2011,2011年式,root,root,34,15.5,67.9,42.2,40.3,34.1,49.3,67.9,"2011年式 / 3.5 350G Lパッケージ / 117,000km / 群馬県",2011年式,3.5 350G Lパッケージ,"117,000km",群馬県,manen
toyota-alphard,アルファード,,2010,2010年式,root,root,33,20.5,78.0,39.2,34.9,28.7,44.3,78.0,"2010年式 / 3.5 350G / 67,000km / 山梨県",2010年式,3.5 350G,"67,000km",山梨県,manen
toyota-alphard,アルファード,,2009,2009年式,root,root,27,14.5,52.5,35.5,36.4,27.7,40.8,52.5,"2009年式 / 3.5 350G / 292,000km / 京都府",2009年式,3.5 350G,"292,000km",京都府,manen
toyota-alphard,アルファード,,2008,2008年式,root,root,25,18.3,319.5,41.4,30.4,25.5,34.5,319.5,"2008年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ S E-Four 4WD / 54,000km / 茨城県",2008年式,ハイブリッド 2.5 エグゼクティブ ラウンジ S E-Four 4WD,"54,000km",茨城県,manen
toyota-alphard,アルファード,,2007,2007年式,root,root,33,5.0,46.0,25.6,25.5,23.7,27.0,46.0,"2007年式 / 3.0 G MZ Gエディション / 33,000km / 和歌山県",2007年式,3.0 G MZ Gエディション,"33,000km",和歌山県,manen
toyota-alphard,アルファード,,2006,2006年式,root,root,22,20.4,56.5,28.9,27.3,25.0,31.0,56.5,"2006年式 / 3.0 G MZ Gエディション 4WD / 98,000km / 宮崎県",2006年式,3.0 G MZ Gエディション 4WD,"98,000km",宮崎県,manen
toyota-alphard,アルファード,,2005,2005年式,root,root,31,9.7,45.2,25.0,25.5,23.4,28.0,45.2,"2005年式 / 3.0 G MZ Gエディション / 65,000km / 佐賀県",2005年式,3.0 G MZ Gエディション,"65,000km",佐賀県,manen
toyota-alphard,アルファード,,2004,2004年式,root,root,30,6.9,40.0,23.5,24.2,22.5,26.6,40.0,"2004年式 / 3.0 G MZ Gエディション / 48,000km / 秋田県",2004年式,3.0 G MZ Gエディション,"48,000km",秋田県,manen
