model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-century,センチュリー,root,root,0万km,0,0,26,2.8,54.4,30.6,29.5,19.5,43.0,54.4,2000年式 / 5.0 デュアルEMVパッケージ / 0万km / 佐賀県,2000年式,5.0 デュアルEMVパッケージ,0万km,佐賀県,manen
toyota-century,センチュリー,root,root,"12,000km",12000,12000,1,145.0,145.0,145.0,145.0,145.0,145.0,145.0,"2000年式 / 5.0 デュアルEMVパッケージ / 12,000km / 福井県",2000年式,5.0 デュアルEMVパッケージ,"12,000km",福井県,manen
toyota-century,センチュリー,root,root,"14,000km",14000,14000,2,90.6,90.6,90.6,90.6,90.6,90.6,90.6,"1997年式 / 5.0 デュアルEMVパッケージ / 14,000km / 千葉県",1997年式,5.0 デュアルEMVパッケージ,"14,000km",千葉県,manen
toyota-century,センチュリー,root,root,"15,000km",15000,15000,1,121.5,121.5,121.5,121.5,121.5,121.5,121.5,"1997年式 / 5.0 デュアルEMVパッケージ / 15,000km / 茨城県",1997年式,5.0 デュアルEMVパッケージ,"15,000km",茨城県,manen
toyota-century,センチュリー,root,root,"16,000km",16000,16000,2,60.6,82.0,71.3,71.3,60.6,82.0,82.0,"1997年式 / 5.0 デュアルEMVパッケージ / 16,000km / 佐賀県",1997年式,5.0 デュアルEMVパッケージ,"16,000km",佐賀県,manen
toyota-century,センチュリー,root,root,2万km,20000,20000,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,2003年式 / 5.0 デュアルEMVパッケージ / 2万km / 神奈川県,2003年式,5.0 デュアルEMVパッケージ,2万km,神奈川県,manen
toyota-century,センチュリー,root,root,"21,000km",21000,21000,3,38.5,130.1,99.6,130.1,38.5,130.1,130.1,"1999年式 / 5.0 デュアルEMVパッケージ / 21,000km / 大阪府",1999年式,5.0 デュアルEMVパッケージ,"21,000km",大阪府,manen
toyota-century,センチュリー,root,root,"22,000km",22000,22000,1,40.9,40.9,40.9,40.9,40.9,40.9,40.9,"1990年式 / 4.0 Eタイプ / 22,000km / 愛知県",1990年式,4.0 Eタイプ,"22,000km",愛知県,manen
toyota-century,センチュリー,root,root,"24,000km",24000,24000,3,27.1,66.0,44.4,40.0,27.1,66.0,66.0,"1999年式 / 5.0 デュアルEMVパッケージ / 24,000km / 福島県",1999年式,5.0 デュアルEMVパッケージ,"24,000km",福島県,manen
toyota-century,センチュリー,root,root,"25,000km",25000,25000,5,72.0,134.8,119.4,133.0,124.0,133.0,134.8,"2003年式 / 5.0 デュアルEMVパッケージ / 25,000km / 秋田県",2003年式,5.0 デュアルEMVパッケージ,"25,000km",秋田県,manen
toyota-century,センチュリー,root,root,"26,000km",26000,26000,4,31.8,260.2,120.9,95.8,84.0,107.5,260.2,"2009年式 / 5.0 / 26,000km / 神奈川県",2009年式,5.0,"26,000km",神奈川県,manen
toyota-century,センチュリー,root,root,"28,000km",28000,28000,2,32.1,73.1,52.6,52.6,32.1,73.1,73.1,"1996年式 / 5.0 デュアルEMVパッケージ / 28,000km / 岡山県",1996年式,5.0 デュアルEMVパッケージ,"28,000km",岡山県,manen
toyota-century,センチュリー,root,root,"29,000km",29000,29000,3,60.0,120.5,89.2,87.0,60.0,120.5,120.5,"2001年式 / 5.0 デュアルEMVパッケージ / 29,000km / 広島県",2001年式,5.0 デュアルEMVパッケージ,"29,000km",広島県,manen
toyota-century,センチュリー,root,root,3万km,30000,30000,1,82.4,82.4,82.4,82.4,82.4,82.4,82.4,1999年式 / 5.0 デュアルEMVパッケージ / 3万km / 東京都,1999年式,5.0 デュアルEMVパッケージ,3万km,東京都,manen
toyota-century,センチュリー,root,root,"31,000km",31000,31000,2,67.0,85.0,76.0,76.0,67.0,85.0,85.0,"1991年式 / 4.0 Lタイプ / 31,000km / 佐賀県",1991年式,4.0 Lタイプ,"31,000km",佐賀県,manen
toyota-century,センチュリー,root,root,"32,000km",32000,32000,1,50.5,50.5,50.5,50.5,50.5,50.5,50.5,"1996年式 / 5.0 デュアルEMVパッケージ / 32,000km / 山梨県",1996年式,5.0 デュアルEMVパッケージ,"32,000km",山梨県,manen
toyota-century,センチュリー,root,root,"33,000km",33000,33000,2,58.5,59.0,58.8,58.8,58.5,59.0,59.0,"1995年式 / 4.0 Eタイプ / 33,000km / 千葉県",1995年式,4.0 Eタイプ,"33,000km",千葉県,manen
toyota-century,センチュリー,root,root,"35,000km",35000,35000,3,66.0,99.5,80.2,75.0,66.0,99.5,99.5,"2002年式 / 5.0 デュアルEMVパッケージ / 35,000km / 沖縄県",2002年式,5.0 デュアルEMVパッケージ,"35,000km",沖縄県,manen
toyota-century,センチュリー,root,root,"36,000km",36000,36000,2,85.1,130.2,107.7,107.7,85.1,130.2,130.2,"2002年式 / 5.0 デュアルEMVパッケージ / 36,000km / 鳥取県",2002年式,5.0 デュアルEMVパッケージ,"36,000km",鳥取県,manen
toyota-century,センチュリー,root,root,"37,000km",37000,37000,1,84.5,84.5,84.5,84.5,84.5,84.5,84.5,"1994年式 / 4.0 Lタイプ / 37,000km / 東京都",1994年式,4.0 Lタイプ,"37,000km",東京都,manen
toyota-century,センチュリー,root,root,"39,000km",39000,39000,6,51.5,100.9,77.9,75.0,64.5,100.5,100.9,"1995年式 / 4.0 Dタイプ / 39,000km / 福島県",1995年式,4.0 Dタイプ,"39,000km",福島県,manen
toyota-century,センチュリー,root,root,4万km,40000,40000,4,68.5,172.0,119.6,119.0,90.5,147.5,172.0,2007年式 / 5.0 / 4万km / 愛知県,2007年式,5.0,4万km,愛知県,manen
toyota-century,センチュリー,root,root,"42,000km",42000,42000,1,74.3,74.3,74.3,74.3,74.3,74.3,74.3,"1999年式 / 5.0 デュアルEMVパッケージ / 42,000km / 鹿児島県",1999年式,5.0 デュアルEMVパッケージ,"42,000km",鹿児島県,manen
toyota-century,センチュリー,root,root,"43,000km",43000,43000,5,29.0,144.0,75.3,67.1,56.5,80.0,144.0,"2005年式 / 5.0 デュアルEMVパッケージ / 43,000km / 和歌山県",2005年式,5.0 デュアルEMVパッケージ,"43,000km",和歌山県,manen
toyota-century,センチュリー,root,root,"44,000km",44000,44000,3,118.3,126.5,122.8,123.5,118.3,126.5,126.5,"2003年式 / 5.0 デュアルEMVパッケージ / 44,000km / 愛知県",2003年式,5.0 デュアルEMVパッケージ,"44,000km",愛知県,manen
