model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-corolla-sport,カローラスポーツ,root,root,0万km,0,0,5,164.6,244.5,209.0,231.0,169.5,235.3,244.5,2025年式 / 1.8 ハイブリッド G Z / 0万km / 東京都,2025年式,1.8 ハイブリッド G Z,0万km,東京都,manen
toyota-corolla-sport,カローラスポーツ,root,root,"1,000km",1000,1000,6,175.1,250.0,211.8,217.7,187.8,222.5,250.0,"2024年式 / 1.8 ハイブリッド G Z / 1,000km / 山形県",2024年式,1.8 ハイブリッド G Z,"1,000km",山形県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"2,000km",2000,2000,13,110.0,250.3,197.1,197.0,181.4,234.5,250.3,"2024年式 / 1.8 ハイブリッド G Z / 2,000km / 愛媛県",2024年式,1.8 ハイブリッド G Z,"2,000km",愛媛県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"3,000km",3000,3000,6,167.0,217.0,201.3,206.5,195.3,215.5,217.0,"2023年式 / 2.0 G Z / 3,000km / 長野県",2023年式,2.0 G Z,"3,000km",長野県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"4,000km",4000,4000,6,178.3,246.5,214.8,218.2,194.5,233.2,246.5,"2023年式 / 1.8 ハイブリッド G Z / 4,000km / 鳥取県",2023年式,1.8 ハイブリッド G Z,"4,000km",鳥取県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"5,000km",5000,5000,5,164.0,217.0,201.2,208.5,201.5,214.9,217.0,"2022年式 / 1.8 ハイブリッド G Z / 5,000km / 兵庫県",2022年式,1.8 ハイブリッド G Z,"5,000km",兵庫県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"6,000km",6000,6000,10,128.6,249.0,186.4,190.6,139.2,202.5,249.0,"2023年式 / 1.8 ハイブリッド G Z / 6,000km / 高知県",2023年式,1.8 ハイブリッド G Z,"6,000km",高知県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"7,000km",7000,7000,7,170.3,243.5,209.4,231.8,174.5,233.0,243.5,"2024年式 / 1.8 ハイブリッド G Z / 7,000km / 秋田県",2024年式,1.8 ハイブリッド G Z,"7,000km",秋田県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"8,000km",8000,8000,11,116.5,234.7,185.5,201.5,153.5,207.8,234.7,"2024年式 / 1.8 ハイブリッド G Z / 8,000km / 栃木県",2024年式,1.8 ハイブリッド G Z,"8,000km",栃木県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"9,000km",9000,9000,4,189.4,220.3,198.1,191.3,190.5,192.1,220.3,"2024年式 / 2.0 G Z / 9,000km / 広島県",2024年式,2.0 G Z,"9,000km",広島県,manen
toyota-corolla-sport,カローラスポーツ,root,root,1万km,10000,10000,10,138.9,223.0,186.6,188.8,172.5,206.0,223.0,2023年式 / 1.8 ハイブリッド G Z / 1万km / 島根県,2023年式,1.8 ハイブリッド G Z,1万km,島根県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"11,000km",11000,11000,9,155.5,231.0,190.2,186.5,166.0,220.8,231.0,"2023年式 / 1.8 ハイブリッド G Z / 11,000km / 宮崎県",2023年式,1.8 ハイブリッド G Z,"11,000km",宮崎県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"12,000km",12000,12000,17,110.7,238.1,188.7,196.0,165.0,218.0,238.1,"2024年式 / 1.8 ハイブリッド G Z / 12,000km / 岡山県",2024年式,1.8 ハイブリッド G Z,"12,000km",岡山県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"13,000km",13000,13000,12,151.0,246.0,203.4,202.7,180.0,226.4,246.0,"2025年式 / 1.8 ハイブリッド G Z / 13,000km / 宮城県",2025年式,1.8 ハイブリッド G Z,"13,000km",宮城県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"14,000km",14000,14000,19,107.0,249.0,185.6,180.5,165.7,219.5,249.0,"2023年式 / 1.8 ハイブリッド G Z / 14,000km / 滋賀県",2023年式,1.8 ハイブリッド G Z,"14,000km",滋賀県,manen
toyota-corolla-sport,カローラスポーツ,root,root,"15,000km",15000,15000,11,130.2,229.5,182.7,196.5,149.5,221.5,229.5,"2023年式 / 1.8 ハイブリッド G Z / 15,000km / 茨城県",2023年式,1.8 ハイブリッド G Z,"15,000km",茨城県,manen
