model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-corolla-touring,カローラツーリング,root,root,0万km,0,0,9,128.3,243.0,193.3,197.5,171.3,215.0,243.0,2024年式 / 1.8 ハイブリッド W×B / 0万km / 埼玉県,2024年式,1.8 ハイブリッド W×B,0万km,埼玉県,manen
toyota-corolla-touring,カローラツーリング,root,root,"1,000km",1000,1000,5,168.3,266.0,218.9,221.0,200.5,238.5,266.0,"2024年式 / 1.8 ハイブリッド W×B E-Four 4WD / 1,000km / 秋田県",2024年式,1.8 ハイブリッド W×B E-Four 4WD,"1,000km",秋田県,manen
toyota-corolla-touring,カローラツーリング,root,root,"2,000km",2000,2000,15,137.0,260.1,209.7,216.0,187.8,230.6,260.1,"2024年式 / 1.8 ハイブリッド アクティブ スポーツ / 2,000km / 新潟県",2024年式,1.8 ハイブリッド アクティブ スポーツ,"2,000km",新潟県,manen
toyota-corolla-touring,カローラツーリング,root,root,"3,000km",3000,3000,10,161.6,240.2,203.4,206.6,182.0,228.8,240.2,"2024年式 / 1.8 ハイブリッド W×B / 3,000km / 栃木県",2024年式,1.8 ハイブリッド W×B,"3,000km",栃木県,manen
toyota-corolla-touring,カローラツーリング,root,root,"4,000km",4000,4000,7,164.1,215.3,185.4,174.8,167.5,199.1,215.3,"2024年式 / 1.5 W&times;B / 4,000km / 宮城県",2024年式,1.5 W&times;B,"4,000km",宮城県,manen
toyota-corolla-touring,カローラツーリング,root,root,"5,000km",5000,5000,9,120.7,225.5,174.0,173.5,163.0,191.5,225.5,"2024年式 / 1.5 W&times;B / 5,000km / 福岡県",2024年式,1.5 W&times;B,"5,000km",福岡県,manen
toyota-corolla-touring,カローラツーリング,root,root,"6,000km",6000,6000,15,144.0,260.7,209.2,210.0,198.5,227.5,260.7,"2024年式 / 1.8 ハイブリッド W×B E-Four 4WD / 6,000km / 埼玉県",2024年式,1.8 ハイブリッド W×B E-Four 4WD,"6,000km",埼玉県,manen
toyota-corolla-touring,カローラツーリング,root,root,"7,000km",7000,7000,15,120.0,262.5,195.4,194.5,176.5,221.0,262.5,"2024年式 / 1.8 ハイブリッド アクティブ スポーツ / 7,000km / 長崎県",2024年式,1.8 ハイブリッド アクティブ スポーツ,"7,000km",長崎県,manen
toyota-corolla-touring,カローラツーリング,root,root,"8,000km",8000,8000,15,135.7,242.9,185.0,188.3,163.3,195.4,242.9,"2024年式 / 1.8 ハイブリッド W×B / 8,000km / 兵庫県",2024年式,1.8 ハイブリッド W×B,"8,000km",兵庫県,manen
toyota-corolla-touring,カローラツーリング,root,root,"9,000km",9000,9000,13,90.0,249.5,178.8,185.7,147.5,213.7,249.5,"2024年式 / 1.8 ハイブリッド W×B E-Four 4WD / 9,000km / 愛知県",2024年式,1.8 ハイブリッド W×B E-Four 4WD,"9,000km",愛知県,manen
toyota-corolla-touring,カローラツーリング,root,root,1万km,10000,10000,14,157.0,250.5,193.3,190.7,175.1,213.0,250.5,2024年式 / 1.8 ハイブリッド アクティブ スポーツ / 1万km / 福岡県,2024年式,1.8 ハイブリッド アクティブ スポーツ,1万km,福岡県,manen
toyota-corolla-touring,カローラツーリング,root,root,"11,000km",11000,11000,18,106.9,233.4,187.3,183.3,168.1,226.0,233.4,"2024年式 / 1.8 ハイブリッド W×B / 11,000km / 長崎県",2024年式,1.8 ハイブリッド W×B,"11,000km",長崎県,manen
