model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-corolla,カローラ,,2025,2025年式,root,root,5,186.5,268.5,234.5,232.5,228.6,256.2,268.5,"2025年式 / 1.8 ハイブリッド アクティブ スポーツ / 4,000km / 兵庫県",2025年式,1.8 ハイブリッド アクティブ スポーツ,"4,000km",兵庫県,manen
toyota-corolla,カローラ,,2024,2024年式,root,root,43,122.5,281.2,206.2,200.4,185.0,228.0,281.2,"2024年式 / 1.8 ハイブリッド G E-Four 4WD / 3,000km / 滋賀県",2024年式,1.8 ハイブリッド G E-Four 4WD,"3,000km",滋賀県,manen
toyota-corolla,カローラ,,2023,2023年式,root,root,72,116.5,276.0,190.2,189.8,166.5,210.0,276.0,"2023年式 / 1.5 WxB / 6,000km / 奈良県",2023年式,1.5 WxB,"6,000km",奈良県,manen
toyota-corolla,カローラ,,2022,2022年式,root,root,108,28.0,227.5,162.9,165.1,140.0,188.5,227.5,"2022年式 / 1.8 ハイブリッド W×B / 12,000km / 福岡県",2022年式,1.8 ハイブリッド W×B,"12,000km",福岡県,manen
toyota-corolla,カローラ,,2021,2021年式,root,root,118,77.0,239.8,147.9,149.2,125.4,169.7,239.8,"2021年式 / 1.8 ハイブリッド G E-Four 4WD / 98,000km / 香川県",2021年式,1.8 ハイブリッド G E-Four 4WD,"98,000km",香川県,manen
toyota-corolla,カローラ,,2020,2020年式,root,root,138,71.8,231.5,129.0,129.1,102.8,148.4,231.5,"2020年式 / 1.8 ハイブリッド G E-Four 4WD / 169,000km / 高知県",2020年式,1.8 ハイブリッド G E-Four 4WD,"169,000km",高知県,manen
toyota-corolla,カローラ,,2019,2019年式,root,root,103,73.2,246.0,117.2,109.0,94.0,130.4,246.0,"2019年式 / 1.8 ハイブリッド G E-Four 4WD / 67,000km / 長崎県",2019年式,1.8 ハイブリッド G E-Four 4WD,"67,000km",長崎県,manen
toyota-corolla,カローラ,,2018,2018年式,root,root,2,67.5,82.7,75.1,75.1,67.5,82.7,82.7,"2018年式 / 1.8 ハイブリッド S E-Four 4WD / 132,000km / 岡山県",2018年式,1.8 ハイブリッド S E-Four 4WD,"132,000km",岡山県,manen
toyota-corolla,カローラ,,2007,2007年式,root,root,3,32.2,46.5,41.1,44.5,32.2,46.5,46.5,"2007年式 / 1.5 X / 178,000km / 愛知県",2007年式,1.5 X,"178,000km",愛知県,manen
toyota-corolla,カローラ,,2006,2006年式,root,root,42,30.0,87.4,51.7,49.6,42.2,62.1,87.4,"2006年式 / 1.5 G / 51,000km / 福島県",2006年式,1.5 G,"51,000km",福島県,manen
toyota-corolla,カローラ,,2005,2005年式,root,root,44,5.0,95.4,45.6,43.6,35.9,51.4,95.4,"2005年式 / 1.5 G / 9,000km / 山形県",2005年式,1.5 G,"9,000km",山形県,manen
toyota-corolla,カローラ,,2004,2004年式,root,root,40,9.6,76.0,48.7,51.0,39.8,57.0,76.0,"2004年式 / 1.5 G / 109,000km / 岡山県",2004年式,1.5 G,"109,000km",岡山県,manen
toyota-corolla,カローラ,,2003,2003年式,root,root,39,9.7,63.6,42.7,42.2,37.5,46.0,63.6,"2003年式 / 1.8 ラグゼール / 168,000km / 富山県",2003年式,1.8 ラグゼール,"168,000km",富山県,manen
toyota-corolla,カローラ,,2002,2002年式,root,root,43,23.2,84.5,44.2,41.2,37.5,48.0,84.5,"2002年式 / 1.8 ラグゼール プレミアムエディション / 46,000km / 和歌山県",2002年式,1.8 ラグゼール プレミアムエディション,"46,000km",和歌山県,manen
toyota-corolla,カローラ,,2001,2001年式,root,root,41,27.4,65.6,40.7,39.4,35.1,45.6,65.6,"2001年式 / 1.8 ラグゼール / 86,000km / 青森県",2001年式,1.8 ラグゼール,"86,000km",青森県,manen
toyota-corolla,カローラ,,2000,2000年式,root,root,42,20.5,66.5,38.0,33.8,29.2,46.9,66.5,"2000年式 / 1.6 SEサルーン Lセレクション 4WD / 86,000km / 奈良県",2000年式,1.6 SEサルーン Lセレクション 4WD,"86,000km",奈良県,manen
toyota-corolla,カローラ,,1999,1999年式,root,root,26,7.2,62.0,32.9,31.3,25.8,35.8,62.0,"1999年式 / 1.6 XEサルーン 4WD / 104,000km / 茨城県",1999年式,1.6 XEサルーン 4WD,"104,000km",茨城県,manen
toyota-corolla,カローラ,,1998,1998年式,root,root,26,19.8,62.8,31.9,28.0,24.8,36.3,62.8,"1998年式 / 1.6 GT / 96,000km / 兵庫県",1998年式,1.6 GT,"96,000km",兵庫県,manen
toyota-corolla,カローラ,,1997,1997年式,root,root,18,21.0,56.1,34.0,31.0,29.0,36.0,56.1,"1997年式 / 1.6 XEサルーン 4WD / 179,000km / 山形県",1997年式,1.6 XEサルーン 4WD,"179,000km",山形県,manen
