model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-crown-estate,クラウンエステート,root,root,0万km,0,0,3,9.0,17.4,12.0,9.6,9.0,17.4,17.4,2003年式 / 2.5 アスリート プレミアム / 0万km / 宮崎県,2003年式,2.5 アスリート プレミアム,0万km,宮崎県,manen
toyota-crown-estate,クラウンエステート,root,root,"16,000km",16000,16000,1,171.0,171.0,171.0,171.0,171.0,171.0,171.0,"2006年式 / 2.5 アスリート / 16,000km / 大阪府",2006年式,2.5 アスリート,"16,000km",大阪府,manen
toyota-crown-estate,クラウンエステート,root,root,"18,000km",18000,18000,2,128.5,128.5,128.5,128.5,128.5,128.5,128.5,"2006年式 / 2.5 アスリート / 18,000km / 宮崎県",2006年式,2.5 アスリート,"18,000km",宮崎県,manen
toyota-crown-estate,クラウンエステート,root,root,"24,000km",24000,24000,1,179.5,179.5,179.5,179.5,179.5,179.5,179.5,"2009年式 / 2.5 アスリート / 24,000km / 長崎県",2009年式,2.5 アスリート,"24,000km",長崎県,manen
toyota-crown-estate,クラウンエステート,root,root,"27,000km",27000,27000,1,46.7,46.7,46.7,46.7,46.7,46.7,46.7,"2001年式 / 3.0 アスリート G / 27,000km / 佐賀県",2001年式,3.0 アスリート G,"27,000km",佐賀県,manen
toyota-crown-estate,クラウンエステート,root,root,"28,000km",28000,28000,1,47.6,47.6,47.6,47.6,47.6,47.6,47.6,"2002年式 / 2.0 アスリート E / 28,000km / 愛知県",2002年式,2.0 アスリート E,"28,000km",愛知県,manen
toyota-crown-estate,クラウンエステート,root,root,"29,000km",29000,29000,2,81.0,199.5,140.2,140.2,81.0,199.5,199.5,"2009年式 / 2.5 アスリート / 29,000km / 秋田県",2009年式,2.5 アスリート,"29,000km",秋田県,manen
toyota-crown-estate,クラウンエステート,root,root,3万km,30000,30000,1,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2000年式 / 2.5 アスリート V / 3万km / 福井県,2000年式,2.5 アスリート V,3万km,福井県,manen
toyota-crown-estate,クラウンエステート,root,root,"31,000km",31000,31000,2,131.4,206.0,168.7,168.7,131.4,206.0,206.0,"2010年式 / 2.5 アスリート / 31,000km / 東京都",2010年式,2.5 アスリート,"31,000km",東京都,manen
toyota-crown-estate,クラウンエステート,root,root,"33,000km",33000,33000,1,78.0,78.0,78.0,78.0,78.0,78.0,78.0,"2006年式 / 3.0 アスリート G / 33,000km / 愛知県",2006年式,3.0 アスリート G,"33,000km",愛知県,manen
toyota-crown-estate,クラウンエステート,root,root,"36,000km",36000,36000,2,178.5,200.0,189.2,189.2,178.5,200.0,200.0,"2009年式 / 2.5 アスリート / 36,000km / 徳島県",2009年式,2.5 アスリート,"36,000km",徳島県,manen
toyota-crown-estate,クラウンエステート,root,root,"37,000km",37000,37000,3,137.2,175.0,149.8,137.2,137.2,175.0,175.0,"2007年式 / 2.5 アスリート / 37,000km / 広島県",2007年式,2.5 アスリート,"37,000km",広島県,manen
toyota-crown-estate,クラウンエステート,root,root,"38,000km",38000,38000,1,36.5,36.5,36.5,36.5,36.5,36.5,36.5,"1991年式 / 2.5 ロイヤルサルーン / 38,000km / 徳島県",1991年式,2.5 ロイヤルサルーン,"38,000km",徳島県,manen
toyota-crown-estate,クラウンエステート,root,root,"39,000km",39000,39000,1,155.9,155.9,155.9,155.9,155.9,155.9,155.9,"2007年式 / 2.5 ロイヤルサルーン / 39,000km / 長崎県",2007年式,2.5 ロイヤルサルーン,"39,000km",長崎県,manen
toyota-crown-estate,クラウンエステート,root,root,4万km,40000,40000,2,41.5,191.6,116.5,116.5,41.5,191.6,191.6,2007年式 / 2.5 アスリート / 4万km / 長野県,2007年式,2.5 アスリート,4万km,長野県,manen
toyota-crown-estate,クラウンエステート,root,root,"42,000km",42000,42000,1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,"1999年式 / 2.5 アスリート V / 42,000km / 埼玉県",1999年式,2.5 アスリート V,"42,000km",埼玉県,manen
toyota-crown-estate,クラウンエステート,root,root,"43,000km",43000,43000,1,65.3,65.3,65.3,65.3,65.3,65.3,65.3,"2007年式 / 2.5 アスリート Four 4WD / 43,000km / 愛知県",2007年式,2.5 アスリート Four 4WD,"43,000km",愛知県,manen
toyota-crown-estate,クラウンエステート,root,root,"44,000km",44000,44000,3,37.6,196.0,101.0,69.5,37.6,196.0,196.0,"2009年式 / 2.5 アスリート / 44,000km / 広島県",2009年式,2.5 アスリート,"44,000km",広島県,manen
toyota-crown-estate,クラウンエステート,root,root,"45,000km",45000,45000,2,16.9,36.0,26.4,26.4,16.9,36.0,36.0,"2002年式 / 2.5 アスリート V プレミアム / 45,000km / 宮城県",2002年式,2.5 アスリート V プレミアム,"45,000km",宮城県,manen
