model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-crown-estate,クラウンエステート,,2011,2011年式,root,root,7,159.0,205.5,180.9,178.9,173.0,181.5,205.5,"2011年式 / 2.5 アスリート / 48,000km / 和歌山県",2011年式,2.5 アスリート,"48,000km",和歌山県,manen
toyota-crown-estate,クラウンエステート,,2010,2010年式,root,root,8,132.0,206.0,175.7,183.0,169.5,192.7,206.0,"2010年式 / 2.5 アスリート / 31,000km / 東京都",2010年式,2.5 アスリート,"31,000km",東京都,manen
toyota-crown-estate,クラウンエステート,,2009,2009年式,root,root,10,93.0,200.0,169.9,178.6,166.3,197.0,200.0,"2009年式 / 2.5 アスリート / 36,000km / 徳島県",2009年式,2.5 アスリート,"36,000km",徳島県,manen
toyota-crown-estate,クラウンエステート,,2008,2008年式,root,root,8,92.0,178.5,140.0,146.2,135.6,149.6,178.5,"2008年式 / 2.5 アスリート / 36,000km / 沖縄県",2008年式,2.5 アスリート,"36,000km",沖縄県,manen
toyota-crown-estate,クラウンエステート,,2007,2007年式,root,root,27,13.2,191.6,59.6,28.0,21.9,97.0,191.6,2007年式 / 2.5 アスリート / 4万km / 長野県,2007年式,2.5 アスリート,4万km,長野県,manen
toyota-crown-estate,クラウンエステート,,2006,2006年式,root,root,52,6.1,171.0,61.5,49.1,22.2,104.5,171.0,"2006年式 / 2.5 アスリート / 16,000km / 大阪府",2006年式,2.5 アスリート,"16,000km",大阪府,manen
toyota-crown-estate,クラウンエステート,,2005,2005年式,root,root,51,5.0,129.5,41.2,35.4,17.4,65.5,129.5,"2005年式 / 2.5 アスリート / 52,000km / 沖縄県",2005年式,2.5 アスリート,"52,000km",沖縄県,manen
toyota-crown-estate,クラウンエステート,,2004,2004年式,root,root,58,5.0,114.0,39.0,29.9,16.5,62.2,114.0,"2004年式 / 2.5 アスリート / 61,000km / 高知県",2004年式,2.5 アスリート,"61,000km",高知県,manen
toyota-crown-estate,クラウンエステート,,2003,2003年式,root,root,63,4.3,168.0,33.1,27.1,17.4,42.8,168.0,"2003年式 / 2.5 アスリート プレミアム / 136,000km / 香川県",2003年式,2.5 アスリート プレミアム,"136,000km",香川県,manen
toyota-crown-estate,クラウンエステート,,2002,2002年式,root,root,101,5.0,102.5,29.9,25.0,14.5,37.6,102.5,"2002年式 / 3.0 アスリート G / 69,000km / 佐賀県",2002年式,3.0 アスリート G,"69,000km",佐賀県,manen
toyota-crown-estate,クラウンエステート,,2001,2001年式,root,root,112,3.9,93.0,27.3,19.1,11.3,38.5,93.0,"2001年式 / 3.0 アスリート G / 94,000km / 福岡県",2001年式,3.0 アスリート G,"94,000km",福岡県,manen
toyota-crown-estate,クラウンエステート,,2000,2000年式,root,root,97,3.8,131.4,24.3,16.8,7.6,31.0,131.4,"2000年式 / 2.5 アスリート / 31,000km / 埼玉県",2000年式,2.5 アスリート,"31,000km",埼玉県,manen
toyota-crown-estate,クラウンエステート,,1999,1999年式,root,root,79,3.6,44.0,14.0,10.8,6.4,19.5,44.0,"1999年式 / 2.5 アスリート V / 85,000km / 沖縄県",1999年式,2.5 アスリート V,"85,000km",沖縄県,manen
toyota-crown-estate,クラウンエステート,,1998,1998年式,root,root,15,6.9,22.0,10.7,7.9,7.6,11.2,22.0,"1998年式 / 2.5 ロイヤルサルーン / 91,000km / 静岡県",1998年式,2.5 ロイヤルサルーン,"91,000km",静岡県,manen
toyota-crown-estate,クラウンエステート,,1997,1997年式,root,root,23,6.6,33.6,15.1,12.7,8.7,20.4,33.6,"1997年式 / 2.5 ロイヤルサルーン / 79,000km / 京都府",1997年式,2.5 ロイヤルサルーン,"79,000km",京都府,manen
toyota-crown-estate,クラウンエステート,,1996,1996年式,root,root,16,6.0,62.4,15.1,10.2,6.4,12.0,62.4,"1996年式 / 2.5 ロイヤルサルーン / 112,000km / 愛媛県",1996年式,2.5 ロイヤルサルーン,"112,000km",愛媛県,manen
toyota-crown-estate,クラウンエステート,,1995,1995年式,root,root,21,4.2,65.8,20.5,10.2,9.0,31.8,65.8,"1995年式 / 2.5 ロイヤルサルーン / 58,000km / 長崎県",1995年式,2.5 ロイヤルサルーン,"58,000km",長崎県,manen
toyota-crown-estate,クラウンエステート,,1994,1994年式,root,root,9,6.8,28.2,12.1,9.6,8.7,10.6,28.2,"1994年式 / 2.5 ロイヤルサルーン / 127,000km / 沖縄県",1994年式,2.5 ロイヤルサルーン,"127,000km",沖縄県,manen
toyota-crown-estate,クラウンエステート,,1993,1993年式,root,root,7,3.8,23.6,14.6,17.2,9.9,20.2,23.6,"1993年式 / 2.5 ロイヤルサルーン / 54,000km / 長崎県",1993年式,2.5 ロイヤルサルーン,"54,000km",長崎県,manen
toyota-crown-estate,クラウンエステート,,1992,1992年式,root,root,3,8.4,19.3,13.0,11.3,8.4,19.3,19.3,"1992年式 / 2.5 ロイヤルサルーン / 55,000km / 青森県",1992年式,2.5 ロイヤルサルーン,"55,000km",青森県,manen
toyota-crown-estate,クラウンエステート,,1991,1991年式,root,root,4,9.6,36.5,19.2,15.4,13.6,17.2,36.5,"1991年式 / 2.5 ロイヤルサルーン / 38,000km / 徳島県",1991年式,2.5 ロイヤルサルーン,"38,000km",徳島県,manen
toyota-crown-estate,クラウンエステート,,1990,1990年式,root,root,1,10.8,10.8,10.8,10.8,10.8,10.8,10.8,"1990年式 / 2.5 ロイヤルサルーン / 194,000km / 岐阜県",1990年式,2.5 ロイヤルサルーン,"194,000km",岐阜県,manen
toyota-crown-estate,クラウンエステート,,1989,1989年式,root,root,1,9.9,9.9,9.9,9.9,9.9,9.9,9.9,"1989年式 / 2.5 ロイヤルサルーン / 114,000km / 三重県",1989年式,2.5 ロイヤルサルーン,"114,000km",三重県,manen
