model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-crown-sedan,クラウンセダン,root,root,0万km,0,0,6,19.0,56.0,29.2,25.2,20.5,29.1,56.0,1991年式 / 2.5 ロイヤルサルーン / 0万km / 福岡県,1991年式,2.5 ロイヤルサルーン,0万km,福岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"7,000km",7000,7000,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,"2000年式 / 2.0 スーパーサルーン エクストラ / 7,000km / 長崎県",2000年式,2.0 スーパーサルーン エクストラ,"7,000km",長崎県,manen
toyota-crown-sedan,クラウンセダン,root,root,"11,000km",11000,11000,1,50.5,50.5,50.5,50.5,50.5,50.5,50.5,"2005年式 / 2.0 スーパーデラックス / 11,000km / 福島県",2005年式,2.0 スーパーデラックス,"11,000km",福島県,manen
toyota-crown-sedan,クラウンセダン,root,root,"12,000km",12000,12000,1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,"1995年式 / 3.0 ロイヤルサルーン G / 12,000km / 三重県",1995年式,3.0 ロイヤルサルーン G,"12,000km",三重県,manen
toyota-crown-sedan,クラウンセダン,root,root,"16,000km",16000,16000,2,24.0,25.5,24.8,24.8,24.0,25.5,25.5,"2004年式 / 2.0 スーパーデラックス Gパッケージ / 16,000km / 鳥取県",2004年式,2.0 スーパーデラックス Gパッケージ,"16,000km",鳥取県,manen
toyota-crown-sedan,クラウンセダン,root,root,"17,000km",17000,17000,1,37.4,37.4,37.4,37.4,37.4,37.4,37.4,"2002年式 / 2.0 スーパーデラックス Gパッケージ / 17,000km / 静岡県",2002年式,2.0 スーパーデラックス Gパッケージ,"17,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"19,000km",19000,19000,2,25.5,33.3,29.4,29.4,25.5,33.3,33.3,"2002年式 / 2.0 スーパーデラックス / 19,000km / 大分県",2002年式,2.0 スーパーデラックス,"19,000km",大分県,manen
toyota-crown-sedan,クラウンセダン,root,root,2万km,20000,20000,1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,2005年式 / 2.0 スーパーデラックス / 2万km / 広島県,2005年式,2.0 スーパーデラックス,2万km,広島県,manen
toyota-crown-sedan,クラウンセダン,root,root,"22,000km",22000,22000,2,42.7,50.4,46.5,46.5,42.7,50.4,50.4,"2006年式 / 2.0 スーパーデラックス Gパッケージ / 22,000km / 愛知県",2006年式,2.0 スーパーデラックス Gパッケージ,"22,000km",愛知県,manen
toyota-crown-sedan,クラウンセダン,root,root,"23,000km",23000,23000,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2005年式 / 2.0 スーパーデラックス マイルドハイブリッド / 23,000km / 静岡県",2005年式,2.0 スーパーデラックス マイルドハイブリッド,"23,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"24,000km",24000,24000,1,11.8,11.8,11.8,11.8,11.8,11.8,11.8,"2005年式 / 2.0 スーパーデラックス Gパッケージ / 24,000km / 静岡県",2005年式,2.0 スーパーデラックス Gパッケージ,"24,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"26,000km",26000,26000,6,11.7,39.1,25.1,26.4,15.6,31.4,39.1,"1992年式 / 2.5 ロイヤルサルーン / 26,000km / 山梨県",1992年式,2.5 ロイヤルサルーン,"26,000km",山梨県,manen
toyota-crown-sedan,クラウンセダン,root,root,"27,000km",27000,27000,2,13.0,17.5,15.2,15.2,13.0,17.5,17.5,"1990年式 / 2.0 ロイヤルサルーン / 27,000km / 奈良県",1990年式,2.0 ロイヤルサルーン,"27,000km",奈良県,manen
toyota-crown-sedan,クラウンセダン,root,root,"28,000km",28000,28000,1,26.8,26.8,26.8,26.8,26.8,26.8,26.8,"1996年式 / 2.5 ロイヤルサルーン / 28,000km / 千葉県",1996年式,2.5 ロイヤルサルーン,"28,000km",千葉県,manen
toyota-crown-sedan,クラウンセダン,root,root,"29,000km",29000,29000,1,30.5,30.5,30.5,30.5,30.5,30.5,30.5,"2003年式 / 2.0 スーパーデラックス マイルドハイブリッド / 29,000km / 滋賀県",2003年式,2.0 スーパーデラックス マイルドハイブリッド,"29,000km",滋賀県,manen
toyota-crown-sedan,クラウンセダン,root,root,"31,000km",31000,31000,2,26.1,44.5,35.3,35.3,26.1,44.5,44.5,"2006年式 / 2.0 スーパーデラックス Gパッケージ / 31,000km / 宮城県",2006年式,2.0 スーパーデラックス Gパッケージ,"31,000km",宮城県,manen
toyota-crown-sedan,クラウンセダン,root,root,"32,000km",32000,32000,2,5.7,37.9,21.8,21.8,5.7,37.9,37.9,"2005年式 / 2.0 スーパーデラックス / 32,000km / 静岡県",2005年式,2.0 スーパーデラックス,"32,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"33,000km",33000,33000,5,17.2,40.3,25.2,22.2,19.6,26.5,40.3,"1996年式 / 2.5 スーパーサルーン エクストラ / 33,000km / 福井県",1996年式,2.5 スーパーサルーン エクストラ,"33,000km",福井県,manen
toyota-crown-sedan,クラウンセダン,root,root,"34,000km",34000,34000,2,29.1,32.8,30.9,30.9,29.1,32.8,32.8,"1996年式 / 2.0 スーパーサルーン エクストラ ロイヤル Sパッケージ 3ナンバー車 / 34,000km / 静岡県",1996年式,2.0 スーパーサルーン エクストラ ロイヤル Sパッケージ 3ナンバー車,"34,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,root,root,"35,000km",35000,35000,2,26.0,46.8,36.4,36.4,26.0,46.8,46.8,"2003年式 / 2.0 スーパーサルーン / 35,000km / 群馬県",2003年式,2.0 スーパーサルーン,"35,000km",群馬県,manen
toyota-crown-sedan,クラウンセダン,root,root,"36,000km",36000,36000,5,17.8,29.5,22.1,20.4,19.6,23.4,29.5,"2006年式 / 2.0 スーパーデラックス / 36,000km / 東京都",2006年式,2.0 スーパーデラックス,"36,000km",東京都,manen
toyota-crown-sedan,クラウンセダン,root,root,"37,000km",37000,37000,4,24.5,40.2,35.0,37.6,36.6,38.7,40.2,"2003年式 / 2.0 スーパーデラックス Gパッケージ / 37,000km / 岩手県",2003年式,2.0 スーパーデラックス Gパッケージ,"37,000km",岩手県,manen
toyota-crown-sedan,クラウンセダン,root,root,"38,000km",38000,38000,2,24.9,40.0,32.5,32.5,24.9,40.0,40.0,"1999年式 / 2.0 スーパーデラックス / 38,000km / 山口県",1999年式,2.0 スーパーデラックス,"38,000km",山口県,manen
toyota-crown-sedan,クラウンセダン,root,root,"39,000km",39000,39000,3,17.9,41.5,32.7,38.8,17.9,41.5,41.5,"1999年式 / 2.0 スーパーサルーン / 39,000km / 岩手県",1999年式,2.0 スーパーサルーン,"39,000km",岩手県,manen
toyota-crown-sedan,クラウンセダン,root,root,4万km,40000,40000,2,8.1,26.6,17.4,17.4,8.1,26.6,26.6,2005年式 / 2.0 スーパーデラックス Gパッケージ / 4万km / 石川県,2005年式,2.0 スーパーデラックス Gパッケージ,4万km,石川県,manen
