model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-crown-sedan,クラウンセダン,,2021,2021年式,root,root,1,41.6,41.6,41.6,41.6,41.6,41.6,41.6,"2021年式 / 2.5 ロイヤルサルーン / 85,000km / 長野県",2021年式,2.5 ロイヤルサルーン,"85,000km",長野県,manen
toyota-crown-sedan,クラウンセダン,,2019,2019年式,root,root,1,38.5,38.5,38.5,38.5,38.5,38.5,38.5,"2019年式 / 2.0 スーパーサルーン / 626,000km / 和歌山県",2019年式,2.0 スーパーサルーン,"626,000km",和歌山県,manen
toyota-crown-sedan,クラウンセダン,,2018,2018年式,root,root,5,22.5,51.3,38.3,39.5,38.0,40.2,51.3,"2018年式 / 2.0 スーパーサルーン / 389,000km / 岐阜県",2018年式,2.0 スーパーサルーン,"389,000km",岐阜県,manen
toyota-crown-sedan,クラウンセダン,,2017,2017年式,root,root,14,25.7,62.9,40.1,31.8,27.6,57.0,62.9,"2017年式 / 2.0 スーパーデラックス / 251,000km / 静岡県",2017年式,2.0 スーパーデラックス,"251,000km",静岡県,manen
toyota-crown-sedan,クラウンセダン,,2016,2016年式,root,root,25,19.0,61.3,37.4,32.2,27.0,47.4,61.3,"2016年式 / 2.0 スーパーデラックス Gパッケージ / 207,000km / 沖縄県",2016年式,2.0 スーパーデラックス Gパッケージ,"207,000km",沖縄県,manen
toyota-crown-sedan,クラウンセダン,,2015,2015年式,root,root,16,21.9,55.0,37.5,35.4,30.3,47.0,55.0,"2015年式 / 2.0 スーパーサルーン / 295,000km / 岩手県",2015年式,2.0 スーパーサルーン,"295,000km",岩手県,manen
toyota-crown-sedan,クラウンセダン,,2014,2014年式,root,root,29,15.0,50.2,25.9,25.0,22.0,26.5,50.2,"2014年式 / 2.0 スーパーサルーン / 355,000km / 鹿児島県",2014年式,2.0 スーパーサルーン,"355,000km",鹿児島県,manen
toyota-crown-sedan,クラウンセダン,,2013,2013年式,root,root,16,16.5,55.5,33.9,28.7,23.1,43.9,55.5,"2013年式 / 2.0 スーパーデラックス / 189,000km / 香川県",2013年式,2.0 スーパーデラックス,"189,000km",香川県,manen
toyota-crown-sedan,クラウンセダン,,2012,2012年式,root,root,21,11.1,50.2,27.2,24.0,17.5,37.9,50.2,"2012年式 / 2.0 スーパーデラックス / 208,000km / 佐賀県",2012年式,2.0 スーパーデラックス,"208,000km",佐賀県,manen
toyota-crown-sedan,クラウンセダン,,2011,2011年式,root,root,27,10.0,61.1,28.8,23.4,19.3,37.0,61.1,"2011年式 / 2.0 スーパーデラックス / 271,000km / 石川県",2011年式,2.0 スーパーデラックス,"271,000km",石川県,manen
