model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-gr86,GR86,root,root,0万km,0,0,12,213.1,330.3,287.0,300.2,259.5,318.5,330.3,2022年式 / 2.4 RZ / 0万km / 山口県,2022年式,2.4 RZ,0万km,山口県,manen
toyota-gr86,GR86,root,root,"1,000km",1000,1000,18,230.1,336.5,290.7,297.4,273.9,318.3,336.5,"2022年式 / 2.4 RZ / 1,000km / 三重県",2022年式,2.4 RZ,"1,000km",三重県,manen
toyota-gr86,GR86,root,root,"2,000km",2000,2000,16,231.0,323.5,287.8,288.0,279.8,306.5,323.5,"2024年式 / 2.4 RZ / 2,000km / 富山県",2024年式,2.4 RZ,"2,000km",富山県,manen
toyota-gr86,GR86,root,root,"3,000km",3000,3000,30,223.5,330.4,287.3,290.5,280.0,298.0,330.4,"2023年式 / 2.4 RZ 10th アニバーサリー リミテッド / 3,000km / 宮城県",2023年式,2.4 RZ 10th アニバーサリー リミテッド,"3,000km",宮城県,manen
toyota-gr86,GR86,root,root,"4,000km",4000,4000,21,255.0,338.5,295.7,296.8,277.5,315.0,338.5,"2021年式 / 2.4 RZ / 4,000km / 山梨県",2021年式,2.4 RZ,"4,000km",山梨県,manen
toyota-gr86,GR86,root,root,"5,000km",5000,5000,21,190.1,331.0,284.0,288.5,268.0,307.0,331.0,"2023年式 / 2.4 RZ / 5,000km / 徳島県",2023年式,2.4 RZ,"5,000km",徳島県,manen
toyota-gr86,GR86,root,root,"6,000km",6000,6000,18,218.7,327.0,275.2,271.6,249.5,308.0,327.0,"2023年式 / 2.4 RZ / 6,000km / 富山県",2023年式,2.4 RZ,"6,000km",富山県,manen
toyota-gr86,GR86,root,root,"7,000km",7000,7000,20,181.6,331.5,280.1,284.5,272.0,294.9,331.5,"2024年式 / 2.4 RZ / 7,000km / 東京都",2024年式,2.4 RZ,"7,000km",東京都,manen
toyota-gr86,GR86,root,root,"8,000km",8000,8000,20,175.4,320.9,272.0,280.0,263.5,293.0,320.9,"2022年式 / 2.4 RZ / 8,000km / 香川県",2022年式,2.4 RZ,"8,000km",香川県,manen
toyota-gr86,GR86,root,root,"9,000km",9000,9000,14,237.1,318.5,278.4,279.9,262.5,290.0,318.5,"2023年式 / 2.4 RZ / 9,000km / 和歌山県",2023年式,2.4 RZ,"9,000km",和歌山県,manen
