model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-harrier,ハリアー,,2025,2025年式,root,root,33,247.5,426.0,354.6,360.0,320.1,390.7,426.0,"2025年式 / 2.5 ハイブリッド Z / 4,000km / 奈良県",2025年式,2.5 ハイブリッド Z,"4,000km",奈良県,manen
toyota-harrier,ハリアー,,2024,2024年式,root,root,66,207.4,439.0,333.4,338.4,308.4,360.0,439.0,"2024年式 / 2.5 ハイブリッド Z レザーパッケージ / 11,000km / 広島県",2024年式,2.5 ハイブリッド Z レザーパッケージ,"11,000km",広島県,manen
toyota-harrier,ハリアー,,2023,2023年式,root,root,77,212.8,435.0,313.6,320.1,273.3,355.0,435.0,"2023年式 / 2.5 ハイブリッド E-Four Z 4WD / 21,000km / 奈良県",2023年式,2.5 ハイブリッド E-Four Z 4WD,"21,000km",奈良県,manen
toyota-harrier,ハリアー,,2022,2022年式,root,root,70,206.5,436.0,309.6,309.2,272.8,350.0,436.0,"2022年式 / 2.5 ハイブリッド Z レザーパッケージ / 26,000km / 岐阜県",2022年式,2.5 ハイブリッド Z レザーパッケージ,"26,000km",岐阜県,manen
toyota-harrier,ハリアー,,2021,2021年式,root,root,79,182.7,399.8,275.2,275.4,244.3,297.0,399.8,"2021年式 / 2.5 ハイブリッド Z レザーパッケージ / 18,000km / 鹿児島県",2021年式,2.5 ハイブリッド Z レザーパッケージ,"18,000km",鹿児島県,manen
toyota-harrier,ハリアー,,2020,2020年式,root,root,68,162.5,352.5,247.4,242.2,223.5,270.5,352.5,"2020年式 / 2.0 Z レザーパッケージ / 35,000km / 宮城県",2020年式,2.0 Z レザーパッケージ,"35,000km",宮城県,manen
toyota-harrier,ハリアー,,2019,2019年式,root,root,52,156.0,295.2,214.1,211.1,197.5,233.6,295.2,"2019年式 / 2.0 プログレス メタル アンド レザーパッケージ / 77,000km / 京都府",2019年式,2.0 プログレス メタル アンド レザーパッケージ,"77,000km",京都府,manen
toyota-harrier,ハリアー,,2018,2018年式,root,root,41,142.1,276.1,195.8,195.5,179.2,201.8,276.1,"2018年式 / 2.5 ハイブリッド Z ナイトシェード E-Four 4WD / 79,000km / 岡山県",2018年式,2.5 ハイブリッド Z ナイトシェード E-Four 4WD,"79,000km",岡山県,manen
toyota-harrier,ハリアー,,2017,2017年式,root,root,65,13.2,236.5,165.7,165.2,144.7,185.5,236.5,"2017年式 / 2.5 ハイブリッド E-Four プレミアム 4WD / 39,000km / 鹿児島県",2017年式,2.5 ハイブリッド E-Four プレミアム 4WD,"39,000km",鹿児島県,manen
toyota-harrier,ハリアー,,2016,2016年式,root,root,51,93.4,188.6,145.2,147.4,126.9,164.8,188.6,"2016年式 / 2.0 プレミアム 4WD / 32,000km / 兵庫県",2016年式,2.0 プレミアム 4WD,"32,000km",兵庫県,manen
toyota-harrier,ハリアー,,2015,2015年式,root,root,59,9.7,188.5,118.4,116.7,106.5,132.0,188.5,"2015年式 / 2.5 ハイブリッド E-Four プレミアム 4WD / 34,000km / 福島県",2015年式,2.5 ハイブリッド E-Four プレミアム 4WD,"34,000km",福島県,manen
toyota-harrier,ハリアー,,2014,2014年式,root,root,54,77.1,154.0,112.5,110.2,98.2,126.2,154.0,"2014年式 / 2.0 エレガンス 4WD / 89,000km / 富山県",2014年式,2.0 エレガンス 4WD,"89,000km",富山県,manen
toyota-harrier,ハリアー,,2013,2013年式,root,root,14,85.0,128.4,105.8,103.7,98.3,112.5,128.4,"2013年式 / 2.0 エレガンス / 76,000km / 岐阜県",2013年式,2.0 エレガンス,"76,000km",岐阜県,manen
