model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-land-cruiser-300,ランドクルーザー300,root,root,0万km,0,0,24,771.0,1155.7,999.7,1034.7,913.5,1100.0,1155.7,2022年式 / 3.5 ZX 4WD / 0万km / 山形県,2022年式,3.5 ZX 4WD,0万km,山形県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"1,000km",1000,1000,54,624.9,1158.5,904.9,906.4,823.9,976.6,1158.5,"2023年式 / 3.5 ZX 4WD / 1,000km / 京都府",2023年式,3.5 ZX 4WD,"1,000km",京都府,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"2,000km",2000,2000,48,782.0,1222.6,946.7,919.0,858.3,1011.5,1222.6,"2021年式 / 3.5 ZX 4WD / 2,000km / 山口県",2021年式,3.5 ZX 4WD,"2,000km",山口県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"3,000km",3000,3000,23,581.5,1108.0,930.4,927.0,872.5,998.5,1108.0,"2021年式 / 3.3 ZX ディーゼル 4WD / 3,000km / 岡山県",2021年式,3.3 ZX ディーゼル 4WD,"3,000km",岡山県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"4,000km",4000,4000,23,635.4,1150.5,897.2,890.0,841.5,950.0,1150.5,"2021年式 / 3.3 ZX ディーゼル 4WD / 4,000km / 青森県",2021年式,3.3 ZX ディーゼル 4WD,"4,000km",青森県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"5,000km",5000,5000,23,653.9,1233.0,951.9,941.6,918.1,1000.1,1233.0,"2022年式 / 3.5 ZX 4WD / 5,000km / 奈良県",2022年式,3.5 ZX 4WD,"5,000km",奈良県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"6,000km",6000,6000,23,652.5,1066.5,935.6,929.7,900.0,1002.0,1066.5,"2022年式 / 3.5 ZX 4WD / 6,000km / 兵庫県",2022年式,3.5 ZX 4WD,"6,000km",兵庫県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"7,000km",7000,7000,16,712.9,1125.2,912.9,905.5,840.1,937.7,1125.2,"2021年式 / 3.5 ZX 4WD / 7,000km / 千葉県",2021年式,3.5 ZX 4WD,"7,000km",千葉県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"8,000km",8000,8000,21,640.8,1072.5,893.9,898.9,845.0,950.0,1072.5,"2021年式 / 3.5 ZX 4WD / 8,000km / 鳥取県",2021年式,3.5 ZX 4WD,"8,000km",鳥取県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"9,000km",9000,9000,18,736.1,1178.0,913.0,885.0,851.0,932.5,1178.0,"2021年式 / 3.5 ZX 4WD / 9,000km / 福島県",2021年式,3.5 ZX 4WD,"9,000km",福島県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,1万km,10000,10000,22,607.0,1221.0,912.2,911.5,865.0,973.5,1221.0,2021年式 / 3.5 ZX 4WD / 1万km / 埼玉県,2021年式,3.5 ZX 4WD,1万km,埼玉県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"11,000km",11000,11000,14,664.5,1205.5,906.0,881.5,818.0,932.5,1205.5,"2021年式 / 3.5 ZX 4WD / 11,000km / 岡山県",2021年式,3.5 ZX 4WD,"11,000km",岡山県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"12,000km",12000,12000,10,603.0,1163.5,903.1,882.9,856.5,968.5,1163.5,"2022年式 / 3.5 ZX 4WD / 12,000km / 群馬県",2022年式,3.5 ZX 4WD,"12,000km",群馬県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"13,000km",13000,13000,3,1016.5,1229.5,1098.7,1050.0,1016.5,1229.5,1229.5,"2021年式 / 3.5 ZX 4WD / 13,000km / 栃木県",2021年式,3.5 ZX 4WD,"13,000km",栃木県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"14,000km",14000,14000,7,770.5,1097.8,902.4,881.0,878.0,902.5,1097.8,"2022年式 / 3.5 ZX 4WD / 14,000km / 熊本県",2022年式,3.5 ZX 4WD,"14,000km",熊本県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"15,000km",15000,15000,10,640.0,962.0,832.6,850.7,791.0,886.8,962.0,"2022年式 / 3.5 ZX 4WD / 15,000km / 島根県",2022年式,3.5 ZX 4WD,"15,000km",島根県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"16,000km",16000,16000,8,642.5,866.5,808.2,846.2,776.4,860.4,866.5,"2021年式 / 3.5 GRスポーツ 4WD / 16,000km / 鳥取県",2021年式,3.5 GRスポーツ 4WD,"16,000km",鳥取県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"17,000km",17000,17000,5,875.0,1085.7,964.0,947.5,910.9,1001.0,1085.7,"2023年式 / 3.5 ZX 4WD / 17,000km / 愛知県",2023年式,3.5 ZX 4WD,"17,000km",愛知県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"18,000km",18000,18000,5,771.9,907.4,841.8,849.2,810.4,870.0,907.4,"2022年式 / 3.5 ZX 4WD / 18,000km / 福岡県",2022年式,3.5 ZX 4WD,"18,000km",福岡県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"19,000km",19000,19000,4,681.0,1210.0,890.2,835.0,827.3,842.7,1210.0,"2021年式 / 3.5 ZX 4WD / 19,000km / 島根県",2021年式,3.5 ZX 4WD,"19,000km",島根県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,2万km,20000,20000,8,800.5,1032.0,904.6,902.8,867.4,903.8,1032.0,2021年式 / 3.5 ZX 4WD / 2万km / 東京都,2021年式,3.5 ZX 4WD,2万km,東京都,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"21,000km",21000,21000,3,866.0,957.0,924.1,949.3,866.0,957.0,957.0,"2022年式 / 3.3 ZX ディーゼル 4WD / 21,000km / 山形県",2022年式,3.3 ZX ディーゼル 4WD,"21,000km",山形県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"22,000km",22000,22000,5,800.0,926.8,870.9,879.2,849.5,898.9,926.8,"2021年式 / 3.3 ZX ディーゼル 4WD / 22,000km / 青森県",2021年式,3.3 ZX ディーゼル 4WD,"22,000km",青森県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"23,000km",23000,23000,6,621.0,913.0,825.4,855.2,833.0,875.0,913.0,"2022年式 / 3.5 ZX 4WD / 23,000km / 山梨県",2022年式,3.5 ZX 4WD,"23,000km",山梨県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"24,000km",24000,24000,1,950.5,950.5,950.5,950.5,950.5,950.5,950.5,"2022年式 / 3.5 ZX 4WD / 24,000km / 兵庫県",2022年式,3.5 ZX 4WD,"24,000km",兵庫県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"25,000km",25000,25000,1,830.5,830.5,830.5,830.5,830.5,830.5,830.5,"2022年式 / 3.3 ZX ディーゼル 4WD / 25,000km / 山梨県",2022年式,3.3 ZX ディーゼル 4WD,"25,000km",山梨県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"26,000km",26000,26000,1,1204.4,1204.4,1204.4,1204.4,1204.4,1204.4,1204.4,"2021年式 / 3.5 ZX 4WD / 26,000km / 宮城県",2021年式,3.5 ZX 4WD,"26,000km",宮城県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"27,000km",27000,27000,2,882.9,902.9,892.9,892.9,882.9,902.9,902.9,"2023年式 / 3.3 ZX ディーゼル 4WD / 27,000km / 大阪府",2023年式,3.3 ZX ディーゼル 4WD,"27,000km",大阪府,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"28,000km",28000,28000,3,712.0,858.3,762.8,718.0,712.0,858.3,858.3,"2023年式 / 3.5 ZX 4WD / 28,000km / 大阪府",2023年式,3.5 ZX 4WD,"28,000km",大阪府,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"29,000km",29000,29000,4,819.0,1121.5,941.8,913.3,897.5,929.1,1121.5,"2021年式 / 3.5 ZX 4WD / 29,000km / 徳島県",2021年式,3.5 ZX 4WD,"29,000km",徳島県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,3万km,30000,30000,2,828.5,893.4,861.0,861.0,828.5,893.4,893.4,2022年式 / 3.5 ZX 4WD / 3万km / 奈良県,2022年式,3.5 ZX 4WD,3万km,奈良県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"31,000km",31000,31000,3,802.0,1132.5,940.2,886.0,802.0,1132.5,1132.5,"2021年式 / 3.5 ZX 4WD / 31,000km / 岡山県",2021年式,3.5 ZX 4WD,"31,000km",岡山県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"32,000km",32000,32000,3,783.0,900.0,827.0,798.0,783.0,900.0,900.0,"2022年式 / 3.5 ZX 4WD / 32,000km / 愛媛県",2022年式,3.5 ZX 4WD,"32,000km",愛媛県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"33,000km",33000,33000,1,852.2,852.2,852.2,852.2,852.2,852.2,852.2,"2023年式 / 3.3 ZX ディーゼル 4WD / 33,000km / 青森県",2023年式,3.3 ZX ディーゼル 4WD,"33,000km",青森県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"34,000km",34000,34000,2,836.5,841.0,838.8,838.8,836.5,841.0,841.0,"2021年式 / 3.3 GRスポーツ ディーゼル 4WD / 34,000km / 神奈川県",2021年式,3.3 GRスポーツ ディーゼル 4WD,"34,000km",神奈川県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"35,000km",35000,35000,2,676.3,920.0,798.1,798.1,676.3,920.0,920.0,"2022年式 / 3.5 ZX 4WD / 35,000km / 宮城県",2022年式,3.5 ZX 4WD,"35,000km",宮城県,manen
toyota-land-cruiser-300,ランドクルーザー300,root,root,"36,000km",36000,36000,2,820.6,925.3,873.0,873.0,820.6,925.3,925.3,"2022年式 / 3.5 ZX 4WD / 36,000km / 神奈川県",2022年式,3.5 ZX 4WD,"36,000km",神奈川県,manen
