model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-land-cruiser-70,ランドクルーザー70,,2025,2025年式,root,root,11,630.8,774.6,690.8,693.0,674.3,699.5,774.6,"2025年式 / 2.8 AX ディーゼル 4WD / 1,000km / 静岡県",2025年式,2.8 AX ディーゼル 4WD,"1,000km",静岡県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2024,2024年式,root,root,33,485.2,804.0,672.9,662.7,643.5,695.5,804.0,"2024年式 / 2.8 AX ディーゼル 4WD / 1,000km / 千葉県",2024年式,2.8 AX ディーゼル 4WD,"1,000km",千葉県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2023,2023年式,root,root,11,606.0,778.0,663.0,650.5,625.8,679.7,778.0,2023年式 / 2.8 AX ディーゼル 4WD / 0万km / 三重県,2023年式,2.8 AX ディーゼル 4WD,0万km,三重県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2015,2015年式,root,root,48,243.8,473.0,376.5,389.8,337.5,423.5,473.0,2015年式 / 4.0 4WD / 3万km / 新潟県,2015年式,4.0 4WD,3万km,新潟県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2014,2014年式,root,root,18,266.0,484.5,384.2,387.8,325.0,444.5,484.5,2014年式 / 4.0 4WD / 3万km / 宮城県,2014年式,4.0 4WD,3万km,宮城県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2004,2004年式,root,root,15,5.0,413.6,279.6,293.5,255.0,330.5,413.6,"2004年式 / 4.2 ZX ディーゼル 4WD / 34,000km / 和歌山県",2004年式,4.2 ZX ディーゼル 4WD,"34,000km",和歌山県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2003,2003年式,root,root,7,170.0,335.2,237.8,239.3,222.0,245.4,335.2,"2003年式 / 4.2 ZX ディーゼル 4WD / 182,000km / 島根県",2003年式,4.2 ZX ディーゼル 4WD,"182,000km",島根県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2002,2002年式,root,root,12,145.0,404.9,279.0,291.2,221.0,340.5,404.9,"2002年式 / 4.2 ZX ディーゼル 4WD / 128,000km / 和歌山県",2002年式,4.2 ZX ディーゼル 4WD,"128,000km",和歌山県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2001,2001年式,root,root,19,159.6,374.0,248.1,248.4,188.0,312.2,374.0,"2001年式 / 4.2 ZX ディーゼル 4WD / 188,000km / 大分県",2001年式,4.2 ZX ディーゼル 4WD,"188,000km",大分県,manen
toyota-land-cruiser-70,ランドクルーザー70,,2000,2000年式,root,root,16,75.9,297.5,213.2,222.7,188.5,245.8,297.5,"2000年式 / 4.2 LX ディーゼル 4WD / 141,000km / 徳島県",2000年式,4.2 LX ディーゼル 4WD,"141,000km",徳島県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1999,1999年式,root,root,13,79.4,301.5,201.5,221.0,164.8,239.3,301.5,1999年式 / 4.2 ZX FRPトップ ディーゼル 4WD / 17万km / 神奈川県,1999年式,4.2 ZX FRPトップ ディーゼル 4WD,17万km,神奈川県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1998,1998年式,root,root,14,69.0,301.5,159.6,145.2,108.5,190.0,301.5,"1998年式 / 4.2 ZX FRPトップ ディーゼル 4WD / 145,000km / 鳥取県",1998年式,4.2 ZX FRPトップ ディーゼル 4WD,"145,000km",鳥取県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1997,1997年式,root,root,16,93.5,385.5,185.1,174.0,133.0,210.5,385.5,"1997年式 / 4.2 ZX ディーゼル 4WD / 133,000km / 埼玉県",1997年式,4.2 ZX ディーゼル 4WD,"133,000km",埼玉県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1996,1996年式,root,root,13,99.0,242.0,161.2,151.0,121.0,194.6,242.0,"1996年式 / 4.2 LX ディーゼル 4WD / 119,000km / 沖縄県",1996年式,4.2 LX ディーゼル 4WD,"119,000km",沖縄県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1995,1995年式,root,root,10,64.5,292.6,196.3,202.4,170.5,240.0,292.6,"1995年式 / 4.2 ZX FRPトップ ディーゼル 4WD / 126,000km / 長崎県",1995年式,4.2 ZX FRPトップ ディーゼル 4WD,"126,000km",長崎県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1994,1994年式,root,root,9,79.0,246.5,170.1,169.0,116.5,244.5,246.5,"1994年式 / 4.2 ZX FRPトップ ディーゼル 4WD / 212,000km / 熊本県",1994年式,4.2 ZX FRPトップ ディーゼル 4WD,"212,000km",熊本県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1993,1993年式,root,root,8,78.5,170.0,132.4,129.7,125.0,144.5,170.0,"1993年式 / 4.2 ZX ディーゼル 4WD / 238,000km / 長崎県",1993年式,4.2 ZX ディーゼル 4WD,"238,000km",長崎県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1992,1992年式,root,root,15,80.0,327.5,139.5,115.5,101.5,153.0,327.5,"1992年式 / 3.5 LX ディーゼル 4WD / 37,000km / 富山県",1992年式,3.5 LX ディーゼル 4WD,"37,000km",富山県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1991,1991年式,root,root,16,47.1,208.5,135.5,128.6,97.4,189.0,208.5,"1991年式 / 4.2 ZX ディーゼル 4WD / 176,000km / 岐阜県",1991年式,4.2 ZX ディーゼル 4WD,"176,000km",岐阜県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1990,1990年式,root,root,8,88.0,200.5,133.6,130.9,98.0,165.5,200.5,"1990年式 / 3.5 LX ディーゼル 4WD / 208,000km / 京都府",1990年式,3.5 LX ディーゼル 4WD,"208,000km",京都府,manen
toyota-land-cruiser-70,ランドクルーザー70,,1989,1989年式,root,root,5,97.0,253.9,149.3,103.5,100.0,192.0,253.9,"1989年式 / 3.4 LX FRPトップ ディーゼル 4WD / 183,000km / 北海道",1989年式,3.4 LX FRPトップ ディーゼル 4WD,"183,000km",北海道,manen
toyota-land-cruiser-70,ランドクルーザー70,,1988,1988年式,root,root,2,139.5,180.0,159.8,159.8,139.5,180.0,180.0,"1988年式 / 3.4 LX ディーゼル 4WD / 63,000km / 長野県",1988年式,3.4 LX ディーゼル 4WD,"63,000km",長野県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1987,1987年式,root,root,1,200.0,200.0,200.0,200.0,200.0,200.0,200.0,"1987年式 / 3.4 LX ディーゼル 4WD / 91,000km / 島根県",1987年式,3.4 LX ディーゼル 4WD,"91,000km",島根県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1986,1986年式,root,root,1,52.0,52.0,52.0,52.0,52.0,52.0,52.0,"1986年式 / 3.4 LX ディーゼル 4WD / 335,000km / 香川県",1986年式,3.4 LX ディーゼル 4WD,"335,000km",香川県,manen
toyota-land-cruiser-70,ランドクルーザー70,,1985,1985年式,root,root,1,50.3,50.3,50.3,50.3,50.3,50.3,50.3,"1985年式 / 3.4 LX FRPトップ ディーゼル 4WD / 101,000km / 沖縄県",1985年式,3.4 LX FRPトップ ディーゼル 4WD,"101,000km",沖縄県,manen
