model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-mirai,MIRAI,root,root,0万km,0,0,2,259.0,274.3,266.6,266.6,259.0,274.3,274.3,2024年式 / Z / 0万km / 長野県,2024年式,Z,0万km,長野県,manen
toyota-mirai,MIRAI,root,root,"1,000km",1000,1000,9,240.5,452.2,342.4,344.6,314.0,374.1,452.2,"2020年式 / G エグゼクティブパッケージ / 1,000km / 長崎県",2020年式,G エグゼクティブパッケージ,"1,000km",長崎県,manen
toyota-mirai,MIRAI,root,root,"2,000km",2000,2000,6,223.8,427.1,323.5,314.9,280.0,380.5,427.1,"2021年式 / G / 2,000km / 新潟県",2021年式,G,"2,000km",新潟県,manen
toyota-mirai,MIRAI,root,root,"3,000km",3000,3000,10,223.6,402.1,314.4,309.3,303.2,332.9,402.1,"2020年式 / Z エグゼクティブパッケージ / 3,000km / 和歌山県",2020年式,Z エグゼクティブパッケージ,"3,000km",和歌山県,manen
toyota-mirai,MIRAI,root,root,"4,000km",4000,4000,13,165.5,464.1,321.5,325.2,265.5,370.4,464.1,"2021年式 / Z エグゼクティブパッケージ / 4,000km / 奈良県",2021年式,Z エグゼクティブパッケージ,"4,000km",奈良県,manen
toyota-mirai,MIRAI,root,root,"5,000km",5000,5000,13,90.6,467.7,319.6,329.5,276.4,400.0,467.7,"2021年式 / Z エグゼクティブパッケージ / 5,000km / 愛媛県",2021年式,Z エグゼクティブパッケージ,"5,000km",愛媛県,manen
toyota-mirai,MIRAI,root,root,"6,000km",6000,6000,5,263.5,487.5,371.5,389.1,320.4,397.0,487.5,"2021年式 / G エグゼクティブパッケージ / 6,000km / 東京都",2021年式,G エグゼクティブパッケージ,"6,000km",東京都,manen
toyota-mirai,MIRAI,root,root,"7,000km",7000,7000,4,240.9,290.8,273.3,280.7,271.2,290.2,290.8,"2022年式 / G / 7,000km / 和歌山県",2022年式,G,"7,000km",和歌山県,manen
toyota-mirai,MIRAI,root,root,"8,000km",8000,8000,6,90.6,397.6,253.3,266.1,199.0,300.5,397.6,"2021年式 / Z / 8,000km / 熊本県",2021年式,Z,"8,000km",熊本県,manen
toyota-mirai,MIRAI,root,root,"9,000km",9000,9000,4,230.0,320.0,272.1,269.1,235.0,303.2,320.0,"2020年式 / Z / 9,000km / 鳥取県",2020年式,Z,"9,000km",鳥取県,manen
toyota-mirai,MIRAI,root,root,1万km,10000,10000,8,199.9,485.5,295.6,256.9,221.5,323.0,485.5,2020年式 / Z エグゼクティブパッケージ / 1万km / 宮崎県,2020年式,Z エグゼクティブパッケージ,1万km,宮崎県,manen
