model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-noah,ノア,,2026,2026年式,root,root,1,383.9,383.9,383.9,383.9,383.9,383.9,383.9,"2026年式 / 1.8 ハイブリッド S-Z / 1,000km / 愛知県",2026年式,1.8 ハイブリッド S-Z,"1,000km",愛知県,manen
toyota-noah,ノア,,2025,2025年式,root,root,16,306.4,390.3,330.1,327.1,319.7,339.5,390.3,"2025年式 / 1.8 ハイブリッド S-Z / 11,000km / 愛知県",2025年式,1.8 ハイブリッド S-Z,"11,000km",愛知県,manen
toyota-noah,ノア,,2024,2024年式,root,root,50,184.9,382.9,312.9,320.6,302.0,341.0,382.9,"2024年式 / 1.8 ハイブリッド S-Z / 7,000km / 滋賀県",2024年式,1.8 ハイブリッド S-Z,"7,000km",滋賀県,manen
toyota-noah,ノア,,2023,2023年式,root,root,60,27.5,386.5,292.4,303.0,273.5,332.5,386.5,"2023年式 / 1.8 ハイブリッド S-Z / 28,000km / 奈良県",2023年式,1.8 ハイブリッド S-Z,"28,000km",奈良県,manen
toyota-noah,ノア,,2022,2022年式,root,root,62,146.3,382.5,277.6,286.2,237.0,327.3,382.5,"2022年式 / 1.8 ハイブリッド S-Z / 15,000km / 山梨県",2022年式,1.8 ハイブリッド S-Z,"15,000km",山梨県,manen
toyota-noah,ノア,,2021,2021年式,root,root,53,101.6,300.5,209.7,219.5,177.2,245.5,300.5,2021年式 / 1.8 ハイブリッド Si W×B II / 11万km / 岐阜県,2021年式,1.8 ハイブリッド Si W×B II,11万km,岐阜県,manen
toyota-noah,ノア,,2020,2020年式,root,root,65,111.0,286.8,188.5,189.5,153.8,223.0,286.8,"2020年式 / 1.8 ハイブリッド Si W×B II / 32,000km / 大分県",2020年式,1.8 ハイブリッド Si W×B II,"32,000km",大分県,manen
toyota-noah,ノア,,2019,2019年式,root,root,66,95.0,270.3,178.1,178.7,149.6,206.2,270.3,"2019年式 / 1.8 ハイブリッド Si W×B II / 15,000km / 岩手県",2019年式,1.8 ハイブリッド Si W×B II,"15,000km",岩手県,manen
toyota-noah,ノア,,2018,2018年式,root,root,57,79.1,244.0,163.2,158.8,138.5,193.7,244.0,"2018年式 / 1.8 ハイブリッド Si W×B / 63,000km / 福島県",2018年式,1.8 ハイブリッド Si W×B,"63,000km",福島県,manen
toyota-noah,ノア,,2017,2017年式,root,root,67,62.0,247.0,136.2,132.0,99.5,173.0,247.0,"2017年式 / 1.8 ハイブリッド Si W×B / 39,000km / 東京都",2017年式,1.8 ハイブリッド Si W×B,"39,000km",東京都,manen
