model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-prius,プリウス,mixed,mixed,0万km,0,0,6,28.6,390.5,243.5,319.6,50.5,352.3,390.5,2024年式 / 2.0 Z / 0万km / 愛知県,2024年式,2.0 Z,0万km,愛知県,manen
toyota-prius,プリウス,mixed,mixed,"1,000km",1000,1000,17,230.3,384.3,329.6,341.8,315.2,363.1,384.3,"2024年式 / 2.0 Z / 1,000km / 栃木県",2024年式,2.0 Z,"1,000km",栃木県,manen
toyota-prius,プリウス,year_variant,2y,"2,000km",2000,2000,9,215.2,378.5,309.2,322.1,247.9,368.0,378.5,"2024年式 / 2.0 Z / 2,000km / 神奈川県",2024年式,2.0 Z,"2,000km",神奈川県,manen
toyota-prius,プリウス,year_variant,2y,"3,000km",3000,3000,7,230.0,344.5,276.7,260.0,258.1,270.0,344.5,"2024年式 / 2.0 プラグインハイブリッド Z / 3,000km / 沖縄県",2024年式,2.0 プラグインハイブリッド Z,"3,000km",沖縄県,manen
toyota-prius,プリウス,mixed,mixed,"4,000km",4000,4000,11,128.8,392.0,275.5,253.0,226.5,335.1,392.0,"2024年式 / 2.0 Z / 4,000km / 長崎県",2024年式,2.0 Z,"4,000km",長崎県,manen
toyota-prius,プリウス,mixed,mixed,"5,000km",5000,5000,9,126.8,347.0,257.1,259.7,232.8,300.8,347.0,"2024年式 / 2.0 Z / 5,000km / 長野県",2024年式,2.0 Z,"5,000km",長野県,manen
toyota-prius,プリウス,mixed,mixed,"6,000km",6000,6000,7,95.6,297.6,237.6,254.0,220.3,284.8,297.6,"2024年式 / 2.0 Z / 6,000km / 三重県",2024年式,2.0 Z,"6,000km",三重県,manen
toyota-prius,プリウス,mixed,mixed,"7,000km",7000,7000,9,239.1,348.5,297.3,295.1,270.0,342.0,348.5,"2024年式 / 2.0 Z / 7,000km / 奈良県",2024年式,2.0 Z,"7,000km",奈良県,manen
toyota-prius,プリウス,mixed,mixed,"8,000km",8000,8000,7,156.5,311.0,252.8,263.0,258.1,271.5,311.0,"2024年式 / 2.0 Z E-Four 4WD / 8,000km / 富山県",2024年式,2.0 Z E-Four 4WD,"8,000km",富山県,manen
toyota-prius,プリウス,mixed,mixed,"9,000km",9000,9000,6,22.1,352.1,245.2,272.4,258.2,294.0,352.1,"2024年式 / 2.0 Z / 9,000km / 静岡県",2024年式,2.0 Z,"9,000km",静岡県,manen
toyota-prius,プリウス,mixed,mixed,1万km,10000,10000,2,46.6,366.8,206.7,206.7,46.6,366.8,366.8,2024年式 / 2.0 Z / 1万km / 京都府,2024年式,2.0 Z,1万km,京都府,manen
toyota-prius,プリウス,year_variant,2y,"11,000km",11000,11000,3,250.8,325.8,296.2,312.0,250.8,325.8,325.8,"2024年式 / 2.0 Z / 11,000km / 神奈川県",2024年式,2.0 Z,"11,000km",神奈川県,manen
toyota-prius,プリウス,mixed,mixed,"12,000km",12000,12000,7,133.8,357.1,248.3,259.0,248.4,260.5,357.1,"2024年式 / 2.0 Z E-Four 4WD / 12,000km / 静岡県",2024年式,2.0 Z E-Four 4WD,"12,000km",静岡県,manen
toyota-prius,プリウス,mixed,mixed,"13,000km",13000,13000,7,89.4,345.0,250.1,291.5,215.7,317.0,345.0,"2024年式 / 2.0 Z E-Four 4WD / 13,000km / 石川県",2024年式,2.0 Z E-Four 4WD,"13,000km",石川県,manen
toyota-prius,プリウス,mixed,mixed,"14,000km",14000,14000,7,91.3,327.7,225.5,231.6,224.9,265.6,327.7,"2024年式 / 2.0 Z / 14,000km / 愛知県",2024年式,2.0 Z,"14,000km",愛知県,manen
toyota-prius,プリウス,mixed,mixed,"15,000km",15000,15000,7,24.8,354.1,186.3,183.4,165.0,253.9,354.1,"2024年式 / 2.0 Z E-Four 4WD / 15,000km / 静岡県",2024年式,2.0 Z E-Four 4WD,"15,000km",静岡県,manen
toyota-prius,プリウス,mixed,mixed,"16,000km",16000,16000,6,43.9,330.0,179.4,201.7,60.2,239.0,330.0,"2024年式 / 2.0 Z / 16,000km / 石川県",2024年式,2.0 Z,"16,000km",石川県,manen
toyota-prius,プリウス,year_variant,2y,"17,000km",17000,17000,3,213.2,332.0,267.8,258.3,213.2,332.0,332.0,"2024年式 / 2.0 プラグインハイブリッド Z / 17,000km / 大阪府",2024年式,2.0 プラグインハイブリッド Z,"17,000km",大阪府,manen
toyota-prius,プリウス,root,root,"18,000km",18000,18000,2,200.0,208.8,204.4,204.4,200.0,208.8,208.8,"2023年式 / 1.8 U / 18,000km / 愛知県",2023年式,1.8 U,"18,000km",愛知県,manen
