model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-prius,プリウス,,2025,2025年式,root,root,11,220.3,271.4,239.6,233.8,224.9,258.1,271.4,"2025年式 / 2.0 G / 7,000km / 新潟県",2025年式,2.0 G,"7,000km",新潟県,manen
toyota-prius,プリウス,,2024,2024年式,year_variant,2y,108,156.5,392.0,295.6,292.8,254.0,341.8,392.0,"2024年式 / 2.0 Z / 4,000km / 長崎県",2024年式,2.0 Z,"4,000km",長崎県,manen
toyota-prius,プリウス,,2023,2023年式,root,root,25,142.5,276.4,238.5,246.0,222.3,253.9,276.4,"2023年式 / 2.0 Z E-Four 4WD / 8,000km / 千葉県",2023年式,2.0 Z E-Four 4WD,"8,000km",千葉県,manen
toyota-prius,プリウス,,2022,2022年式,root,root,20,116.0,215.5,165.3,158.6,146.2,183.4,215.5,2022年式 / 1.8 S セーフティ プラスII / 3万km / 佐賀県,2022年式,1.8 S セーフティ プラスII,3万km,佐賀県,manen
toyota-prius,プリウス,,2021,2021年式,root,root,36,8.8,237.0,163.9,158.5,140.5,201.1,237.0,"2021年式 / 1.8 S ツーリングセレクション ブラックエディション 4WD / 23,000km / 沖縄県",2021年式,1.8 S ツーリングセレクション ブラックエディション 4WD,"23,000km",沖縄県,manen
toyota-prius,プリウス,,2020,2020年式,root,root,52,85.5,212.0,138.1,135.7,117.3,157.0,212.0,"2020年式 / 1.8 S ツーリングセレクション G&#039;s / 52,000km / 兵庫県",2020年式,1.8 S ツーリングセレクション G&#039;s,"52,000km",兵庫県,manen
toyota-prius,プリウス,,2019,2019年式,root,root,77,86.6,200.0,126.8,122.8,104.2,143.4,200.0,"2019年式 / 1.8 A ツーリングセレクション / 55,000km / 滋賀県",2019年式,1.8 A ツーリングセレクション,"55,000km",滋賀県,manen
toyota-prius,プリウス,,2018,2018年式,root,root,62,42.5,171.0,102.6,104.2,87.3,121.8,171.0,"2018年式 / 1.8 S セーフティ プラスII E-Four 4WD / 37,000km / 岡山県",2018年式,1.8 S セーフティ プラスII E-Four 4WD,"37,000km",岡山県,manen
toyota-prius,プリウス,,2017,2017年式,root,root,71,5.0,153.5,92.3,93.1,74.9,110.2,153.5,"2017年式 / 1.8 A ツーリングセレクション / 62,000km / 宮崎県",2017年式,1.8 A ツーリングセレクション,"62,000km",宮崎県,manen
toyota-prius,プリウス,,2016,2016年式,root,root,99,19.2,154.4,90.7,85.6,72.9,109.6,154.4,"2016年式 / 1.8 S ツーリングセレクション / 59,000km / 岡山県",2016年式,1.8 S ツーリングセレクション,"59,000km",岡山県,manen
