model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-rav4,RAV4,root,root,0万km,0,0,6,28.8,313.3,167.3,162.2,30.0,307.5,313.3,2025年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 0万km / 鳥取県,2025年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,0万km,鳥取県,manen
toyota-rav4,RAV4,root,root,"1,000km",1000,1000,1,374.0,374.0,374.0,374.0,374.0,374.0,374.0,"2025年式 / 2.5 ハイブリッド G E-Four 4WD / 1,000km / 大阪府",2025年式,2.5 ハイブリッド G E-Four 4WD,"1,000km",大阪府,manen
toyota-rav4,RAV4,root,root,"2,000km",2000,2000,3,259.0,310.0,289.3,299.0,259.0,310.0,310.0,"2021年式 / 2.0 アドベンチャー オフロードパッケージ 4WD / 2,000km / 青森県",2021年式,2.0 アドベンチャー オフロードパッケージ 4WD,"2,000km",青森県,manen
toyota-rav4,RAV4,root,root,"3,000km",3000,3000,6,266.2,386.5,329.8,322.4,302.0,379.0,386.5,"2024年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 3,000km / 岡山県",2024年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"3,000km",岡山県,manen
toyota-rav4,RAV4,root,root,"4,000km",4000,4000,5,312.0,381.2,331.7,315.5,314.0,336.0,381.2,"2025年式 / 2.5 ハイブリッド G E-Four 4WD / 4,000km / 鹿児島県",2025年式,2.5 ハイブリッド G E-Four 4WD,"4,000km",鹿児島県,manen
toyota-rav4,RAV4,root,root,"5,000km",5000,5000,7,219.5,388.5,331.3,360.0,341.0,378.0,388.5,"2025年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 5,000km / 長野県",2025年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"5,000km",長野県,manen
toyota-rav4,RAV4,root,root,"6,000km",6000,6000,3,270.5,390.9,320.6,300.5,270.5,390.9,390.9,"2025年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 6,000km / 新潟県",2025年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"6,000km",新潟県,manen
toyota-rav4,RAV4,root,root,"7,000km",7000,7000,7,246.2,334.5,306.2,314.5,311.0,316.2,334.5,"2024年式 / 2.0 アドベンチャー オフロードパッケージ II 4WD / 7,000km / 東京都",2024年式,2.0 アドベンチャー オフロードパッケージ II 4WD,"7,000km",東京都,manen
toyota-rav4,RAV4,root,root,"8,000km",8000,8000,9,255.4,385.0,318.6,329.8,289.5,333.2,385.0,"2023年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 8,000km / 高知県",2023年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"8,000km",高知県,manen
toyota-rav4,RAV4,root,root,"9,000km",9000,9000,6,270.8,406.5,341.0,339.8,308.2,381.0,406.5,"2024年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 9,000km / 兵庫県",2024年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"9,000km",兵庫県,manen
toyota-rav4,RAV4,root,root,1万km,10000,10000,5,312.5,398.7,358.4,375.8,325.1,380.1,398.7,2025年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 1万km / 茨城県,2025年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,1万km,茨城県,manen
toyota-rav4,RAV4,root,root,"11,000km",11000,11000,4,184.5,320.0,271.7,291.1,282.0,300.2,320.0,"2022年式 / 2.0 G Zパッケージ 4WD / 11,000km / 岩手県",2022年式,2.0 G Zパッケージ 4WD,"11,000km",岩手県,manen
toyota-rav4,RAV4,root,root,"12,000km",12000,12000,8,87.0,336.5,275.1,314.1,261.7,321.4,336.5,"2021年式 / 2.0 G Zパッケージ 4WD / 12,000km / 高知県",2021年式,2.0 G Zパッケージ 4WD,"12,000km",高知県,manen
