model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-rav4,RAV4,,2025,2025年式,root,root,15,299.0,398.7,349.1,341.0,314.0,381.2,398.7,2025年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 1万km / 茨城県,2025年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,1万km,茨城県,manen
toyota-rav4,RAV4,,2024,2024年式,root,root,59,194.7,406.5,331.2,329.1,302.0,366.0,406.5,"2024年式 / 2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD / 9,000km / 兵庫県",2024年式,2.5 ハイブリッド アドベンチャー オフロードパッケージ II E-Four 4WD,"9,000km",兵庫県,manen
toyota-rav4,RAV4,,2023,2023年式,root,root,99,6.7,399.5,305.3,308.2,285.3,339.5,399.5,"2023年式 / 2.5 プラグインハイブリッド Z E-Four 4WD / 32,000km / 香川県",2023年式,2.5 プラグインハイブリッド Z E-Four 4WD,"32,000km",香川県,manen
toyota-rav4,RAV4,,2022,2022年式,root,root,85,25.0,367.5,286.9,294.0,271.5,315.5,367.5,"2022年式 / 2.5 ハイブリッド G E-Four 4WD / 16,000km / 秋田県",2022年式,2.5 ハイブリッド G E-Four 4WD,"16,000km",秋田県,manen
toyota-rav4,RAV4,,2021,2021年式,root,root,97,171.5,336.5,254.7,257.0,230.0,281.7,336.5,"2021年式 / 2.0 G Zパッケージ 4WD / 12,000km / 高知県",2021年式,2.0 G Zパッケージ 4WD,"12,000km",高知県,manen
toyota-rav4,RAV4,,2020,2020年式,root,root,108,150.5,311.0,222.1,219.6,204.6,239.3,311.0,"2020年式 / 2.0 G Zパッケージ 4WD / 7,000km / 長崎県",2020年式,2.0 G Zパッケージ 4WD,"7,000km",長崎県,manen
toyota-rav4,RAV4,,2019,2019年式,root,root,83,100.3,272.0,216.4,219.5,201.8,232.0,272.0,"2019年式 / 2.0 G Zパッケージ 4WD / 24,000km / 静岡県",2019年式,2.0 G Zパッケージ 4WD,"24,000km",静岡県,manen
toyota-rav4,RAV4,,2016,2016年式,root,root,9,60.3,130.0,97.6,102.0,91.5,110.5,130.0,"2016年式 / 2.4 スタイル / 73,000km / 愛知県",2016年式,2.4 スタイル,"73,000km",愛知県,manen
toyota-rav4,RAV4,,2015,2015年式,root,root,20,60.9,120.0,83.7,85.2,71.0,93.5,120.0,"2015年式 / 2.4 スタイル 4WD / 59,000km / 秋田県",2015年式,2.4 スタイル 4WD,"59,000km",秋田県,manen
toyota-rav4,RAV4,,2014,2014年式,root,root,27,52.5,89.0,70.7,71.3,64.5,77.6,89.0,"2014年式 / 2.4 スタイル Sパッケージ 4WD / 86,000km / 京都府",2014年式,2.4 スタイル Sパッケージ 4WD,"86,000km",京都府,manen
toyota-rav4,RAV4,,2013,2013年式,root,root,34,56.2,95.0,73.9,74.2,69.4,78.0,95.0,"2013年式 / 2.4 スタイル / 15,000km / 山口県",2013年式,2.4 スタイル,"15,000km",山口県,manen
toyota-rav4,RAV4,,2012,2012年式,root,root,33,52.5,92.5,67.9,68.5,61.5,75.0,92.5,"2012年式 / 2.4 スポーツ 4WD / 41,000km / 三重県",2012年式,2.4 スポーツ 4WD,"41,000km",三重県,manen
toyota-rav4,RAV4,,2011,2011年式,root,root,30,51.0,97.0,70.5,69.0,61.5,76.5,97.0,"2011年式 / 2.4 スタイル 4WD / 58,000km / 熊本県",2011年式,2.4 スタイル 4WD,"58,000km",熊本県,manen
toyota-rav4,RAV4,,2010,2010年式,root,root,41,8.5,87.0,63.4,63.8,58.0,70.0,87.0,"2010年式 / 2.4 スタイル 4WD / 23,000km / 静岡県",2010年式,2.4 スタイル 4WD,"23,000km",静岡県,manen
toyota-rav4,RAV4,,2009,2009年式,root,root,36,40.0,78.6,60.0,58.8,54.4,66.5,78.6,"2009年式 / 2.4 スタイル / 35,000km / 山口県",2009年式,2.4 スタイル,"35,000km",山口県,manen
