model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-sienta,シエンタ,root,root,"1,000km",1000,1000,8,193.7,269.4,238.7,253.2,210.2,263.2,269.4,"2025年式 / ハイブリッド 1.5 Z / 1,000km / 東京都",2025年式,ハイブリッド 1.5 Z,"1,000km",東京都,manen
toyota-sienta,シエンタ,root,root,"2,000km",2000,2000,8,150.5,251.1,208.8,223.0,198.4,230.1,251.1,"2024年式 / 1.5 Z / 2,000km / 鹿児島県",2024年式,1.5 Z,"2,000km",鹿児島県,manen
toyota-sienta,シエンタ,root,root,"3,000km",3000,3000,4,87.5,281.9,206.9,229.1,177.1,281.0,281.9,"2024年式 / ハイブリッド 1.5 Z / 3,000km / 愛知県",2024年式,ハイブリッド 1.5 Z,"3,000km",愛知県,manen
toyota-sienta,シエンタ,root,root,"4,000km",4000,4000,4,182.3,281.0,251.4,271.1,262.2,280.0,281.0,"2024年式 / ハイブリッド 1.5 Z / 4,000km / 宮城県",2024年式,ハイブリッド 1.5 Z,"4,000km",宮城県,manen
toyota-sienta,シエンタ,root,root,"5,000km",5000,5000,6,153.5,281.5,232.1,238.0,205.0,276.5,281.5,"2023年式 / ハイブリッド 1.5 Z / 5,000km / 栃木県",2023年式,ハイブリッド 1.5 Z,"5,000km",栃木県,manen
toyota-sienta,シエンタ,root,root,"6,000km",6000,6000,9,110.3,266.6,200.2,219.3,176.6,235.2,266.6,"2025年式 / ハイブリッド 1.5 Z / 6,000km / 栃木県",2025年式,ハイブリッド 1.5 Z,"6,000km",栃木県,manen
toyota-sienta,シエンタ,root,root,"7,000km",7000,7000,10,111.2,267.4,207.7,222.8,173.0,243.8,267.4,"2024年式 / ハイブリッド 1.5 Z / 7,000km / 大阪府",2024年式,ハイブリッド 1.5 Z,"7,000km",大阪府,manen
toyota-sienta,シエンタ,root,root,"8,000km",8000,8000,5,100.5,266.5,187.0,176.4,142.5,249.3,266.5,"2024年式 / ハイブリッド 1.5 G E-Four 4WD / 8,000km / 山形県",2024年式,ハイブリッド 1.5 G E-Four 4WD,"8,000km",山形県,manen
toyota-sienta,シエンタ,root,root,"9,000km",9000,9000,10,119.0,271.1,215.6,231.2,180.0,265.5,271.1,"2025年式 / ハイブリッド 1.5 Z / 9,000km / 山形県",2025年式,ハイブリッド 1.5 Z,"9,000km",山形県,manen
toyota-sienta,シエンタ,root,root,1万km,10000,10000,8,89.0,252.5,174.2,182.9,180.5,189.1,252.5,2024年式 / ハイブリッド 1.5 Z / 1万km / 福島県,2024年式,ハイブリッド 1.5 Z,1万km,福島県,manen
