model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-supra,スープラ,,2025,2025年式,root,root,2,603.5,646.5,625.0,625.0,603.5,646.5,646.5,"2025年式 / 3.0 RZ / 2,000km / 熊本県",2025年式,3.0 RZ,"2,000km",熊本県,manen
toyota-supra,スープラ,,2024,2024年式,root,root,13,435.5,674.5,622.7,632.5,607.5,651.0,674.5,"2024年式 / 3.0 RZ / 8,000km / 大分県",2024年式,3.0 RZ,"8,000km",大分県,manen
toyota-supra,スープラ,,2023,2023年式,root,root,45,403.0,776.0,584.8,597.0,558.0,633.5,776.0,2023年式 / 3.0 RZ マットホワイトエディション / 0万km / 長野県,2023年式,3.0 RZ マットホワイトエディション,0万km,長野県,manen
toyota-supra,スープラ,,2022,2022年式,root,root,57,38.0,764.0,507.8,512.0,470.5,554.0,764.0,"2022年式 / 3.0 RZ マットホワイトエディション / 3,000km / 三重県",2022年式,3.0 RZ マットホワイトエディション,"3,000km",三重県,manen
toyota-supra,スープラ,,2021,2021年式,root,root,103,166.5,690.0,499.1,503.3,456.5,541.1,690.0,2021年式 / 3.0 RZ ホライズンブルー エディション / 0万km / 栃木県,2021年式,3.0 RZ ホライズンブルー エディション,0万km,栃木県,manen
toyota-supra,スープラ,,2020,2020年式,root,root,174,85.9,659.0,478.8,490.2,444.2,522.2,659.0,"2020年式 / 3.0 RZ ホライズンブルー エディション / 4,000km / 三重県",2020年式,3.0 RZ ホライズンブルー エディション,"4,000km",三重県,manen
toyota-supra,スープラ,,2019,2019年式,root,root,112,315.0,633.5,461.4,464.5,410.5,500.0,633.5,"2019年式 / 3.0 RZ / 5,000km / 広島県",2019年式,3.0 RZ,"5,000km",広島県,manen
toyota-supra,スープラ,,2018,2018年式,root,root,6,60.2,446.7,285.6,336.1,134.1,400.5,446.7,"2018年式 / 2.0 SZ-R / 4,000km / 石川県",2018年式,2.0 SZ-R,"4,000km",石川県,manen
toyota-supra,スープラ,,2016,2016年式,root,root,1,382.0,382.0,382.0,382.0,382.0,382.0,382.0,"2016年式 / 3.0 RZ-S / 117,000km / 石川県",2016年式,3.0 RZ-S,"117,000km",石川県,manen
toyota-supra,スープラ,,2004,2004年式,root,root,1,162.0,162.0,162.0,162.0,162.0,162.0,162.0,"2004年式 / 3.0 SZ / 63,000km / 福岡県",2004年式,3.0 SZ,"63,000km",福岡県,manen
toyota-supra,スープラ,,2002,2002年式,root,root,6,246.0,602.5,493.1,540.0,435.0,595.0,602.5,"2002年式 / 3.0 RZ-S / 136,000km / 山形県",2002年式,3.0 RZ-S,"136,000km",山形県,manen
toyota-supra,スープラ,,2001,2001年式,root,root,12,203.0,561.0,359.4,334.8,287.5,458.5,561.0,"2001年式 / 3.0 RZ-S / 145,000km / 和歌山県",2001年式,3.0 RZ-S,"145,000km",和歌山県,manen
toyota-supra,スープラ,,2000,2000年式,root,root,18,134.1,551.5,368.5,343.8,282.4,462.0,551.5,"2000年式 / 3.0 RZ / 49,000km / 岐阜県",2000年式,3.0 RZ,"49,000km",岐阜県,manen
toyota-supra,スープラ,,1999,1999年式,root,root,32,130.0,635.6,400.9,389.0,278.0,546.5,635.6,1999年式 / 3.0 RZ-S / 13万km / 岐阜県,1999年式,3.0 RZ-S,13万km,岐阜県,manen
toyota-supra,スープラ,,1998,1998年式,root,root,35,60.0,660.5,345.8,330.4,272.0,400.7,660.5,"1998年式 / 3.0 RZ / 126,000km / 島根県",1998年式,3.0 RZ,"126,000km",島根県,manen
toyota-supra,スープラ,,1997,1997年式,root,root,42,97.9,599.0,317.8,306.5,215.5,422.0,599.0,1997年式 / 3.0 RZ / 0万km / 茨城県,1997年式,3.0 RZ,0万km,茨城県,manen
toyota-supra,スープラ,,1996,1996年式,root,root,47,111.1,668.5,354.9,324.5,247.5,450.5,668.5,"1996年式 / 3.0 RZ / 68,000km / 長崎県",1996年式,3.0 RZ,"68,000km",長崎県,manen
toyota-supra,スープラ,,1995,1995年式,root,root,47,83.5,660.5,345.2,337.0,244.5,407.5,660.5,"1995年式 / 3.0 RZ / 114,000km / 三重県",1995年式,3.0 RZ,"114,000km",三重県,manen
toyota-supra,スープラ,,1994,1994年式,root,root,35,87.0,637.0,293.2,261.5,236.5,346.0,637.0,"1994年式 / 3.0 RZ / 138,000km / 愛知県",1994年式,3.0 RZ,"138,000km",愛知県,manen
toyota-supra,スープラ,,1993,1993年式,root,root,33,115.0,621.0,341.8,300.5,260.0,480.0,621.0,"1993年式 / 3.0 RZ / 195,000km / 東京都",1993年式,3.0 RZ,"195,000km",東京都,manen
toyota-supra,スープラ,,1992,1992年式,root,root,54,39.5,370.5,166.7,160.8,112.5,221.8,370.5,"1992年式 / 2.5 GTツインターボ ワイド / 101,000km / 神奈川県",1992年式,2.5 GTツインターボ ワイド,"101,000km",神奈川県,manen
toyota-supra,スープラ,,1991,1991年式,root,root,43,18.0,339.5,139.6,130.0,87.1,191.5,339.5,"1991年式 / 2.5 GTツインターボ R ワイド / 26,000km / 群馬県",1991年式,2.5 GTツインターボ R ワイド,"26,000km",群馬県,manen
toyota-supra,スープラ,,1990,1990年式,root,root,38,14.0,339.5,120.0,94.3,60.5,205.8,339.5,"1990年式 / 3.0 GTターボ / 51,000km / 埼玉県",1990年式,3.0 GTターボ,"51,000km",埼玉県,manen
