model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-vellfire,ヴェルファイア,root,root,0万km,0,0,3,675.5,799.5,758.2,799.5,675.5,799.5,799.5,2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ / 0万km / 群馬県,2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,0万km,群馬県,manen
toyota-vellfire,ヴェルファイア,root,root,"1,000km",1000,1000,6,676.3,741.0,705.8,709.5,678.5,720.0,741.0,"2024年式 / 2.4 Z プレミア / 1,000km / 埼玉県",2024年式,2.4 Z プレミア,"1,000km",埼玉県,manen
toyota-vellfire,ヴェルファイア,root,root,"2,000km",2000,2000,5,661.0,751.0,722.1,726.5,721.0,751.0,751.0,"2025年式 / 2.4 Z プレミア / 2,000km / 静岡県",2025年式,2.4 Z プレミア,"2,000km",静岡県,manen
toyota-vellfire,ヴェルファイア,root,root,"3,000km",3000,3000,10,654.5,818.0,721.0,685.5,674.0,814.6,818.0,"2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 3,000km / 山梨県",2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"3,000km",山梨県,manen
toyota-vellfire,ヴェルファイア,root,root,"4,000km",4000,4000,9,225.8,792.5,599.3,668.0,566.5,700.0,792.5,"2024年式 / 2.4 Z プレミア / 4,000km / 大阪府",2024年式,2.4 Z プレミア,"4,000km",大阪府,manen
toyota-vellfire,ヴェルファイア,root,root,"5,000km",5000,5000,11,587.4,808.0,709.1,714.9,639.9,781.5,808.0,"2025年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 5,000km / 宮崎県",2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"5,000km",宮崎県,manen
toyota-vellfire,ヴェルファイア,root,root,"6,000km",6000,6000,12,603.5,777.2,685.1,679.5,669.7,691.5,777.2,"2025年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ / 6,000km / 福岡県",2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"6,000km",福岡県,manen
toyota-vellfire,ヴェルファイア,root,root,"7,000km",7000,7000,9,616.0,795.5,717.2,721.5,659.1,788.6,795.5,"2025年式 / 2.4 Z プレミア / 7,000km / 鹿児島県",2025年式,2.4 Z プレミア,"7,000km",鹿児島県,manen
toyota-vellfire,ヴェルファイア,root,root,"8,000km",8000,8000,12,600.5,791.5,701.4,706.8,663.5,750.0,791.5,"2025年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 8,000km / 大分県",2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"8,000km",大分県,manen
toyota-vellfire,ヴェルファイア,root,root,"9,000km",9000,9000,7,635.5,762.5,696.9,700.5,684.5,710.5,762.5,"2025年式 / 2.4 Z プレミア / 9,000km / 愛知県",2025年式,2.4 Z プレミア,"9,000km",愛知県,manen
toyota-vellfire,ヴェルファイア,root,root,1万km,10000,10000,9,587.0,781.5,678.8,675.0,650.0,695.5,781.5,2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 1万km / 愛媛県,2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,1万km,愛媛県,manen
toyota-vellfire,ヴェルファイア,root,root,"11,000km",11000,11000,8,375.0,770.1,638.8,657.5,649.5,678.5,770.1,"2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 11,000km / 富山県",2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"11,000km",富山県,manen
toyota-vellfire,ヴェルファイア,root,root,"12,000km",12000,12000,7,596.7,784.5,670.8,669.6,641.9,689.4,784.5,"2025年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 12,000km / 秋田県",2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"12,000km",秋田県,manen
toyota-vellfire,ヴェルファイア,root,root,"13,000km",13000,13000,4,346.2,714.5,582.5,634.7,623.3,646.1,714.5,"2024年式 / 2.4 Z プレミア / 13,000km / 青森県",2024年式,2.4 Z プレミア,"13,000km",青森県,manen
toyota-vellfire,ヴェルファイア,root,root,"14,000km",14000,14000,3,347.5,733.0,558.3,594.4,347.5,733.0,733.0,"2024年式 / 2.4 Z プレミア / 14,000km / 山梨県",2024年式,2.4 Z プレミア,"14,000km",山梨県,manen
toyota-vellfire,ヴェルファイア,root,root,"15,000km",15000,15000,7,366.3,735.5,602.6,674.5,637.2,688.5,735.5,"2023年式 / 2.4 Z プレミア / 15,000km / 滋賀県",2023年式,2.4 Z プレミア,"15,000km",滋賀県,manen
toyota-vellfire,ヴェルファイア,root,root,"16,000km",16000,16000,8,607.5,708.5,666.7,684.5,640.0,692.0,708.5,"2023年式 / 2.4 Z プレミア / 16,000km / 福島県",2023年式,2.4 Z プレミア,"16,000km",福島県,manen
toyota-vellfire,ヴェルファイア,root,root,"17,000km",17000,17000,4,315.0,660.4,487.3,486.9,338.8,635.0,660.4,"2023年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ / 17,000km / 滋賀県",2023年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"17,000km",滋賀県,manen
toyota-vellfire,ヴェルファイア,root,root,"18,000km",18000,18000,7,330.4,654.3,545.6,604.9,594.0,617.5,654.3,"2023年式 / 2.4 Z プレミア 4WD / 18,000km / 島根県",2023年式,2.4 Z プレミア 4WD,"18,000km",島根県,manen
toyota-vellfire,ヴェルファイア,root,root,"19,000km",19000,19000,11,309.0,746.6,528.3,588.5,345.7,651.0,746.6,"2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 19,000km / 愛知県",2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,"19,000km",愛知県,manen
toyota-vellfire,ヴェルファイア,root,root,2万km,20000,20000,9,36.0,768.0,477.0,425.7,400.6,588.3,768.0,2024年式 / ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD / 2万km / 熊本県,2024年式,ハイブリッド 2.5 エグゼクティブ ラウンジ E-Four 4WD,2万km,熊本県,manen
toyota-vellfire,ヴェルファイア,root,root,"21,000km",21000,21000,7,336.0,694.5,530.1,601.5,432.3,638.2,694.5,"2023年式 / 2.4 Z プレミア / 21,000km / 静岡県",2023年式,2.4 Z プレミア,"21,000km",静岡県,manen
