model_slug,model_name,generation_label,target_year,target_year_label,source_page_type,source_variant_label,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-voxy,ヴォクシー,,2026,2026年式,root,root,2,394.6,398.3,396.4,396.4,394.6,398.3,398.3,"2026年式 / 1.8 ハイブリッド S-Z / 1,000km / 徳島県",2026年式,1.8 ハイブリッド S-Z,"1,000km",徳島県,manen
toyota-voxy,ヴォクシー,,2025,2025年式,root,root,17,287.2,392.4,345.4,349.0,327.9,371.0,392.4,"2025年式 / 1.8 ハイブリッド S-Z / 1,000km / 神奈川県",2025年式,1.8 ハイブリッド S-Z,"1,000km",神奈川県,manen
toyota-voxy,ヴォクシー,,2024,2024年式,root,root,47,271.0,399.4,332.7,338.2,310.0,357.7,399.4,"2024年式 / 1.8 ハイブリッド S-Z / 8,000km / 秋田県",2024年式,1.8 ハイブリッド S-Z,"8,000km",秋田県,manen
toyota-voxy,ヴォクシー,,2023,2023年式,root,root,48,196.8,393.2,312.8,310.6,294.6,341.0,393.2,"2023年式 / 1.8 ハイブリッド S-Z E-Four 4WD / 32,000km / 福島県",2023年式,1.8 ハイブリッド S-Z E-Four 4WD,"32,000km",福島県,manen
toyota-voxy,ヴォクシー,,2022,2022年式,root,root,54,148.0,388.5,297.5,298.6,272.0,335.0,388.5,"2022年式 / 1.8 ハイブリッド S-Z E-Four 4WD / 24,000km / 和歌山県",2022年式,1.8 ハイブリッド S-Z E-Four 4WD,"24,000km",和歌山県,manen
toyota-voxy,ヴォクシー,,2021,2021年式,root,root,31,24.3,281.5,232.5,239.4,224.1,250.3,281.5,"2021年式 / 2.0 ZS 煌III / 6,000km / 和歌山県",2021年式,2.0 ZS 煌III,"6,000km",和歌山県,manen
toyota-voxy,ヴォクシー,,2020,2020年式,root,root,54,127.6,288.5,213.5,217.1,180.0,246.5,288.5,"2020年式 / 1.8 ハイブリッド ZS 煌III / 35,000km / 山口県",2020年式,1.8 ハイブリッド ZS 煌III,"35,000km",山口県,manen
toyota-voxy,ヴォクシー,,2019,2019年式,root,root,61,9.6,290.4,174.3,183.0,148.4,200.5,290.4,"2019年式 / 1.8 ハイブリッド ZS 煌II / 29,000km / 和歌山県",2019年式,1.8 ハイブリッド ZS 煌II,"29,000km",和歌山県,manen
toyota-voxy,ヴォクシー,,2018,2018年式,root,root,64,70.5,226.0,155.3,156.8,130.8,184.6,226.0,"2018年式 / 2.0 ZS 煌 4WD / 61,000km / 山口県",2018年式,2.0 ZS 煌 4WD,"61,000km",山口県,manen
toyota-voxy,ヴォクシー,,2017,2017年式,root,root,85,53.5,239.7,123.5,118.0,99.8,148.5,239.7,"2017年式 / 2.0 ZS 4WD / 27,000km / 大阪府",2017年式,2.0 ZS 4WD,"27,000km",大阪府,manen
toyota-voxy,ヴォクシー,,2016,2016年式,root,root,71,39.8,206.4,110.5,97.5,83.2,131.0,206.4,"2016年式 / 1.8 ハイブリッド ZS 煌II / 58,000km / 高知県",2016年式,1.8 ハイブリッド ZS 煌II,"58,000km",高知県,manen
toyota-voxy,ヴォクシー,,2015,2015年式,root,root,78,9.7,221.0,85.4,79.8,63.0,104.7,221.0,"2015年式 / 2.0 ZS 煌II 4WD / 63,000km / 北海道",2015年式,2.0 ZS 煌II 4WD,"63,000km",北海道,manen
toyota-voxy,ヴォクシー,,2014,2014年式,root,root,98,5.0,157.5,69.5,65.8,53.2,83.0,157.5,2014年式 / 2.0 ZS 4WD / 4万km / 石川県,2014年式,2.0 ZS 4WD,4万km,石川県,manen
toyota-voxy,ヴォクシー,,2013,2013年式,root,root,51,5.0,79.3,46.1,42.5,37.6,54.1,79.3,"2013年式 / 2.0 X Lエディション / 57,000km / 滋賀県",2013年式,2.0 X Lエディション,"57,000km",滋賀県,manen
toyota-voxy,ヴォクシー,,2012,2012年式,root,root,46,5.0,58.1,36.9,39.6,33.6,45.5,58.1,"2012年式 / 2.0 ZS 煌II / 85,000km / 静岡県",2012年式,2.0 ZS 煌II,"85,000km",静岡県,manen
toyota-voxy,ヴォクシー,,2011,2011年式,root,root,43,5.0,72.4,32.3,34.0,26.7,39.9,72.4,"2011年式 / 2.0 ZS 煌II 4WD / 74,000km / 山梨県",2011年式,2.0 ZS 煌II 4WD,"74,000km",山梨県,manen
toyota-voxy,ヴォクシー,,2010,2010年式,root,root,45,5.0,51.1,29.3,31.3,24.0,35.2,51.1,"2010年式 / 2.0 ZS / 73,000km / 東京都",2010年式,2.0 ZS,"73,000km",東京都,manen
toyota-voxy,ヴォクシー,,2009,2009年式,root,root,42,5.0,45.3,23.7,24.4,17.4,29.8,45.3,"2009年式 / 2.0 Z 4WD / 81,000km / 群馬県",2009年式,2.0 Z 4WD,"81,000km",群馬県,manen
toyota-voxy,ヴォクシー,,2008,2008年式,root,root,30,5.0,40.5,23.4,25.1,22.0,28.5,40.5,"2008年式 / 2.0 X / 58,000km / 愛媛県",2008年式,2.0 X,"58,000km",愛媛県,manen
toyota-voxy,ヴォクシー,,2007,2007年式,root,root,21,5.0,34.2,19.2,24.7,8.5,26.7,34.2,2007年式 / 2.0 ZS / 14万km / 宮崎県,2007年式,2.0 ZS,14万km,宮崎県,manen
toyota-voxy,ヴォクシー,,2006,2006年式,root,root,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2006年式 / 2.0 Z 煌 / 121,000km / 熊本県",2006年式,2.0 Z 煌,"121,000km",熊本県,manen
toyota-voxy,ヴォクシー,,2005,2005年式,root,root,4,5.0,27.0,10.5,5.0,5.0,5.0,27.0,2005年式 / 2.0 X / 5万km / 群馬県,2005年式,2.0 X,5万km,群馬県,manen
toyota-voxy,ヴォクシー,,2004,2004年式,root,root,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"2004年式 / 2.0 Z / 193,000km / 愛知県",2004年式,2.0 Z,"193,000km",愛知県,manen
