model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-yaris-cross,ヤリスクロス,root,root,0万km,0,0,12,170.3,280.5,228.0,226.0,201.0,249.7,280.5,2025年式 / 1.5 Z ウルバーノ / 0万km / 広島県,2025年式,1.5 Z ウルバーノ,0万km,広島県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"1,000km",1000,1000,24,156.0,306.5,237.6,239.8,219.5,266.0,306.5,"2025年式 / 1.5 ハイブリッド Z ウルバーノ / 1,000km / 兵庫県",2025年式,1.5 ハイブリッド Z ウルバーノ,"1,000km",兵庫県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"2,000km",2000,2000,22,158.5,267.4,219.9,218.1,189.9,254.5,267.4,"2024年式 / 1.5 ハイブリッド GRスポーツ / 2,000km / 群馬県",2024年式,1.5 ハイブリッド GRスポーツ,"2,000km",群馬県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"3,000km",3000,3000,11,159.4,280.1,215.3,211.0,166.3,251.5,280.1,"2024年式 / 1.5 ハイブリッド Z E-Four 4WD / 3,000km / 沖縄県",2024年式,1.5 ハイブリッド Z E-Four 4WD,"3,000km",沖縄県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"4,000km",4000,4000,23,124.0,284.4,221.1,220.0,206.4,250.1,284.4,"2023年式 / 1.5 Z アドベンチャー / 4,000km / 福岡県",2023年式,1.5 Z アドベンチャー,"4,000km",福岡県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"5,000km",5000,5000,24,152.5,267.5,209.2,211.0,181.1,229.0,267.5,"2024年式 / 1.5 ハイブリッド Z アドベンチャー / 5,000km / 佐賀県",2024年式,1.5 ハイブリッド Z アドベンチャー,"5,000km",佐賀県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"6,000km",6000,6000,27,122.8,276.0,215.6,222.0,185.5,242.3,276.0,"2023年式 / 1.5 ハイブリッド Z アドベンチャー E-Four 4WD / 6,000km / 福島県",2023年式,1.5 ハイブリッド Z アドベンチャー E-Four 4WD,"6,000km",福島県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"7,000km",7000,7000,23,162.8,255.5,213.5,214.5,200.0,225.6,255.5,"2023年式 / 1.5 ハイブリッド Z / 7,000km / 徳島県",2023年式,1.5 ハイブリッド Z,"7,000km",徳島県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"8,000km",8000,8000,19,138.9,268.5,219.6,220.9,191.0,247.0,268.5,"2023年式 / 1.5 ハイブリッド Z E-Four 4WD / 8,000km / 島根県",2023年式,1.5 ハイブリッド Z E-Four 4WD,"8,000km",島根県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"9,000km",9000,9000,27,125.5,282.5,221.0,219.8,202.1,239.0,282.5,"2020年式 / 1.5 Z 4WD / 9,000km / 兵庫県",2020年式,1.5 Z 4WD,"9,000km",兵庫県,manen
toyota-yaris-cross,ヤリスクロス,root,root,1万km,10000,10000,23,136.6,279.0,215.9,220.1,201.5,234.7,279.0,2023年式 / 1.5 Z 4WD / 1万km / 鳥取県,2023年式,1.5 Z 4WD,1万km,鳥取県,manen
toyota-yaris-cross,ヤリスクロス,root,root,"11,000km",11000,11000,19,117.5,263.9,204.0,204.8,180.7,230.1,263.9,"2022年式 / 1.5 ハイブリッド Z / 11,000km / 静岡県",2022年式,1.5 ハイブリッド Z,"11,000km",静岡県,manen
