model_slug,model_name,source_page_type,source_variant_label,mileage_band_label,mileage_min_km,mileage_max_km,sample_count,price_min,price_max,price_avg,price_median,price_common_min,price_common_max,high_price,high_price_case,high_price_year,high_price_grade,high_price_mileage,high_price_prefecture,price_unit
toyota-yaris,ヤリス,root,root,0万km,0,0,14,109.9,210.0,150.7,150.5,132.5,172.5,210.0,2024年式 / 1.5 ハイブリッド Z E-Four 4WD / 0万km / 東京都,2024年式,1.5 ハイブリッド Z E-Four 4WD,0万km,東京都,manen
toyota-yaris,ヤリス,root,root,"1,000km",1000,1000,21,104.0,215.5,154.5,151.6,136.0,166.6,215.5,"2023年式 / 1.5 ハイブリッド Z / 1,000km / 静岡県",2023年式,1.5 ハイブリッド Z,"1,000km",静岡県,manen
toyota-yaris,ヤリス,root,root,"2,000km",2000,2000,20,120.8,212.5,153.2,141.3,133.2,169.0,212.5,"2025年式 / 1.5 ハイブリッド Z / 2,000km / 岐阜県",2025年式,1.5 ハイブリッド Z,"2,000km",岐阜県,manen
toyota-yaris,ヤリス,root,root,"3,000km",3000,3000,28,94.1,212.0,160.9,161.0,138.0,179.9,212.0,"2025年式 / 1.5 ハイブリッド Z / 3,000km / 奈良県",2025年式,1.5 ハイブリッド Z,"3,000km",奈良県,manen
toyota-yaris,ヤリス,root,root,"4,000km",4000,4000,28,106.9,204.5,154.3,157.3,131.8,173.5,204.5,"2023年式 / 1.5 ハイブリッド Z / 4,000km / 埼玉県",2023年式,1.5 ハイブリッド Z,"4,000km",埼玉県,manen
toyota-yaris,ヤリス,root,root,"5,000km",5000,5000,22,77.0,200.2,138.0,140.8,109.0,166.5,200.2,"2024年式 / 1.5 ハイブリッド Z / 5,000km / 三重県",2024年式,1.5 ハイブリッド Z,"5,000km",三重県,manen
toyota-yaris,ヤリス,root,root,"6,000km",6000,6000,21,93.9,204.5,150.8,150.6,128.4,172.2,204.5,"2023年式 / 1.5 ハイブリッド Z / 6,000km / 岩手県",2023年式,1.5 ハイブリッド Z,"6,000km",岩手県,manen
toyota-yaris,ヤリス,root,root,"7,000km",7000,7000,22,88.4,207.5,150.8,144.7,124.5,177.0,207.5,"2023年式 / 1.5 ハイブリッド Z / 7,000km / 岐阜県",2023年式,1.5 ハイブリッド Z,"7,000km",岐阜県,manen
toyota-yaris,ヤリス,root,root,"8,000km",8000,8000,26,77.5,198.5,145.7,151.1,131.5,165.5,198.5,"2023年式 / 1.5 ハイブリッド Z E-Four 4WD / 8,000km / 福井県",2023年式,1.5 ハイブリッド Z E-Four 4WD,"8,000km",福井県,manen
toyota-yaris,ヤリス,root,root,"9,000km",9000,9000,27,93.3,203.0,151.8,144.5,130.9,172.9,203.0,"2022年式 / 1.5 ハイブリッド Z / 9,000km / 長野県",2022年式,1.5 ハイブリッド Z,"9,000km",長野県,manen
toyota-yaris,ヤリス,root,root,1万km,10000,10000,18,48.2,180.6,138.2,144.3,126.0,154.0,180.6,2024年式 / 1.5 ハイブリッド Z / 1万km / 長野県,2024年式,1.5 ハイブリッド Z,1万km,長野県,manen
toyota-yaris,ヤリス,root,root,"11,000km",11000,11000,17,92.0,200.8,142.2,134.5,126.3,160.5,200.8,"2023年式 / 1.5 ハイブリッド G E-Four 4WD / 11,000km / 秋田県",2023年式,1.5 ハイブリッド G E-Four 4WD,"11,000km",秋田県,manen
toyota-yaris,ヤリス,root,root,"12,000km",12000,12000,18,96.5,201.7,143.9,140.7,132.0,157.1,201.7,"2023年式 / 1.5 ハイブリッド Z E-Four 4WD / 12,000km / 高知県",2023年式,1.5 ハイブリッド Z E-Four 4WD,"12,000km",高知県,manen
toyota-yaris,ヤリス,root,root,"13,000km",13000,13000,22,105.5,171.8,147.5,154.1,132.8,164.0,171.8,"2022年式 / 1.5 ハイブリッド X / 13,000km / 富山県",2022年式,1.5 ハイブリッド X,"13,000km",富山県,manen
